,mass bin,1st Xoff,2nd Xoff,3rd Xoff,4th Xoff,full sample
0,1278170592916.8325,2513.0,6832.0,11477.0,15898.0,36720.0
1,1309976725460.1228,2608.0,6695.0,11520.0,15348.0,36171.0
2,1341633985904.4636,2554.0,6974.0,11279.0,15201.0,36008.0
3,1373644637462.2356,2648.0,6780.0,10865.0,15097.0,35390.0
4,1405706094388.7031,2691.0,6802.0,11020.0,14834.0,35347.0
5,1437681188118.8118,2626.0,6739.0,10686.0,14287.0,34338.0
6,1474820335608.6462,3516.0,9019.0,14121.0,18681.0,45337.0
7,1512362410814.8704,2663.0,6824.0,10459.0,13675.0,33621.0
8,1549688573052.8708,3518.0,8766.0,13628.0,17360.0,43272.0
9,1586927042360.0605,2644.0,6692.0,9900.0,12365.0,31601.0
10,1624136848170.5562,3471.0,8592.0,12523.0,15767.0,40353.0
11,1666499282021.8264,3482.0,8668.0,12262.0,15107.0,39519.0
12,1709148560628.0896,3439.0,8135.0,12196.0,14715.0,38485.0
13,1751605963029.2188,3354.0,8192.0,11504.0,13853.0,36903.0
14,1794614634873.3235,3355.0,8004.0,11237.0,13364.0,35960.0
15,1836985008615.738,3482.0,7900.0,10757.0,12447.0,34586.0
16,1879398362094.1797,3419.0,7939.0,10387.0,11834.0,33579.0
17,1927881679741.5781,4334.0,9491.0,12605.0,14015.0,40445.0
18,1975228268551.2368,3396.0,7548.0,9685.0,10388.0,31017.0
19,2023642209971.2368,4172.0,9111.0,11455.0,12446.0,37184.0
20,2071038176726.82,3214.0,7265.0,8930.0,9466.0,28875.0
21,2118958519447.9297,3985.0,8843.0,10593.0,11495.0,34916.0
22,2172528514949.3452,4047.0,8609.0,10338.0,10419.0,33413.0
23,2225669215829.085,4119.0,8542.0,10016.0,9863.0,32540.0
24,2283957242841.9937,4715.0,9929.0,11554.0,11084.0,37282.0
25,2342466140956.136,4058.0,7931.0,9127.0,8822.0,29938.0
26,2395607180918.549,3941.0,7834.0,8775.0,8214.0,28764.0
27,2454619434326.1196,4667.0,9062.0,10011.0,9280.0,33020.0
28,2518761181525.2417,4655.0,9015.0,9626.0,8720.0,32016.0
29,2582753879033.9814,4679.0,8427.0,9169.0,8158.0,30433.0
30,2645936253041.3623,4521.0,8353.0,8699.0,7616.0,29189.0
31,2710760043057.051,4645.0,8243.0,8401.0,7171.0,28460.0
32,2774003627865.569,4493.0,8107.0,8067.0,6759.0,27426.0
33,2842673715953.3076,5140.0,8931.0,8925.0,7426.0,30422.0
34,2911824068502.6616,4321.0,7342.0,7265.0,6095.0,25023.0
35,2981555140186.916,5029.0,8566.0,8089.0,6487.0,28171.0
36,3056065062461.6016,4883.0,8429.0,7802.0,6077.0,27191.0
37,3130504568631.45,4903.0,8064.0,7353.0,5727.0,26047.0
38,3205287039645.804,4969.0,7909.0,7064.0,5435.0,25377.0
39,3285308916621.4507,5529.0,8554.0,7711.0,5911.0,27705.0
40,3370401741022.851,5514.0,8472.0,7519.0,5481.0,26986.0
41,3455747899461.4004,5570.0,8199.0,6948.0,5161.0,25878.0
42,3540712412930.8804,5599.0,8290.0,7020.0,4867.0,25776.0
43,3625805132303.321,5631.0,8047.0,6575.0,4447.0,24700.0
44,3711127236070.3813,5456.0,7848.0,6349.0,4369.0,24022.0
45,3802078222940.226,6190.0,8568.0,7040.0,4587.0,26385.0
46,3897404979658.259,6145.0,8517.0,6535.0,4510.0,25707.0
47,3993539109161.4644,5927.0,8134.0,6387.0,4164.0,24612.0
48,4088727470519.847,6021.0,7944.0,6112.0,3907.0,23984.0
