,mass bin,1st Xoff,2nd Xoff,3rd Xoff,4th Xoff,full sample
0,1277994117647.0588,4607.0,9607.0,11592.0,11547.0,37353.0
1,1309968360477.7417,4605.0,9416.0,11428.0,11074.0,36523.0
2,1341754102096.6272,4388.0,9317.0,11040.0,10304.0,35049.0
3,1373526264459.061,4409.0,9102.0,10454.0,10071.0,34036.0
4,1405535473731.4773,4454.0,8824.0,10014.0,9745.0,33037.0
5,1437763704206.2415,4422.0,8728.0,9714.0,9115.0,31979.0
6,1474934095915.9465,5901.0,11211.0,12333.0,11382.0,40827.0
7,1512341215574.5488,4212.0,8101.0,8930.0,8016.0,29259.0
8,1549414638479.3037,5629.0,10946.0,11492.0,9920.0,37987.0
9,1586693308110.6646,4229.0,7688.0,7922.0,7103.0,26942.0
10,1624073574483.2502,5612.0,10245.0,10097.0,8575.0,34529.0
11,1666567973737.0054,5483.0,9761.0,9886.0,7985.0,33115.0
12,1709154112149.5327,5350.0,9447.0,9111.0,7479.0,31387.0
13,1751733956674.69,5401.0,9021.0,8563.0,7111.0,30096.0
14,1794316877869.6052,5445.0,8885.0,8077.0,6412.0,28819.0
15,1837034122480.9236,5111.0,8573.0,7835.0,5906.0,27425.0
16,1879556851080.7058,5043.0,8437.0,7449.0,5597.0,26526.0
17,1927531451360.6506,6394.0,9801.0,8804.0,6451.0,31450.0
18,1975189885420.7822,5062.0,7564.0,6456.0,4616.0,23698.0
19,2023133701837.0996,6151.0,9210.0,7753.0,5485.0,28599.0
20,2071086762261.0142,4812.0,7151.0,5742.0,3978.0,21683.0
21,2119053382451.44,5972.0,8757.0,6837.0,4806.0,26372.0
22,2172128923433.1074,6047.0,8321.0,6515.0,4340.0,25223.0
23,2225433547405.78,5917.0,8165.0,6230.0,4092.0,24404.0
24,2284630377195.5083,6946.0,9187.0,6734.0,4461.0,27328.0
25,2342927960756.8325,5708.0,7638.0,5387.0,3434.0,22167.0
26,2396062052586.938,5895.0,7138.0,5186.0,3171.0,21390.0
27,2454016888297.8726,6768.0,8532.0,5698.0,3508.0,24506.0
28,2518535427968.656,6636.0,8114.0,5430.0,3290.0,23470.0
29,2582815578817.734,6496.0,7790.0,4963.0,2919.0,22168.0
30,2646633626235.6816,6373.0,7377.0,4681.0,2715.0,21146.0
31,2709748449063.1396,6351.0,7060.0,4423.0,2547.0,20381.0
32,2773795008517.8877,5870.0,6804.0,4053.0,2460.0,19187.0
33,2843683002516.0747,7154.0,7452.0,4375.0,2464.0,21445.0
34,2912264723926.3804,5868.0,6112.0,3534.0,1961.0,17475.0
35,2981640154615.7344,6597.0,6753.0,3846.0,2019.0,19215.0
36,3056232759689.9224,6450.0,6361.0,3428.0,1902.0,18141.0
37,3130688754889.1787,6136.0,5836.0,3230.0,1759.0,16961.0
38,3205556986935.6704,6047.0,5406.0,2957.0,1613.0,16023.0
39,3285336716867.4697,6640.0,5893.0,3082.0,1691.0,17306.0
40,3371000063171.194,6332.0,5545.0,2770.0,1468.0,16115.0
41,3455499887423.609,6218.0,5084.0,2511.0,1265.0,15078.0
42,3540437095141.7,5928.0,4743.0,2316.0,1178.0,14165.0
43,3625618197107.299,5946.0,4481.0,2133.0,1019.0,13579.0
44,3711315507432.5566,5449.0,4126.0,1921.0,930.0,12426.0
45,3801455235602.094,6112.0,4288.0,1996.0,880.0,13276.0
46,3897033779089.962,5758.0,3979.0,1775.0,757.0,12269.0
47,3993114250527.7974,5684.0,3740.0,1649.0,706.0,11779.0
48,4088792662053.8965,5492.0,3470.0,1454.0,635.0,11051.0
49,4190310754912.099,5802.0,3558.0,1520.0,648.0,11528.0
50,4297300646435.626,5569.0,3298.0,1402.0,582.0,10851.0
51,4403180867588.559,5279.0,3054.0,1215.0,424.0,9972.0
52,4508937661050.545,5045.0,2788.0,1107.0,416.0,9356.0
53,4620709127362.994,5237.0,2883.0,1127.0,423.0,9670.0
54,4733034518647.008,4612.0,2463.0,902.0,313.0,8290.0
55,4846556574035.67,4822.0,2463.0,950.0,308.0,8543.0
56,4967382996666.013,5099.0,2395.0,861.0,295.0,8650.0
57,5090206590959.697,4491.0,2067.0,737.0,230.0,7525.0
58,5212512250712.251,4563.0,2050.0,689.0,273.0,7575.0
59,5339642688732.714,4411.0,1941.0,644.0,179.0,7175.0
60,5472733814344.174,4643.0,1907.0,588.0,179.0,7317.0
61,5611500973574.409,4314.0,1669.0,565.0,183.0,6731.0
62,5748998385518.591,4088.0,1550.0,565.0,155.0,6358.0
