,mass bin,1st Xoff,2nd Xoff,3rd Xoff,4th Xoff,full sample
0,1278111211237.742,3773.0,9589.0,14637.0,17595.0,45594.0
1,1310189110940.3022,3903.0,9533.0,14591.0,17243.0,45270.0
2,1341873839009.2878,3876.0,9709.0,14133.0,16838.0,44556.0
3,1373884385467.663,3881.0,9381.0,14007.0,16143.0,43412.0
4,1405800815360.3367,3802.0,9438.0,13372.0,15902.0,42514.0
5,1437520658372.2136,3858.0,9104.0,13165.0,15349.0,41476.0
6,1475191068580.5422,5016.0,12227.0,16996.0,19429.0,53668.0
7,1512130168332.4565,3802.0,9200.0,12632.0,13824.0,39458.0
8,1549571334134.6155,4992.0,11990.0,16159.0,17690.0,50831.0
9,1586839455069.4263,3817.0,8721.0,11843.0,12420.0,36801.0
10,1623886735299.9407,5051.0,11428.0,14792.0,15920.0,47191.0
11,1666554382826.4758,5031.0,11089.0,14652.0,15256.0,46028.0
12,1709120825147.3477,5090.0,10948.0,13913.0,14403.0,44354.0
13,1751963690476.1904,4872.0,10814.0,13336.0,13386.0,42408.0
14,1794494475597.0925,4815.0,10482.0,12997.0,12849.0,41143.0
15,1837167626973.965,4686.0,10293.0,12656.0,11911.0,39546.0
16,1879404068522.484,4670.0,10000.0,12036.0,11421.0,38127.0
17,1927846554679.465,5834.0,12027.0,14173.0,13229.0,45263.0
18,1975141055966.209,4735.0,9704.0,10780.0,9887.0,35106.0
19,2023222546648.2378,5788.0,11636.0,13126.0,11439.0,41989.0
20,2071343074173.3691,4476.0,9054.0,10085.0,8841.0,32456.0
21,2118923463887.8909,5566.0,11059.0,12106.0,10124.0,38855.0
22,2172431875224.0947,5578.0,10821.0,11417.0,9746.0,37562.0
23,2225780896860.9863,5575.0,10456.0,10926.0,8944.0,35901.0
24,2284271450196.791,6606.0,12311.0,12391.0,10026.0,41334.0
25,2342603242946.1343,5458.0,10140.0,9825.0,7685.0,33108.0
26,2396507851851.852,5400.0,9793.0,9515.0,7140.0,31848.0
27,2454118353450.944,6462.0,11257.0,10955.0,8168.0,36842.0
28,2518570109204.368,6410.0,10910.0,10581.0,7716.0,35617.0
29,2582662391033.624,6424.0,10916.0,9972.0,7249.0,34561.0
30,2646295630050.883,6682.0,10722.0,9642.0,6885.0,33931.0
31,2710346567024.755,6423.0,10343.0,9128.0,6297.0,32191.0
32,2773613121546.9614,6516.0,10299.0,8691.0,5886.0,31392.0
33,2843436923678.041,7678.0,11850.0,10007.0,6540.0,36075.0
34,2912469977289.9316,6605.0,9786.0,8319.0,5300.0,30010.0
