,mass bin,1st Xoff,2nd Xoff,3rd Xoff,4th Xoff,full sample
0,1277949533627.884,2037.0,5670.0,9818.0,14351.0,31876.0
1,1310063718497.3848,2103.0,5838.0,9947.0,14173.0,32061.0
2,1341917437379.5762,2076.0,5779.0,9867.0,14222.0,31944.0
3,1373701668302.257,2038.0,5810.0,9912.0,14257.0,32017.0
4,1405885825331.5044,2187.0,5778.0,9705.0,14020.0,31690.0
5,1437460981419.7236,2099.0,5706.0,9614.0,13894.0,31313.0
6,1474580986394.5579,2940.0,7676.0,12730.0,17875.0,41221.0
7,1512255112333.7917,2181.0,5677.0,9266.0,13097.0,30221.0
8,1549738209982.7883,2905.0,7649.0,12223.0,16938.0,39715.0
9,1586657310469.314,2216.0,5620.0,9007.0,12122.0,28965.0
10,1624071046054.9805,2801.0,7507.0,11652.0,15757.0,37717.0
11,1666770263705.76,2882.0,7497.0,11290.0,14791.0,36460.0
12,1708874485049.834,3010.0,7239.0,10907.0,14166.0,35322.0
13,1752024426958.6042,2923.0,7146.0,10722.0,13592.0,34383.0
14,1794545949770.0742,2827.0,7111.0,10346.0,12954.0,33238.0
15,1837272372372.3723,2997.0,6867.0,9943.0,12367.0,32174.0
16,1879277279202.2793,2808.0,6962.0,9784.0,11755.0,31309.0
17,1927692823100.6448,3567.0,8531.0,11713.0,13947.0,37758.0
18,1975096054948.9258,2839.0,6713.0,9158.0,10580.0,29290.0
19,2024021962221.5957,3547.0,8076.0,10613.0,12628.0,34864.0
20,2071519315751.9602,2806.0,6505.0,8487.0,9469.0,27267.0
21,2119327777777.7778,3456.0,7755.0,9993.0,11281.0,32485.0
22,2172225924871.941,3514.0,7802.0,9880.0,10684.0,31880.0
23,2225619122257.053,3509.0,7635.0,9432.0,10055.0,30631.0
24,2284492285298.399,4122.0,8883.0,10962.0,11388.0,35355.0
25,2342760647607.9346,3428.0,7062.0,8750.0,8937.0,28177.0
26,2396391137370.7534,3385.0,6885.0,8384.0,8400.0,27054.0
27,2454816104680.423,3974.0,8377.0,9933.0,9488.0,31772.0
28,2519116375872.383,4012.0,7862.0,9155.0,8958.0,29987.0
29,2581910312657.5894,3966.0,7777.0,8698.0,8434.0,28875.0
30,2646275440871.369,3856.0,7576.0,8477.0,7806.0,27715.0
31,2710467219486.9136,3859.0,7403.0,8161.0,7411.0,26834.0
32,2773783333333.3335,3858.0,7301.0,7595.0,6913.0,25667.0
33,2843472680652.6807,4290.0,8148.0,8674.0,7712.0,28824.0
34,2912928506301.9575,3729.0,6846.0,7043.0,6182.0,23800.0
35,2981570678941.312,4345.0,7652.0,7992.0,6796.0,26785.0
36,3056800734787.6006,4355.0,7609.0,7431.0,6357.0,25752.0
37,3130334003390.6514,4129.0,7329.0,7144.0,6052.0,24654.0
38,3205093415122.684,3994.0,7167.0,6949.0,5557.0,23667.0
39,3285222024828.767,4672.0,7866.0,7641.0,5972.0,26151.0
40,3369255684302.5796,4574.0,7521.0,7147.0,5585.0,24827.0
41,3455392645420.1025,4487.0,7443.0,6737.0,5336.0,24003.0
42,3540722498868.266,4418.0,7327.0,6534.0,5011.0,23290.0
43,3626305405405.4053,4477.0,7167.0,6273.0,4637.0,22554.0
44,3710993181299.8857,4385.0,6790.0,5893.0,4415.0,21483.0
45,3802336584871.2227,4931.0,7645.0,6509.0,4683.0,23768.0
46,3897434833780.7144,4843.0,7443.0,6310.0,4572.0,23168.0
47,3992960650535.502,5042.0,7397.0,6177.0,4219.0,22835.0
48,4089382916498.5884,4958.0,7277.0,5822.0,3890.0,21947.0
49,4190339502613.0835,5549.0,7818.0,6295.0,4205.0,23867.0
50,4297260400956.4097,5437.0,7593.0,6073.0,3929.0,23032.0
51,4403023516483.517,5460.0,7323.0,5845.0,3756.0,22384.0
52,4509767564575.6455,5420.0,7217.0,5511.0,3621.0,21769.0
53,4621031823008.85,5650.0,7593.0,5787.0,3713.0,22743.0
54,4733934171154.997,5013.0,6648.0,5090.0,3273.0,20024.0
55,4845270572006.621,5437.0,7107.0,5335.0,3253.0,21132.0
56,4967060097577.976,5739.0,7551.0,5359.0,3482.0,22131.0
57,5089661590271.281,5345.0,6440.0,4759.0,2984.0,19528.0
58,5212331176159.407,5671.0,6857.0,4834.0,3017.0,20379.0
59,5340461257976.299,5485.0,6497.0,4450.0,2816.0,19248.0
60,5474129547410.084,5811.0,6638.0,4527.0,2813.0,19789.0
61,5611163916967.509,5540.0,6429.0,4216.0,2631.0,18816.0
62,5750750944424.265,5506.0,6110.0,4070.0,2452.0,18138.0
63,5888757240075.614,5290.0,5733.0,3851.0,2255.0,17129.0
64,6032280110202.631,5626.0,5911.0,3747.0,2301.0,17585.0
65,6180275772718.86,5403.0,5746.0,3546.0,2110.0,16805.0
66,6337476933945.603,5662.0,5736.0,3590.0,2086.0,17074.0
67,6490557941232.956,5207.0,5141.0,3088.0,1795.0,15231.0
68,6650034684765.137,5599.0,5578.0,3319.0,1986.0,16482.0
69,6814814145234.493,5288.0,4926.0,3014.0,1674.0,14902.0
70,6979714763128.902,5446.0,5209.0,2813.0,1587.0,15055.0
71,7151070823176.448,5333.0,4814.0,2667.0,1441.0,14255.0
72,7325811783203.848,5406.0,4778.0,2705.0,1467.0,14356.0
73,7507049926199.262,5420.0,4669.0,2530.0,1421.0,14040.0
74,7693070947210.782,5342.0,4635.0,2548.0,1310.0,13835.0
75,7884836908948.809,5118.0,4310.0,2303.0,1100.0,12831.0
76,8077700534865.293,5048.0,4307.0,2258.0,1041.0,12654.0
77,8274158208672.6,5281.0,4163.0,2145.0,1083.0,12672.0
78,8481961123897.2,5214.0,4127.0,2094.0,1034.0,12469.0
79,8689474537497.514,5027.0,3780.0,1814.0,878.0,11499.0
80,8903019121252.121,5303.0,3793.0,1949.0,867.0,11912.0
81,9120550051578.295,4847.0,3468.0,1684.0,755.0,10754.0
82,9343501696549.064,5187.0,3698.0,1810.0,767.0,11462.0
83,9577524740653.748,5109.0,3437.0,1683.0,689.0,10918.0
84,9812208185483.871,4960.0,3212.0,1454.0,626.0,10252.0
85,10052247005076.143,4925.0,3222.0,1442.0,639.0,10228.0
86,10297671744574.291,4792.0,3037.0,1434.0,573.0,9836.0
87,10551649368587.215,5068.0,3103.0,1362.0,547.0,10080.0
88,10813476241210.312,4693.0,2772.0,1247.0,537.0,9249.0
89,11075296121705.592,4667.0,2808.0,1181.0,470.0,9126.0
90,11347220838522.209,4818.0,2774.0,1146.0,447.0,9185.0
91,11628023932329.275,4847.0,2772.0,1063.0,411.0,9093.0
92,11916814926013.297,4663.0,2507.0,1038.0,366.0,8574.0
93,12209405957092.271,4801.0,2452.0,1031.0,323.0,8607.0
94,12511575067301.719,4829.0,2464.0,996.0,311.0,8600.0
95,12822774665817.951,4713.0,2322.0,872.0,291.0,8198.0
96,13135781305506.217,4504.0,2243.0,924.0,261.0,7932.0
97,13454534571492.504,4469.0,2078.0,801.0,244.0,7592.0
98,13785101411509.229,4605.0,2062.0,824.0,227.0,7718.0
99,14126921388577.828,4465.0,1912.0,758.0,212.0,7347.0
100,14473198473282.443,4454.0,1947.0,700.0,193.0,7294.0
101,14824217234378.525,4433.0,1868.0,637.0,174.0,7112.0
102,15196253593890.387,4452.0,1792.0,661.0,166.0,7071.0
103,15566816411682.893,4314.0,1694.0,559.0,144.0,6711.0
104,15949555940822.932,4326.0,1621.0,574.0,146.0,6667.0
105,16345774253731.344,4288.0,1490.0,496.0,101.0,6375.0
