,mass bin,1st Xoff,2nd Xoff,3rd Xoff,4th Xoff,full sample
0,1277920516499.2827,4879.0,11768.0,15505.0,15639.0,47791.0
1,1309897794261.175,5123.0,11410.0,15326.0,15595.0,47454.0
2,1341716486113.8467,5077.0,11279.0,15156.0,15241.0,46753.0
3,1373559595566.7898,5143.0,11431.0,14593.0,14566.0,45733.0
4,1405735206744.2793,4982.0,10986.0,14053.0,14123.0,44144.0
5,1437634788789.602,4924.0,10988.0,13561.0,13443.0,42916.0
6,1474893120578.052,6643.0,14287.0,17473.0,16829.0,55232.0
7,1512155684406.7095,4829.0,10332.0,12590.0,12072.0,39823.0
8,1549361824014.6655,6546.0,13731.0,16119.0,15402.0,51798.0
9,1586981240736.8198,4723.0,9890.0,11580.0,10840.0,37033.0
10,1623943257196.4956,6392.0,13010.0,14875.0,13634.0,47911.0
11,1666567953480.8594,6191.0,12512.0,14251.0,12795.0,45749.0
12,1709096532728.4512,6172.0,12249.0,13481.0,12117.0,44019.0
13,1751576704545.4546,6160.0,11848.0,12956.0,11199.0,42163.0
14,1794063033410.5193,6046.0,11601.0,12411.0,10560.0,40618.0
15,1837038665781.613,6026.0,11214.0,11700.0,9871.0,38811.0
16,1879534200867.5342,5994.0,11041.0,11285.0,9220.0,37540.0
17,1927286492890.9954,7174.0,13463.0,13422.0,10694.0,44753.0
18,1975258890030.8325,5838.0,10516.0,10263.0,7965.0,34582.0
19,2023233084442.031,7366.0,12709.0,12097.0,9073.0,41245.0
20,2071065264444.0566,5729.0,9927.0,9230.0,6935.0,31821.0
21,2119146990481.523,7144.0,11919.0,11048.0,8136.0,38247.0
22,2172519594885.7922,6961.0,11696.0,10425.0,7504.0,36586.0
23,2225536854290.2617,6911.0,11291.0,10063.0,6863.0,35128.0
24,2284222766990.2915,8240.0,13382.0,11364.0,7557.0,40543.0
25,2342831744202.794,6943.0,10704.0,8965.0,5928.0,32540.0
26,2396030310994.3057,6849.0,10440.0,8585.0,5667.0,31541.0
27,2454472308996.2466,8259.0,12401.0,9874.0,6402.0,36936.0
28,2518289913167.5986,8407.0,12316.0,9525.0,5732.0,35980.0
29,2582023795513.056,8157.0,11822.0,9001.0,5372.0,34352.0
30,2646201353512.9814,8127.0,11523.0,8455.0,5084.0,33189.0
31,2710369570038.1914,8117.0,11056.0,8229.0,4740.0,32142.0
32,2774183331278.5107,8111.0,10910.0,7932.0,4465.0,31418.0
33,2843612865808.237,9397.0,12291.0,8688.0,4839.0,35215.0
34,2912676183790.6826,7835.0,10220.0,7016.0,3962.0,29033.0
35,2981701456475.1045,8857.0,11164.0,7797.0,4200.0,32018.0
36,3056157637954.2397,8916.0,10847.0,7155.0,3822.0,30740.0
37,3130589785507.2466,8625.0,10307.0,6662.0,3644.0,29238.0
38,3204994718604.373,8369.0,9962.0,6323.0,3276.0,27930.0
39,3285046324301.617,9522.0,10698.0,6747.0,3500.0,30467.0
40,3370152818161.4854,8942.0,10299.0,6252.0,3180.0,28673.0
41,3456094096560.9946,8927.0,9333.0,5819.0,2904.0,26983.0
42,3540362656903.7656,8604.0,9177.0,5305.0,2554.0,25640.0
43,3625650186634.5576,8305.0,8474.0,4858.0,2378.0,24015.0
44,3711383036482.005,8141.0,8088.0,4512.0,2126.0,22867.0
45,3801557651044.6074,8855.0,8501.0,4783.0,2215.0,24354.0
46,3897504369047.619,8400.0,7924.0,4397.0,2023.0,22744.0
47,3993161661303.778,8391.0,7449.0,3935.0,1761.0,21536.0
48,4088400263355.9067,7974.0,7085.0,3616.0,1581.0,20256.0
49,4190149709437.4707,8604.0,7338.0,3796.0,1631.0,21369.0
50,4296192014345.4873,8365.0,6860.0,3511.0,1388.0,20124.0
51,4403367793215.672,7989.0,6513.0,3191.0,1238.0,18931.0
52,4509669529085.873,7942.0,6135.0,2914.0,1153.0,18144.0
53,4621007996248.095,8529.0,6456.0,2953.0,1133.0,19071.0
