,mass bin,1st Xoff,2nd Xoff,3rd Xoff,4th Xoff,all realizations
76,8076579107240.352,286892.0,128254.0,39348.0,8030.0,462524.0
77,8273516962292.775,291619.0,125696.0,37336.0,7592.0,462243.0
78,8481091975717.875,296169.0,123429.0,35443.0,6633.0,461674.0
79,8688959567992.998,271857.0,108559.0,30722.0,5705.0,416843.0
80,8901775422716.871,289638.0,111637.0,30521.0,5376.0,437172.0
81,9120030274148.764,267201.0,97715.0,26158.0,4587.0,395661.0
82,9343738553899.943,283345.0,100497.0,25939.0,4312.0,414093.0
83,9578045077081.139,272436.0,92542.0,23090.0,3803.0,391871.0
84,9812282365009.004,262543.0,85193.0,20878.0,3368.0,371982.0
85,10051855524724.44,265698.0,81718.0,19427.0,2922.0,369765.0
86,10296616371400.69,255829.0,75642.0,17355.0,2665.0,351491.0
87,10552137242232.457,267109.0,75521.0,16958.0,2560.0,362148.0
88,10813032964304.316,246934.0,66525.0,14576.0,2201.0,330236.0
89,11073965336791.377,247870.0,63025.0,13398.0,1903.0,326196.0
90,11345621342651.787,248030.0,59838.0,12581.0,1779.0,322228.0
91,11627631412716.588,247997.0,56826.0,11409.0,1652.0,317884.0
92,11915385779824.111,238766.0,51289.0,10377.0,1463.0,301895.0
93,12208125714997.105,237840.0,48587.0,9374.0,1403.0,297204.0
94,12511163165854.479,236696.0,45032.0,8583.0,1288.0,291599.0
95,12820425933895.834,226945.0,40900.0,7467.0,1191.0,276503.0
96,13134091709445.49,225272.0,38123.0,6850.0,1112.0,271357.0
97,13454192972025.543,217712.0,34126.0,6173.0,1011.0,259022.0
98,13783836581404.791,221584.0,32503.0,5987.0,1004.0,261078.0
99,14124815549971.066,211873.0,28995.0,5261.0,984.0,247113.0
100,14471061414661.824,208817.0,26832.0,4855.0,953.0,241457.0
101,14827337202947.121,206121.0,24596.0,4425.0,885.0,236027.0
102,15194630001602.418,203792.0,22161.0,4106.0,842.0,230901.0
103,15567649874996.016,195111.0,19831.0,3801.0,850.0,219593.0
104,15950897090235.049,196715.0,18337.0,3696.0,823.0,219571.0
105,16344561779601.816,185718.0,16302.0,3268.0,848.0,206136.0
106,16744222545738.564,183610.0,14808.0,3043.0,830.0,202291.0
107,17154324387799.52,180278.0,13495.0,3056.0,737.0,197566.0
108,17575002954554.896,176796.0,12123.0,2868.0,797.0,192584.0
109,18006149018660.223,171756.0,10925.0,2768.0,776.0,186225.0
110,18452842026244.043,170909.0,10027.0,2745.0,818.0,184499.0
111,18911225246403.57,162225.0,8813.0,2582.0,789.0,174409.0
112,19374591872364.27,158127.0,8102.0,2556.0,760.0,169545.0
113,19848389788807.08,154527.0,7238.0,2467.0,783.0,165015.0
114,20337740986857.5,152262.0,6827.0,2536.0,749.0,162374.0
115,20837856711915.535,144644.0,6100.0,2325.0,747.0,153816.0
116,21349351208524.074,142306.0,5829.0,2433.0,815.0,151383.0
117,21876318631261.68,138246.0,5382.0,2298.0,720.0,146646.0
118,22414053776553.617,134403.0,5213.0,2320.0,747.0,142683.0
119,22962829210331.246,129794.0,4863.0,2251.0,694.0,137602.0
120,23526768770853.395,126298.0,4610.0,2316.0,747.0,133971.0
121,24106390543890.008,121001.0,4407.0,2216.0,674.0,128298.0
122,24699845254204.523,116946.0,4261.0,2199.0,746.0,124152.0
123,25304805289920.445,114803.0,4159.0,2209.0,759.0,121930.0
124,25929121806835.168,111413.0,4081.0,2225.0,698.0,118417.0
125,26566436765560.363,108403.0,4055.0,2112.0,739.0,115309.0
126,27221568245634.895,102526.0,3928.0,2153.0,726.0,109333.0
127,27892107929227.957,100543.0,3855.0,2136.0,740.0,107274.0
128,28579860675817.55,96288.0,3843.0,2040.0,697.0,102868.0
129,29282738056780.457,94365.0,3724.0,2121.0,705.0,100915.0
130,30000715125998.39,90396.0,3689.0,2138.0,683.0,96906.0
131,30734798796059.832,86897.0,3558.0,2061.0,678.0,93194.0
132,31490816367794.758,84124.0,3628.0,2031.0,724.0,90507.0
133,32267847683939.31,81174.0,3451.0,1985.0,715.0,87325.0
134,33060968478286.62,78182.0,3542.0,1973.0,721.0,84418.0
