,mass bin,1st Xoff,2nd Xoff,3rd Xoff,4th Xoff,full sample
0,1277991113610.7986,4445.0,9548.0,11669.0,11501.0,37163.0
1,1309680206463.1958,4456.0,9440.0,11108.0,11151.0,36155.0
2,1341775837702.3022,4387.0,9163.0,10696.0,10593.0,34839.0
3,1373850033700.292,4451.0,9121.0,10431.0,9995.0,33998.0
4,1405459416936.6035,4322.0,8814.0,10046.0,9494.0,32676.0
5,1437718917001.6553,4229.0,8651.0,9657.0,9187.0,31724.0
6,1475082855131.139,5681.0,11166.0,12422.0,11082.0,40351.0
7,1512126277199.6216,4228.0,8135.0,8857.0,8017.0,29237.0
8,1549412026806.7378,5521.0,10756.0,11148.0,9858.0,37283.0
9,1586825346191.8892,4044.0,7691.0,8110.0,7059.0,26904.0
10,1623415560764.515,5546.0,9886.0,10221.0,8699.0,34352.0
11,1666433401639.3442,5368.0,9601.0,9517.0,8133.0,32619.0
12,1709014575820.8389,5269.0,9226.0,9177.0,7664.0,31336.0
13,1752010686015.831,5306.0,9096.0,8695.0,7054.0,30151.0
14,1794522888759.464,5151.0,8776.0,8130.0,6535.0,28592.0
15,1837000984058.2563,5081.0,8430.0,7815.0,5946.0,27272.0
16,1879652278606.965,5025.0,8244.0,7192.0,5526.0,25987.0
17,1927610003140.7036,6368.0,9906.0,8600.0,6410.0,31284.0
18,1975451138461.5386,4875.0,7631.0,6570.0,4733.0,23809.0
19,2023265620449.7654,6181.0,9259.0,7633.0,5510.0,28583.0
20,2071369093610.6985,4711.0,7071.0,5786.0,4056.0,21624.0
21,2119313912009.5125,5887.0,8762.0,6671.0,4725.0,26045.0
22,2172207511737.089,5964.0,8144.0,6560.0,4320.0,24988.0
23,2225796888038.943,5752.0,7952.0,6018.0,3934.0,23656.0
24,2283645990011.751,6808.0,9235.0,6894.0,4417.0,27354.0
25,2342649507908.612,5690.0,7417.0,5399.0,3461.0,21967.0
26,2396139817138.7593,5578.0,7104.0,4972.0,3105.0,20759.0
27,2454486772009.0293,6645.0,8294.0,5628.0,3530.0,24097.0
28,2518416326530.6123,6468.0,8003.0,5438.0,3237.0,23146.0
29,2582769710122.4614,6451.0,7572.0,5044.0,3026.0,22093.0
30,2646260607018.6533,6326.0,7337.0,4694.0,2817.0,21174.0
31,2710491024622.7163,6295.0,7164.0,4308.0,2575.0,20342.0
32,2774157603456.872,6017.0,6778.0,4090.0,2350.0,19235.0
33,2843089538373.589,6997.0,7418.0,4455.0,2464.0,21334.0
34,2912439163498.0986,5786.0,6027.0,3568.0,1970.0,17351.0
35,2981864770784.771,6435.0,6846.0,3790.0,2086.0,19157.0
36,3056136668247.1943,6327.0,6160.0,3395.0,1949.0,17831.0
37,3130669124275.5957,6212.0,5793.0,3163.0,1735.0,16903.0
38,3205472994519.1826,6021.0,5499.0,2962.0,1533.0,16015.0
39,3284963585268.451,6761.0,5764.0,3117.0,1587.0,17229.0
40,3370287445346.658,6404.0,5404.0,2751.0,1445.0,16004.0
41,3455293228995.0576,6070.0,5047.0,2475.0,1227.0,14819.0
42,3540667214202.7544,6027.0,4698.0,2315.0,1186.0,14226.0
43,3625674726989.0796,5769.0,4474.0,2087.0,1096.0,13426.0
44,3711381719260.0654,5514.0,4202.0,1960.0,969.0,12645.0
45,3801117536428.3296,5902.0,4297.0,1974.0,907.0,13080.0
46,3897726600308.9067,5827.0,4036.0,1851.0,785.0,12499.0
47,3993201395099.2666,5591.0,3764.0,1624.0,756.0,11735.0
48,4088510913182.0737,5333.0,3503.0,1462.0,655.0,10953.0
49,4190325008756.5674,5710.0,3487.0,1492.0,609.0,11298.0
50,4297082519884.3096,5532.0,3264.0,1334.0,568.0,10698.0
51,4403495805566.444,5102.0,3046.0,1194.0,485.0,9827.0
52,4509304797353.185,4836.0,2856.0,1066.0,431.0,9189.0
53,4621919680436.477,5132.0,2911.0,1146.0,407.0,9596.0
54,4732710535223.186,4727.0,2406.0,952.0,334.0,8419.0
55,4845251694214.876,4840.0,2452.0,924.0,342.0,8558.0
56,4968223620933.521,4949.0,2457.0,898.0,296.0,8600.0
57,5089935019191.691,4429.0,2085.0,717.0,238.0,7469.0
58,5212227233210.172,4601.0,2103.0,785.0,264.0,7753.0
59,5340304018650.089,4504.0,1902.0,635.0,190.0,7231.0
60,5472927729066.199,4562.0,1978.0,636.0,203.0,7379.0
61,5611070855734.767,4464.0,1806.0,591.0,165.0,7026.0
62,5751437406242.438,4133.0,1540.0,556.0,141.0,6370.0
63,5888101276276.276,3996.0,1414.0,466.0,134.0,6010.0
64,6033128439250.061,4107.0,1467.0,426.0,121.0,6121.0
65,6180751726844.584,3822.0,1303.0,433.0,105.0,5663.0
66,6335310329726.945,3882.0,1287.0,365.0,112.0,5646.0
67,6488829688385.27,3530.0,1121.0,323.0,75.0,5049.0
68,6647909180243.082,3867.0,1180.0,304.0,78.0,5429.0
69,6815143251005.17,3482.0,953.0,265.0,66.0,4766.0
70,6979970859538.784,3339.0,1008.0,267.0,64.0,4678.0
71,7150374511627.907,3225.0,852.0,204.0,32.0,4313.0
72,7325119257614.213,3152.0,825.0,206.0,47.0,4230.0
73,7506384147494.484,3173.0,733.0,193.0,35.0,4134.0
74,7692260620915.032,3060.0,725.0,168.0,45.0,3998.0
75,7886280538513.974,2934.0,686.0,151.0,33.0,3804.0
76,8075942738138.355,2761.0,615.0,138.0,28.0,3542.0
77,8275473602264.686,2826.0,543.0,112.0,16.0,3497.0
78,8481801698590.531,2767.0,532.0,131.0,21.0,3451.0
79,8687715304067.66,2483.0,427.0,92.0,22.0,3024.0
80,8902691261398.176,2632.0,460.0,89.0,14.0,3195.0
81,9120723847874.72,2235.0,382.0,63.0,7.0,2687.0
82,9344329406706.793,2326.0,404.0,67.0,12.0,2809.0
83,9578240203131.613,2363.0,308.0,59.0,7.0,2737.0
84,9811524242424.242,2211.0,294.0,55.0,7.0,2567.0
85,10054365286470.871,2077.0,263.0,52.0,4.0,2396.0
86,10296010491177.873,2097.0,246.0,42.0,6.0,2391.0
87,10553636936500.242,2063.0,250.0,50.0,5.0,2368.0
88,10812807459677.42,1984.0,217.0,34.0,8.0,2243.0
89,11072524599226.092,1809.0,159.0,37.0,2.0,2007.0
90,11344411529680.365,1752.0,156.0,25.0,5.0,1938.0
91,11627247119815.668,1736.0,154.0,21.0,4.0,1915.0
92,11916176866585.066,1634.0,123.0,18.0,1.0,1776.0
93,12207872367581.365,1567.0,109.0,23.0,8.0,1707.0
94,12510561812297.734,1545.0,89.0,14.0,4.0,1652.0
95,12818588835942.818,1469.0,99.0,17.0,2.0,1587.0
96,13127706813489.332,1453.0,76.0,16.0,2.0,1547.0
97,13455854244928.625,1331.0,68.0,13.0,3.0,1415.0
98,13781903676470.588,1360.0,56.0,18.0,2.0,1436.0
99,14122137064071.371,1233.0,39.0,12.0,2.0,1286.0
100,14475415936952.715,1142.0,46.0,14.0,2.0,1204.0
101,14824466787989.08,1099.0,40.0,7.0,2.0,1148.0
102,15195646812080.537,1192.0,39.0,12.0,2.0,1245.0
103,15562867211440.246,979.0,40.0,9.0,4.0,1032.0
104,15953307766990.291,1030.0,31.0,13.0,1.0,1075.0
105,16336917894736.842,950.0,23.0,4.0,3.0,980.0
106,16739953333333.334,900.0,20.0,11.0,2.0,933.0
107,17150795724465.559,842.0,15.0,5.0,1.0,863.0
108,17577507058823.53,850.0,16.0,4.0,6.0,876.0
109,18009704402515.723,795.0,10.0,5.0,2.0,812.0
110,18454839843750.0,768.0,20.0,11.0,0.0,799.0
111,18911997130559.54,697.0,16.0,6.0,1.0,720.0
112,19372683823529.41,680.0,15.0,11.0,1.0,707.0
113,19839296825396.824,630.0,12.0,10.0,0.0,652.0
114,20331949685534.59,636.0,5.0,9.0,2.0,652.0
115,20834173112338.86,543.0,16.0,7.0,1.0,567.0
116,21363022018348.625,545.0,14.0,11.0,3.0,573.0
117,21874138832997.99,497.0,18.0,6.0,3.0,524.0
118,22420555555555.555,486.0,7.0,6.0,3.0,502.0
119,22965162995594.715,454.0,17.0,6.0,3.0,480.0
120,23531437500000.0,432.0,14.0,5.0,2.0,453.0
121,24102510158013.543,443.0,11.0,1.0,1.0,456.0
122,24691587677725.117,422.0,9.0,7.0,2.0,440.0
123,25296254901960.785,357.0,8.0,7.0,2.0,374.0
124,25920519886363.637,352.0,10.0,5.0,2.0,369.0
125,26586940993788.82,322.0,3.0,6.0,0.0,331.0
126,27240214035087.72,285.0,10.0,6.0,1.0,302.0
127,27883954225352.113,284.0,9.0,4.0,2.0,299.0
128,28575224137931.035,290.0,5.0,9.0,2.0,306.0
129,29266608163265.305,245.0,12.0,5.0,0.0,262.0
130,29991339055793.992,233.0,5.0,5.0,2.0,245.0
131,30723244019138.758,209.0,10.0,1.0,1.0,221.0
132,31490828282828.28,198.0,8.0,5.0,1.0,212.0
133,32262464864864.863,185.0,9.0,2.0,0.0,196.0
134,33056878980891.72,157.0,6.0,2.0,0.0,165.0
135,33872836257309.94,171.0,3.0,3.0,2.0,179.0
136,34712230769230.77,156.0,5.0,3.0,1.0,165.0
137,35539166666666.664,192.0,9.0,3.0,1.0,205.0
138,36384661870503.59,139.0,2.0,4.0,0.0,145.0
139,37342552238805.97,134.0,7.0,2.0,1.0,144.0
140,38250055118110.234,127.0,0.0,4.0,0.0,131.0
141,39202860000000.0,100.0,5.0,2.0,1.0,108.0
142,40165459016393.445,122.0,0.0,3.0,0.0,125.0
143,41142708737864.08,103.0,4.0,5.0,1.0,113.0
144,42115988764044.945,89.0,3.0,4.0,0.0,96.0
145,43200530612244.9,98.0,2.0,3.0,1.0,104.0
146,44245579545454.55,88.0,4.0,0.0,0.0,92.0
147,45393985714285.71,70.0,5.0,1.0,0.0,76.0
148,46447935064935.06,77.0,4.0,2.0,0.0,83.0
149,47590384615384.62,78.0,0.0,4.0,1.0,83.0
150,48775803030303.03,66.0,2.0,2.0,1.0,71.0
151,49930762711864.41,59.0,2.0,1.0,0.0,62.0
152,51166160714285.71,56.0,2.0,0.0,1.0,59.0
153,52415692307692.305,52.0,3.0,1.0,0.0,56.0
154,53744910714285.71,56.0,4.0,0.0,1.0,61.0
155,55065666666666.664,39.0,2.0,1.0,1.0,43.0
156,56384659090909.09,44.0,0.0,1.0,0.0,45.0
157,57843512820512.82,39.0,2.0,1.0,1.0,43.0
158,59242300000000.0,30.0,1.0,1.0,0.0,32.0
159,60726875000000.0,40.0,3.0,1.0,1.0,45.0
160,62104357142857.14,28.0,3.0,0.0,0.0,31.0
161,63555178571428.57,28.0,1.0,1.0,0.0,30.0
162,65306129032258.06,31.0,0.0,0.0,0.0,31.0
163,66818680000000.0,25.0,3.0,0.0,0.0,28.0
164,68559190476190.48,21.0,1.0,0.0,0.0,22.0
165,70075550000000.0,20.0,1.0,0.0,0.0,21.0
166,72050750000000.0,12.0,1.0,0.0,0.0,13.0
167,73718727272727.27,11.0,1.0,0.0,0.0,12.0
168,75632200000000.0,15.0,2.0,0.0,2.0,19.0
169,77086642857142.86,14.0,2.0,0.0,0.0,16.0
170,79417692307692.31,13.0,1.0,0.0,1.0,15.0
171,81264200000000.0,5.0,2.0,0.0,0.0,7.0
172,83546666666666.67,9.0,0.0,0.0,0.0,9.0
173,85234500000000.0,12.0,1.0,1.0,0.0,14.0
174,87321750000000.0,12.0,1.0,0.0,0.0,13.0
175,89161700000000.0,10.0,2.0,0.0,0.0,12.0
176,92022250000000.0,4.0,1.0,0.0,0.0,5.0
177,94295000000000.0,3.0,0.0,0.0,0.0,3.0
178,95860000000000.0,5.0,0.0,0.0,0.0,5.0
179,98767666666666.67,3.0,1.0,0.0,0.0,4.0
180,101350000000000.0,3.0,1.0,0.0,0.0,4.0
181,103415714285714.28,7.0,0.0,0.0,0.0,7.0
182,105946000000000.0,5.0,0.0,0.0,0.0,5.0
183,108870000000000.0,6.0,3.0,1.0,1.0,11.0
184,111937500000000.0,4.0,0.0,0.0,0.0,4.0
185,115186666666666.67,3.0,0.0,0.0,0.0,3.0
186,116715000000000.0,2.0,0.0,0.0,0.0,2.0
187,119235000000000.0,2.0,0.0,0.0,0.0,2.0
188,122496000000000.0,5.0,1.0,0.0,0.0,6.0
189,125860000000000.0,1.0,0.0,0.0,0.0,1.0
190,127600000000000.0,2.0,0.0,0.0,0.0,2.0
191,,0.0,0.0,0.0,0.0,0.0
192,,0.0,0.0,0.0,0.0,0.0
193,137730000000000.0,1.0,0.0,1.0,0.0,2.0
194,,0.0,0.0,0.0,0.0,0.0
195,145505000000000.0,2.0,0.0,0.0,0.0,2.0
196,,0.0,0.0,0.0,0.0,0.0
197,,0.0,0.0,0.0,0.0,0.0
198,,0.0,0.0,0.0,0.0,0.0
