,mass bin,1st Xoff,2nd Xoff,3rd Xoff,4th Xoff,full sample
0,1277996218743.647,4919.0,11547.0,15717.0,16334.0,48517.0
1,1309791617854.9788,4951.0,11447.0,15081.0,16031.0,47510.0
2,1341791266735.3245,4855.0,11492.0,15189.0,15545.0,47081.0
3,1373726620745.543,4936.0,11236.0,14919.0,14936.0,46027.0
4,1405782635467.9802,4872.0,10982.0,14262.0,14458.0,44574.0
5,1437684153117.9255,4859.0,10959.0,13806.0,13927.0,43551.0
6,1474847513897.4675,6476.0,14042.0,17920.0,17507.0,55945.0
7,1512082751454.6965,4812.0,10665.0,12711.0,12440.0,40628.0
8,1549427803811.309,6402.0,13420.0,16540.0,15690.0,52052.0
9,1586593587850.6643,4741.0,10039.0,11971.0,11350.0,38101.0
10,1624098682330.5286,6299.0,13205.0,15337.0,14226.0,49067.0
11,1666469043306.4382,6073.0,12462.0,14475.0,13399.0,46409.0
12,1709127503337.7837,5992.0,12455.0,13883.0,12402.0,44732.0
13,1751556725825.1782,6029.0,12009.0,13448.0,11346.0,42832.0
14,1794247719067.9358,6094.0,11689.0,12658.0,11098.0,41539.0
15,1836866900684.9314,5840.0,11504.0,12072.0,10141.0,39557.0
16,1879426570297.7112,5811.0,11030.0,11518.0,9706.0,38065.0
17,1927506737102.0857,7288.0,13632.0,13978.0,11278.0,46176.0
18,1975252057467.187,5638.0,10359.0,10451.0,8499.0,34947.0
19,2023164592838.3796,7233.0,12576.0,12524.0,9907.0,42240.0
20,2071245176819.1077,5401.0,9925.0,9530.0,7505.0,32361.0
21,2119195606785.5588,6897.0,12297.0,11469.0,8588.0,39251.0
22,2172629407482.894,6869.0,11616.0,10862.0,8084.0,37431.0
23,2225863851151.802,6772.0,11418.0,10493.0,7514.0,36197.0
24,2284520692203.473,8119.0,13236.0,11818.0,8269.0,41442.0
25,2342559202270.69,6694.0,10691.0,9327.0,6330.0,33042.0
26,2396168234250.2217,6762.0,10502.0,9052.0,6048.0,32364.0
27,2454382550919.0264,8052.0,12271.0,10395.0,6768.0,37486.0
28,2518693832267.77,7977.0,12072.0,9843.0,6343.0,36235.0
29,2582348383472.725,8011.0,12053.0,9373.0,5835.0,35272.0
