,mass bin,1st Xoff,2nd Xoff,3rd Xoff,4th Xoff,full sample
0,1277985776201.7336,5076.0,12029.0,15747.0,16005.0,48857.0
1,1309981570358.9941,5209.0,11687.0,15175.0,15442.0,47513.0
2,1341590265136.5256,5054.0,11632.0,14837.0,15139.0,46662.0
3,1373783404586.0862,5146.0,11290.0,14307.0,14616.0,45359.0
4,1405694080629.3018,5085.0,11188.0,14288.0,14047.0,44608.0
5,1437630959013.1318,5026.0,11227.0,13620.0,13274.0,43147.0
6,1474960475975.2974,6639.0,14409.0,17554.0,16970.0,55572.0
7,1512234792437.32,4866.0,10485.0,12719.0,12112.0,40182.0
8,1549381608837.7158,6427.0,13806.0,16435.0,15056.0,51724.0
9,1586806060606.0605,4686.0,9972.0,11468.0,10702.0,36828.0
10,1624121716068.6428,6410.0,13131.0,14967.0,13477.0,47985.0
11,1666469755713.16,6345.0,12869.0,14443.0,12871.0,46528.0
12,1708866571110.0493,6279.0,12561.0,13763.0,12141.0,44744.0
13,1751641814339.1318,6151.0,12044.0,13005.0,11107.0,42307.0
14,1794464333715.7842,6101.0,11673.0,12499.0,10523.0,40796.0
15,1837015779785.8098,5976.0,11445.0,11711.0,9753.0,38885.0
16,1879508915822.6797,6023.0,11189.0,11318.0,9116.0,37646.0
17,1927254880148.3247,7551.0,13561.0,13444.0,10598.0,45154.0
18,1975480474611.7605,5731.0,10592.0,10046.0,7747.0,34116.0
19,2023368275196.4705,7253.0,12859.0,12178.0,9254.0,41544.0
20,2071152611353.7117,5725.0,9846.0,9386.0,6943.0,31900.0
21,2119019605337.8762,7044.0,11832.0,10806.0,7993.0,37675.0
22,2172289212305.1455,7249.0,11695.0,10503.0,7346.0,36793.0
23,2225528251568.7393,7012.0,11341.0,9867.0,6931.0,35151.0
24,2284304409063.074,8165.0,13066.0,11353.0,7739.0,40323.0
25,2342904400519.406,6931.0,10748.0,8967.0,5809.0,32455.0
26,2396109442613.555,6979.0,10495.0,8567.0,5575.0,31616.0
27,2454915682478.2188,8264.0,12266.0,9987.0,6163.0,36680.0
28,2518473229291.717,8330.0,11925.0,9446.0,5934.0,35635.0
29,2582158628476.349,8414.0,11632.0,9133.0,5458.0,34637.0
30,2646273701536.2104,8202.0,11633.0,8583.0,4979.0,33397.0
31,2710168934699.714,8392.0,11485.0,8229.0,4760.0,32866.0
32,2773701943765.2812,8180.0,10873.0,7891.0,4420.0,31364.0
33,2843315941127.695,9648.0,12162.0,8691.0,4904.0,35405.0
34,2912785025602.5977,8007.0,10034.0,7043.0,3828.0,28912.0
35,2981866647994.6226,8926.0,11183.0,7870.0,4155.0,32134.0
36,3056272157644.1934,9033.0,10680.0,7240.0,4046.0,30999.0
37,3130845634689.358,8579.0,10344.0,6828.0,3613.0,29364.0
38,3205090295555.0386,8594.0,9860.0,6425.0,3322.0,28201.0
39,3284996961115.3467,9181.0,10477.0,6652.0,3496.0,29806.0
40,3370306525745.2573,9225.0,9854.0,6245.0,3170.0,28494.0
41,3455706380150.6426,9028.0,9545.0,5756.0,2892.0,27221.0
42,3540564333857.56,8902.0,8977.0,5238.0,2558.0,25675.0
43,3625484017023.2886,8459.0,8433.0,4917.0,2263.0,24072.0
44,3710686515058.3896,8135.0,8153.0,4614.0,2200.0,23102.0
45,3801886553873.553,8984.0,8489.0,4729.0,2225.0,24427.0
46,3897199707431.2466,8545.0,8238.0,4369.0,1960.0,23112.0
47,3993018490205.447,8372.0,7595.0,3981.0,1777.0,21725.0
48,4088883243639.922,8176.0,7073.0,3663.0,1567.0,20479.0
49,4190351092769.1235,8602.0,7505.0,3613.0,1562.0,21282.0
50,4296685586888.4067,8298.0,7214.0,3425.0,1422.0,20359.0
51,4403530572708.561,8259.0,6626.0,3179.0,1250.0,19314.0
52,4509741640457.919,7949.0,6093.0,2853.0,1192.0,18087.0
53,4621446858982.0,8389.0,6553.0,2829.0,1137.0,18908.0
54,4734102524087.394,7369.0,5397.0,2461.0,876.0,16103.0
