,mass bin,1st Xoff,2nd Xoff,3rd Xoff,4th Xoff,all realizations
0,1277915130504.4558,141491.0,374655.0,593051.0,753345.0,1862542.0
1,1309858620004.3062,143468.0,374708.0,588465.0,744814.0,1851455.0
2,1341777845110.321,143480.0,372585.0,578120.0,731579.0,1825764.0
3,1373688486267.3843,144032.0,370229.0,570418.0,714364.0,1799043.0
4,1405609268657.8696,143688.0,367006.0,558102.0,692883.0,1761679.0
5,1437597685229.3064,143427.0,362736.0,546541.0,672433.0,1725137.0
6,1474804986750.8845,191025.0,478053.0,708570.0,863502.0,2241150.0
7,1512106275438.4495,143760.0,352768.0,517117.0,620568.0,1634213.0
8,1549342374294.0842,190786.0,465018.0,668283.0,793612.0,2117699.0
9,1586673239177.6155,141488.0,342499.0,486911.0,568255.0,1539153.0
10,1623865848118.5093,187878.0,448917.0,629383.0,722424.0,1988602.0
11,1666473431862.2727,188089.0,441535.0,608219.0,684166.0,1922009.0
12,1709078738791.068,186569.0,431437.0,584676.0,649033.0,1851715.0
13,1751677792601.8904,185283.0,424490.0,564332.0,613520.0,1787625.0
14,1794276628949.7522,184733.0,415940.0,543637.0,581081.0,1725391.0
15,1836891233039.351,182594.0,407654.0,523606.0,549037.0,1662891.0
16,1879480658419.9736,182297.0,399578.0,505085.0,519553.0,1606513.0
17,1927333614657.3203,225788.0,487074.0,606229.0,611186.0,1930277.0
18,1975335162397.4849,178952.0,382964.0,467050.0,460867.0,1489833.0
19,2023181276499.726,222295.0,467375.0,558013.0,541021.0,1788704.0
20,2071134714785.0674,176110.0,365497.0,430044.0,407309.0,1378960.0
21,2118996942718.7039,219058.0,445261.0,515726.0,479507.0,1659552.0
22,2172258329590.395,216589.0,434972.0,493523.0,449042.0,1594126.0
23,2225518016876.353,215080.0,424008.0,472301.0,422706.0,1534095.0
24,2284028919700.481,256191.0,495218.0,538787.0,473314.0,1763510.0
25,2342659975365.969,209778.0,400862.0,429222.0,368218.0,1408080.0
26,2395913905763.491,209502.0,391039.0,412099.0,347875.0,1360515.0
27,2454417105444.812,247511.0,456496.0,471188.0,390101.0,1565296.0
28,2518328161030.2837,245359.0,443273.0,450309.0,364474.0,1503415.0
29,2582260003066.744,243823.0,431594.0,428950.0,340161.0,1444528.0
