,mass bin,1st Xoff,2nd Xoff,3rd Xoff,4th Xoff,full sample
0,1277952794117.647,3400.0,8699.0,13760.0,17086.0,42945.0
1,1309908172231.9858,3414.0,8545.0,13416.0,17048.0,42423.0
2,1341466724890.8296,3435.0,8714.0,13198.0,16546.0,41893.0
3,1373679151732.3774,3348.0,8646.0,12944.0,16257.0,41195.0
4,1405641557279.2363,3352.0,8795.0,12841.0,15867.0,40855.0
5,1437785735512.6301,3365.0,8673.0,12560.0,15333.0,39931.0
6,1474993539763.8672,4489.0,11413.0,16407.0,19836.0,52145.0
7,1512367888198.7578,3220.0,8313.0,12049.0,14107.0,37689.0
8,1549392343783.3228,4689.0,10902.0,15456.0,18092.0,49139.0
9,1586544628588.3398,3379.0,7915.0,11192.0,12809.0,35295.0
10,1624124143444.495,4378.0,10256.0,14461.0,16242.0,45337.0
11,1666539310499.2166,4467.0,10268.0,13825.0,15168.0,43728.0
12,1708978455191.382,4363.0,10110.0,13590.0,14663.0,42726.0
13,1751667030923.0413,4301.0,9891.0,13094.0,13845.0,41131.0
14,1794208364140.4807,4328.0,9806.0,12541.0,13032.0,39707.0
15,1837164209115.2815,4476.0,9559.0,11968.0,12402.0,38405.0
16,1879332627617.0312,4251.0,9382.0,11639.0,11632.0,36904.0
17,1927489474693.2515,5216.0,11397.0,13731.0,13477.0,43821.0
18,1975526464155.5286,4115.0,8914.0,10809.0,10311.0,34149.0
19,2023145744472.7058,5111.0,10883.0,12765.0,12288.0,41047.0
20,2071190762289.2424,4211.0,8601.0,9954.0,9085.0,31851.0
21,2118826987204.3428,5158.0,10503.0,11644.0,10742.0,38047.0
22,2172280994323.7424,5109.0,10154.0,11429.0,10147.0,36839.0
23,2225934711877.695,5102.0,9896.0,10864.0,9498.0,35360.0
24,2284287948544.3467,5908.0,11451.0,12512.0,10636.0,40507.0
25,2343096108709.0796,4857.0,9304.0,9871.0,8272.0,32304.0
26,2396307159067.4644,4847.0,9238.0,9472.0,7697.0,31254.0
27,2454216303779.829,5741.0,10643.0,10945.0,8707.0,36036.0
28,2518340402288.8853,5767.0,10328.0,10331.0,8212.0,34638.0
29,2582058189286.3257,5843.0,10053.0,9842.0,7501.0,33239.0
30,2645929975895.317,5808.0,9950.0,9424.0,7044.0,32226.0
31,2710210147954.743,5745.0,9630.0,9243.0,6642.0,31260.0
32,2773988744588.7446,5775.0,9332.0,8424.0,6360.0,29891.0
33,2843331941176.4707,6800.0,10682.0,9784.0,6909.0,34175.0
34,2912416616206.5894,5615.0,9147.0,7913.0,5448.0,28123.0
35,2981779264748.6196,6882.0,10542.0,8961.0,6101.0,32486.0
36,3056891949463.787,6807.0,10365.0,8769.0,5835.0,31776.0
37,3130709043348.2812,6690.0,10058.0,8379.0,5405.0,30532.0
38,3205278777894.2637,6677.0,9685.0,7974.0,5125.0,29461.0
39,3285289775429.326,7570.0,10969.0,8763.0,5500.0,32802.0
40,3370523126394.54,7619.0,10466.0,8413.0,5346.0,31844.0
41,3455250732933.1284,7163.0,10033.0,7939.0,4912.0,30047.0
42,3540397803706.2456,7285.0,9781.0,7509.0,4518.0,29093.0
43,3625394668935.205,7053.0,9621.0,7080.0,4344.0,28098.0
44,3711300161527.166,6810.0,9021.0,6671.0,4048.0,26550.0
45,3801162799167.5337,7688.0,9835.0,7147.0,4123.0,28793.0
46,3898137798337.356,7458.0,9065.0,6627.0,3952.0,27102.0
47,3992942417028.4272,7141.0,8815.0,6146.0,3624.0,25726.0
48,4089227429713.144,7007.0,8561.0,5886.0,3359.0,24813.0
49,4190415319148.936,7755.0,9087.0,6092.0,3463.0,26397.0
50,4296552374704.802,7622.0,8617.0,5725.0,3186.0,25150.0
51,4403206772039.787,7339.0,8142.0,5261.0,2984.0,23726.0
52,4509312602314.423,7086.0,7705.0,4862.0,2604.0,22257.0
53,4621189098837.209,7568.0,8163.0,5149.0,2755.0,23635.0
54,4733893672199.17,6748.0,6876.0,4249.0,2281.0,20154.0
55,4844959621896.162,7088.0,7283.0,4397.0,2253.0,21021.0
56,4968029514435.695,7620.0,7550.0,4509.0,2264.0,21943.0
57,5090427419354.839,6820.0,6583.0,3829.0,1850.0,19082.0
58,5212566147269.719,7252.0,6718.0,3890.0,1891.0,19751.0
59,5340381565118.591,7041.0,6490.0,3647.0,1714.0,18892.0
60,5473381398809.523,7392.0,6665.0,3711.0,1607.0,19375.0
61,5611994000839.044,7151.0,6321.0,3412.0,1541.0,18425.0
62,5749795860099.929,7005.0,6006.0,3094.0,1373.0,17478.0
63,5888892191435.769,6749.0,5640.0,2906.0,1229.0,16524.0
64,6032424762821.395,7273.0,5768.0,2933.0,1237.0,17211.0
65,6181083016440.314,6995.0,5448.0,2676.0,1045.0,16164.0
66,6335519908116.386,7183.0,5495.0,2636.0,1048.0,16362.0
67,6491542210591.133,6496.0,4923.0,2275.0,859.0,14553.0
68,6650230751900.873,7102.0,5195.0,2519.0,881.0,15697.0
69,6815929363883.026,6634.0,4652.0,2100.0,782.0,14168.0
70,6980133932283.933,6734.0,4674.0,2171.0,727.0,14306.0
71,7149917998460.3545,6495.0,4371.0,1952.0,635.0,13453.0
72,7326428735632.184,6873.0,4368.0,1936.0,622.0,13799.0
73,7508258780864.197,6480.0,4048.0,1836.0,582.0,12946.0
74,7693641514930.809,6865.0,4133.0,1703.0,511.0,13212.0
