,mass bin,1st Xoff,2nd Xoff,3rd Xoff,4th Xoff,full sample
0,1277749569640.0625,2556.0,7102.0,11565.0,15514.0,36737.0
1,1309910282485.8757,2655.0,7177.0,11423.0,15475.0,36730.0
2,1341953734590.2827,2758.0,7008.0,11348.0,15120.0,36234.0
3,1373501876379.691,2718.0,7234.0,11216.0,14855.0,36023.0
4,1405731671449.0674,2788.0,7049.0,11041.0,14728.0,35606.0
5,1437568698578.908,2674.0,6902.0,10835.0,14386.0,34797.0
6,1474910425240.055,3645.0,9343.0,14351.0,18497.0,45836.0
7,1512004070796.4602,2825.0,7058.0,10367.0,13458.0,33708.0
8,1549308568300.0273,3653.0,8924.0,13637.0,17096.0,43310.0
9,1586937344866.4912,2659.0,6725.0,9770.0,12393.0,31547.0
10,1623653717421.1248,3645.0,8683.0,12943.0,15943.0,41214.0
11,1666280115990.058,3621.0,8698.0,12442.0,15208.0,39969.0
12,1709411031518.6248,3490.0,8456.0,12021.0,14443.0,38410.0
13,1751609883398.112,3602.0,8316.0,11556.0,13592.0,37066.0
14,1794367742849.0513,3531.0,8127.0,11190.0,13004.0,35852.0
15,1836569725028.0583,3564.0,8210.0,10781.0,12349.0,34904.0
16,1879733040770.1018,3532.0,7876.0,10546.0,11672.0,33626.0
17,1927709637714.8167,4306.0,9734.0,12428.0,13951.0,40419.0
18,1975540375854.214,3512.0,7667.0,9707.0,10576.0,31462.0
19,2023164162389.174,4286.0,9513.0,11735.0,12438.0,37972.0
20,2070986569386.5396,3358.0,7454.0,8980.0,9215.0,29007.0
21,2118627500000.0,4240.0,8744.0,10796.0,11025.0,34805.0
22,2172375961070.5596,4110.0,8665.0,10144.0,10630.0,33549.0
23,2225892468415.938,4116.0,8470.0,10000.0,9679.0,32265.0
24,2283903203203.203,4995.0,10019.0,11231.0,11032.0,37277.0
25,2342312803532.009,4077.0,8042.0,9065.0,8716.0,29900.0
26,2396038385779.486,4163.0,7903.0,8681.0,8248.0,28995.0
27,2454095985251.946,4882.0,9219.0,9816.0,9193.0,33110.0
28,2518447455152.2734,4794.0,8894.0,9525.0,8645.0,31858.0
29,2582588176181.313,4677.0,8643.0,9059.0,8018.0,30397.0
30,2646203326935.381,4689.0,8323.0,8678.0,7512.0,29202.0
31,2709719159482.759,4640.0,8222.0,8289.0,7211.0,28362.0
32,2774374086305.5923,4542.0,7909.0,8048.0,6806.0,27305.0
33,2842706145774.78,5337.0,9129.0,8792.0,7499.0,30757.0
34,2912595225164.0645,4419.0,7579.0,7182.0,6027.0,25207.0
35,2981499880668.258,5028.0,8577.0,8138.0,6370.0,28113.0
36,3056288604835.513,5046.0,8310.0,7714.0,6059.0,27129.0
37,3130545458256.787,4899.0,8137.0,7453.0,5613.0,26102.0
38,3205325299249.341,4929.0,7953.0,7030.0,5481.0,25393.0
39,3284901907790.143,5661.0,8821.0,7656.0,5821.0,27959.0
40,3370031422429.237,5582.0,8633.0,7219.0,5390.0,26824.0
41,3455275325589.581,5682.0,8211.0,6994.0,5050.0,25937.0
42,3540814422407.794,5748.0,8212.0,6809.0,4820.0,25589.0
43,3625559333214.4766,5609.0,8102.0,6650.0,4599.0,24960.0
44,3711475795053.0034,5660.0,7949.0,6189.0,4347.0,24145.0
45,3801619776242.185,6078.0,8647.0,6965.0,4637.0,26327.0
46,3897371778643.298,6162.0,8390.0,6559.0,4365.0,25476.0
47,3992650633544.5146,5998.0,8255.0,6429.0,4198.0,24880.0
48,4089053524374.177,6072.0,7890.0,6198.0,4009.0,24169.0
49,4189718652299.2866,6589.0,8484.0,6438.0,4275.0,25786.0
50,4297101262227.832,6338.0,8215.0,6114.0,3979.0,24646.0
51,4402751263710.062,6291.0,7756.0,5844.0,3729.0,23620.0
52,4509395295262.816,6164.0,7442.0,5407.0,3489.0,22502.0
53,4621895444915.254,6608.0,7985.0,5727.0,3595.0,23915.0
54,4733188491312.575,5813.0,6981.0,4883.0,3116.0,20793.0
55,4845144035321.56,6002.0,7115.0,5084.0,3180.0,21381.0
56,4966536133942.161,6570.0,7591.0,5169.0,3193.0,22523.0
57,5089550503186.85,5962.0,6595.0,4494.0,2801.0,19852.0
58,5212267871358.064,6281.0,6787.0,4543.0,2773.0,20384.0
59,5340041776997.927,6269.0,6511.0,4227.0,2516.0,19523.0
60,5473950224701.689,6453.0,6598.0,4511.0,2588.0,20150.0
61,5611574827420.132,6229.0,6372.0,3978.0,2344.0,18923.0
62,5750491939957.579,6129.0,6016.0,3944.0,2108.0,18197.0
63,5888536690032.484,5849.0,5958.0,3487.0,2035.0,17329.0
64,6032849325626.204,6228.0,5909.0,3573.0,1982.0,17692.0
65,6182098718164.952,5929.0,5494.0,3268.0,1796.0,16487.0
66,6335279932842.98,6254.0,5561.0,3396.0,1778.0,16989.0
67,6490560271824.359,5739.0,5021.0,2901.0,1548.0,15209.0
68,6650718121990.369,6230.0,5361.0,3071.0,1577.0,16239.0
69,6815366476486.86,5784.0,4966.0,2709.0,1366.0,14825.0
70,6980795440067.058,5965.0,5022.0,2757.0,1397.0,15141.0
71,7149460378681.627,5704.0,4798.0,2485.0,1207.0,14194.0
72,7326084423407.917,5810.0,4687.0,2539.0,1186.0,14222.0
73,7506415087007.94,5919.0,4542.0,2325.0,1073.0,13859.0
74,7692274762143.215,5991.0,4554.0,2270.0,1039.0,13854.0
75,7884977167985.928,5685.0,4343.0,2175.0,930.0,13133.0
