,mass bin,1st Xoff,2nd Xoff,3rd Xoff,4th Xoff,all realizations
0,1277922473187.9348,131774.0,352003.0,568806.0,741199.0,1793782.0
1,1309833902358.6096,133573.0,351649.0,564171.0,733949.0,1783342.0
2,1341765827395.918,133969.0,351608.0,555575.0,720417.0,1761569.0
3,1373697616303.1917,134239.0,349459.0,547939.0,705245.0,1736882.0
4,1405625885356.6772,134165.0,347221.0,537939.0,686400.0,1705725.0
5,1437591456420.2275,134581.0,343527.0,526635.0,668443.0,1673186.0
6,1474800719686.6958,179035.0,453481.0,683843.0,857588.0,2173947.0
7,1512111334680.5635,134356.0,334681.0,499606.0,617101.0,1585744.0
8,1549321544250.176,178992.0,441007.0,648313.0,789049.0,2057361.0
9,1586668618670.992,133225.0,326279.0,471231.0,566888.0,1497623.0
10,1623891346750.9412,177551.0,428517.0,610424.0,722872.0,1939364.0
11,1666472571147.7341,177482.0,419430.0,589473.0,685775.0,1872160.0
12,1709086592225.051,175685.0,413320.0,567800.0,650154.0,1806959.0
13,1751684654879.9512,175224.0,405670.0,548163.0,616814.0,1745871.0
14,1794299055471.9512,173981.0,396924.0,531191.0,584672.0,1686768.0
15,1836880562539.785,172586.0,389439.0,512125.0,553326.0,1627476.0
16,1879472957085.039,170738.0,382592.0,495308.0,524702.0,1573340.0
17,1927338801753.2446,213570.0,467981.0,593076.0,616870.0,1891497.0
18,1975337480798.6526,169867.0,365747.0,455110.0,464896.0,1455620.0
19,2023197231638.866,209954.0,447169.0,545402.0,547608.0,1750133.0
20,2071141471408.429,167387.0,350128.0,420642.0,412576.0,1350733.0
21,2118993340056.9377,206859.0,429237.0,506840.0,487711.0,1630647.0
22,2172253453626.9036,205388.0,418300.0,484809.0,457470.0,1565967.0
23,2225529149950.836,204448.0,407872.0,464430.0,429551.0,1506301.0
24,2284001517828.368,241370.0,477128.0,531076.0,481308.0,1730882.0
25,2342646811080.7505,200041.0,387214.0,422379.0,375267.0,1384901.0
26,2395923970142.639,198123.0,377209.0,405424.0,354526.0,1335282.0
27,2454411898469.7144,235003.0,440874.0,464975.0,398975.0,1539827.0
28,2518318056995.145,232750.0,426929.0,442313.0,372490.0,1474482.0
29,2582217566868.7183,230189.0,415982.0,422022.0,347814.0,1416007.0
30,2646141797150.69,227774.0,404586.0,403034.0,325878.0,1361272.0
31,2710029958763.54,225712.0,393360.0,385369.0,306004.0,1310445.0
32,2773923160228.3755,224582.0,384115.0,369080.0,287176.0,1264953.0
33,2843127071335.974,262200.0,438370.0,410387.0,313228.0,1424185.0
34,2912398572731.7266,224246.0,368098.0,337403.0,252084.0,1181831.0
35,2981595299230.0,261828.0,420677.0,380062.0,276086.0,1338653.0
36,3056158513574.688,262020.0,412924.0,363959.0,259912.0,1298815.0
37,3130731387095.1064,262417.0,405240.0,350698.0,244530.0,1262885.0
38,3205256237479.111,264132.0,400515.0,337906.0,230902.0,1233455.0
39,3285085669234.5645,299979.0,449864.0,373410.0,249786.0,1373039.0
40,3370260600601.5464,298917.0,437742.0,358161.0,235147.0,1329967.0
41,3455454060878.7876,295491.0,426427.0,343350.0,222569.0,1287837.0
42,3540633411468.66,292537.0,412366.0,330490.0,211161.0,1246554.0
43,3625791804221.232,288648.0,400338.0,315135.0,199523.0,1203644.0
44,3710993933392.002,283754.0,387265.0,299380.0,188799.0,1159198.0
45,3801402975799.6045,312663.0,418530.0,321329.0,200519.0,1253041.0
46,3897304706515.7505,305709.0,402081.0,302707.0,187778.0,1198275.0
47,3993152714328.5825,300304.0,384278.0,285409.0,175335.0,1145326.0
48,4088914539539.427,292936.0,367635.0,269121.0,164401.0,1094093.0
49,4190043055355.492,317241.0,391536.0,280951.0,170527.0,1160255.0
50,4296494826231.338,309792.0,372674.0,262950.0,158191.0,1103607.0
51,4402954451202.405,302363.0,355874.0,245874.0,146292.0,1050403.0
52,4509576901178.403,295333.0,340074.0,231364.0,135085.0,1001856.0
53,4621257094846.394,316681.0,355600.0,237839.0,137414.0,1047534.0
54,4733099873790.694,279938.0,307497.0,202002.0,114579.0,904016.0
55,4844866968819.76,299288.0,323484.0,208486.0,116589.0,947847.0
56,4967264141324.029,318961.0,334251.0,212322.0,116128.0,981662.0
57,5089861977445.334,283788.0,292101.0,181098.0,97732.0,854719.0
58,5212239370392.495,300748.0,302603.0,184156.0,98156.0,885663.0
59,5340069628566.335,293443.0,288011.0,171981.0,89515.0,842950.0
60,5473048550283.411,308859.0,294878.0,173948.0,88691.0,866376.0
61,5611543736614.985,299847.0,279807.0,161009.0,80219.0,820882.0
62,5749975225023.674,291351.0,266601.0,150478.0,73359.0,781789.0
63,5888435413525.996,282754.0,252801.0,139317.0,66856.0,741728.0
64,6032200133886.734,297432.0,258639.0,140425.0,65315.0,761811.0
65,6181205603435.849,288810.0,244524.0,130906.0,59959.0,724199.0
66,6335564496212.904,300016.0,249274.0,130992.0,57814.0,738096.0
67,6490099981161.58,271437.0,219160.0,113467.0,48854.0,652918.0
68,6649733250384.994,302250.0,237415.0,120365.0,51255.0,711285.0
69,6814866750263.691,275090.0,210321.0,104929.0,43653.0,633993.0
70,6979807095021.602,284902.0,212341.0,103395.0,41742.0,642380.0
71,7150373277010.325,276652.0,201295.0,96441.0,38268.0,612656.0
72,7325909875677.342,285004.0,202158.0,95420.0,36515.0,619097.0
73,7506883003501.443,276262.0,191303.0,88163.0,33164.0,588892.0
74,7693350364026.2,283333.0,191105.0,86638.0,31881.0,592957.0
75,7884940397587.976,274846.0,180802.0,80513.0,28499.0,564660.0
76,8076655313533.969,267535.0,170294.0,74404.0,25798.0,538031.0
77,8273734553643.57,273604.0,169882.0,72769.0,24565.0,540820.0
78,8481102465388.09,279624.0,168300.0,71171.0,23374.0,542469.0
79,8689044441549.756,257307.0,150881.0,62529.0,20076.0,490793.0
80,8901857365178.836,275376.0,157494.0,63573.0,19797.0,516240.0
81,9120166036826.354,254805.0,141028.0,55864.0,17258.0,468955.0
82,9343560151806.299,270860.0,145242.0,57021.0,16711.0,489834.0
83,9578074855718.885,262289.0,136658.0,52212.0,14935.0,466094.0
84,9812340251242.53,254528.0,128338.0,48452.0,13436.0,444754.0
85,10051782767265.385,258095.0,126480.0,46511.0,12442.0,443528.0
86,10296800542557.602,249143.0,119003.0,42691.0,11238.0,422075.0
87,10552342516168.877,261974.0,120242.0,42488.0,10855.0,435559.0
88,10813310280771.059,244107.0,108856.0,37647.0,9360.0,399970.0
89,11074277254868.424,247100.0,106042.0,35844.0,8576.0,397562.0
90,11345632368068.803,248347.0,103295.0,34141.0,7926.0,393709.0
91,11627739424386.482,249239.0,100377.0,32355.0,7179.0,389150.0
92,11915385170381.87,240498.0,93223.0,29797.0,6269.0,369787.0
93,12208141104026.195,241921.0,90196.0,27877.0,5885.0,365879.0
94,12511527365567.43,242460.0,87137.0,26146.0,5386.0,361129.0
95,12820537816201.625,234599.0,80763.0,23789.0,4617.0,343768.0
96,13134653273074.979,233351.0,78385.0,22290.0,4295.0,338321.0
97,13454163167043.121,226118.0,72439.0,20440.0,3752.0,322749.0
98,13784402781088.598,232672.0,71428.0,19544.0,3566.0,327210.0
99,14124826597670.582,225528.0,65725.0,17723.0,3119.0,312095.0
100,14470791718297.217,224937.0,63200.0,16516.0,2820.0,307473.0
101,14827420559666.975,224482.0,60215.0,15387.0,2596.0,302680.0
102,15194354452008.445,222051.0,56852.0,14263.0,2386.0,295552.0
103,15567654160043.906,213467.0,52334.0,12673.0,2124.0,280598.0
104,15951015242933.143,218474.0,50547.0,12050.0,2011.0,283082.0
105,16345218832380.557,211089.0,46554.0,10631.0,1814.0,270088.0
106,16744362645535.404,209470.0,43898.0,9873.0,1643.0,264884.0
107,17153959017820.19,206821.0,40811.0,9347.0,1548.0,258527.0
108,17574559730365.285,203917.0,38070.0,8401.0,1360.0,251748.0
109,18006533041372.055,200912.0,35550.0,7472.0,1304.0,245238.0
110,18453434687595.555,203385.0,33609.0,7015.0,1266.0,245275.0
111,18911361560187.61,196633.0,30444.0,6492.0,1172.0,234741.0
112,19374386701389.5,192371.0,28285.0,5941.0,1111.0,227708.0
113,19847535991971.65,188552.0,26148.0,5428.0,1088.0,221216.0
114,20338271468207.35,188387.0,24112.0,5175.0,1103.0,218777.0
115,20838723839394.74,181486.0,21766.0,4577.0,1006.0,208835.0
116,21349330673911.793,182863.0,20326.0,4464.0,1039.0,208692.0
117,21876511687619.12,178573.0,18712.0,4238.0,999.0,202522.0
118,22414052802624.496,173313.0,16959.0,3885.0,928.0,195085.0
119,22962585844103.816,169779.0,15382.0,3594.0,961.0,189716.0
120,23527849074039.453,168319.0,14393.0,3525.0,974.0,187211.0
121,24107837210828.188,165613.0,13046.0,3280.0,954.0,182893.0
122,24698271185962.06,161129.0,11825.0,3182.0,927.0,177063.0
123,25305198677045.02,160179.0,11062.0,3183.0,941.0,175365.0
124,25928190606611.492,153383.0,9855.0,3060.0,926.0,167224.0
125,26567288341501.477,151172.0,9123.0,2883.0,874.0,164052.0
126,27221423297179.23,147543.0,8435.0,2889.0,912.0,159779.0
127,27893428619462.402,145940.0,7830.0,2895.0,962.0,157627.0
128,28579606658039.297,140527.0,7293.0,2748.0,888.0,151456.0
129,29281655812754.758,136841.0,6923.0,2747.0,932.0,147443.0
130,30001396636937.285,132031.0,6223.0,2640.0,941.0,141835.0
131,30736003455578.29,130254.0,5918.0,2680.0,922.0,139774.0
132,31493053190087.97,127471.0,5592.0,2625.0,954.0,136642.0
133,32268977734882.51,125520.0,5573.0,2698.0,904.0,134695.0
134,33061725301111.2,119885.0,5337.0,2531.0,937.0,128690.0
135,33876700494834.62,118050.0,5138.0,2579.0,942.0,126709.0
136,34711281741837.695,113593.0,4917.0,2687.0,858.0,122055.0
137,35564827991604.86,111281.0,4756.0,2578.0,978.0,119593.0
138,36438840982086.12,108230.0,4756.0,2538.0,922.0,116446.0
139,37331546535266.04,104843.0,4770.0,2596.0,931.0,113140.0
140,38248320144049.7,101071.0,4681.0,2428.0,949.0,109129.0
141,39190848387579.78,98894.0,4531.0,2530.0,903.0,106858.0
142,40159576778990.15,95793.0,4570.0,2545.0,929.0,103837.0
143,41142779434913.42,92458.0,4473.0,2498.0,945.0,100374.0
144,42154372316594.17,91702.0,4480.0,2424.0,941.0,99547.0
145,43195135371822.54,87250.0,4325.0,2510.0,920.0,95005.0
146,44251487744196.61,84951.0,4143.0,2477.0,875.0,92446.0
