,mass bin,1st Xoff,2nd Xoff,3rd Xoff,4th Xoff,full sample
0,1277886554004.4084,2722.0,7114.0,11700.0,15610.0,37146.0
1,1309878506041.743,2731.0,7270.0,11536.0,15362.0,36899.0
2,1341891280947.2551,2787.0,7044.0,11586.0,15412.0,36829.0
3,1373528123861.5664,2745.0,7090.0,11504.0,15153.0,36492.0
4,1405554630671.166,2667.0,7151.0,11070.0,14850.0,35738.0
5,1437429237441.2722,2767.0,7150.0,11004.0,14358.0,35279.0
6,1474733278508.772,3648.0,9512.0,14353.0,18791.0,46304.0
7,1512312527075.8123,2770.0,7037.0,10469.0,13463.0,33739.0
8,1549380693481.2761,3605.0,9198.0,13565.0,17247.0,43615.0
9,1586725147275.405,2716.0,6868.0,9887.0,12356.0,31827.0
10,1623697449551.5696,3568.0,8822.0,12817.0,15754.0,40961.0
11,1666621132596.685,3620.0,8724.0,12412.0,15354.0,40110.0
12,1709219489880.7874,3607.0,8561.0,11942.0,14277.0,38387.0
13,1751278125000.0,3616.0,8539.0,11786.0,13631.0,37572.0
14,1794450770062.1453,3701.0,8435.0,11187.0,13084.0,36407.0
15,1837106384790.0112,3524.0,8248.0,10742.0,12516.0,35030.0
16,1879261806923.7263,3553.0,7923.0,10523.0,11701.0,33700.0
17,1927778661275.831,4452.0,9711.0,12767.0,13856.0,40786.0
18,1975128816371.6814,3616.0,7535.0,9672.0,10471.0,31294.0
19,2023441251744.9976,4298.0,9427.0,11763.0,12420.0,37908.0
20,2071272933825.6177,3521.0,7383.0,8982.0,9380.0,29266.0
21,2119341635071.09,4220.0,9001.0,10978.0,11104.0,35303.0
22,2171824866828.0872,4130.0,8644.0,10319.0,10494.0,33587.0
23,2225442630489.7676,4349.0,8605.0,9926.0,9845.0,32725.0
24,2284174269819.1934,5033.0,10025.0,11398.0,10913.0,37369.0
25,2343005690101.105,4253.0,8023.0,8966.0,8690.0,29932.0
26,2395993903036.239,4084.0,7904.0,8553.0,8030.0,28571.0
27,2454437812884.6943,4874.0,9295.0,10060.0,9318.0,33547.0
28,2517861879730.866,4756.0,9071.0,9641.0,8676.0,32144.0
29,2582533394985.6143,4866.0,8703.0,9068.0,8233.0,30870.0
30,2645926711465.7705,4762.0,8379.0,8694.0,7567.0,29402.0
31,2709514437367.3037,4710.0,8241.0,8228.0,7207.0,28386.0
32,2773884959965.3755,4621.0,7855.0,7926.0,6688.0,27090.0
33,2843446623672.2305,5272.0,8909.0,8926.0,7355.0,30462.0
34,2912792384180.791,4425.0,7482.0,7135.0,5993.0,25035.0
35,2981462864772.077,5243.0,8557.0,8010.0,6570.0,28380.0
36,3056601465636.76,5049.0,8265.0,7693.0,6257.0,27264.0
