,mass bin,1st Xoff,2nd Xoff,3rd Xoff,4th Xoff,full sample
0,1278107539450.6138,3422.0,9029.0,13936.0,17295.0,43682.0
1,1310129786620.5305,3468.0,9066.0,13680.0,16946.0,43160.0
2,1341818275862.0688,3480.0,8934.0,13394.0,16731.0,42539.0
3,1373705957200.694,3458.0,8843.0,13357.0,16218.0,41876.0
4,1405561232604.3738,3521.0,8900.0,12920.0,15729.0,41070.0
5,1437618245409.5017,3431.0,8461.0,12539.0,15148.0,39579.0
6,1474759700249.7917,4804.0,11409.0,16789.0,19411.0,52413.0
7,1512358010410.642,3458.0,8366.0,11952.0,13942.0,37718.0
8,1549581788723.2664,4629.0,10836.0,15691.0,17534.0,48690.0
9,1586781330152.1025,3353.0,8221.0,11109.0,12725.0,35408.0
10,1623690004364.9062,4582.0,10569.0,14534.0,16203.0,45888.0
11,1666389016216.2163,4625.0,10349.0,14030.0,15378.0,44382.0
12,1709503301360.696,4483.0,10336.0,13648.0,14412.0,42879.0
13,1751774625880.2817,4544.0,9963.0,13130.0,13636.0,41273.0
14,1794622693768.1482,4477.0,9613.0,12625.0,13002.0,39717.0
15,1836753672958.8354,4397.0,9637.0,11928.0,12332.0,38294.0
16,1879584929577.4648,4260.0,9468.0,11487.0,11582.0,36797.0
17,1927512692521.8037,5389.0,11397.0,13759.0,13550.0,44095.0
18,1975498079692.7507,4166.0,8970.0,10716.0,10160.0,34012.0
19,2023540909931.57,5407.0,11136.0,12964.0,12241.0,41748.0
20,2071155065868.2634,4175.0,8603.0,9898.0,9027.0,31703.0
21,2118994658242.3894,5223.0,10496.0,11819.0,10674.0,38212.0
22,2172628563251.2878,5241.0,10491.0,11285.0,9957.0,36974.0
23,2225708284360.1895,5275.0,9854.0,10604.0,9251.0,34984.0
24,2283650330360.0923,6054.0,11582.0,12457.0,10544.0,40637.0
25,2342890711146.624,5006.0,9529.0,9929.0,8188.0,32652.0
26,2396103472085.224,5069.0,9154.0,9330.0,7762.0,31315.0
27,2454417223650.3857,5835.0,10781.0,10547.0,8903.0,36066.0
28,2518362515177.797,5765.0,10549.0,10344.0,8194.0,34852.0
29,2583090883333.3335,6000.0,10076.0,9929.0,7421.0,33426.0
30,2646717811307.6655,5766.0,9953.0,9283.0,7136.0,32138.0
31,2709984778940.263,5926.0,9710.0,8782.0,6571.0,30989.0
32,2774284549283.909,5935.0,9292.0,8528.0,6173.0,29928.0
33,2843549332344.214,6740.0,10927.0,9629.0,6856.0,34152.0
34,2912173717295.277,5886.0,9303.0,7965.0,5464.0,28618.0
35,2982189201741.655,6890.0,10456.0,8833.0,5951.0,32130.0
36,3055831067538.1265,6885.0,10325.0,8569.0,5513.0,31292.0
37,3130741323943.662,7100.0,10267.0,8453.0,5443.0,31263.0
38,3205156713338.246,6785.0,9832.0,8055.0,5115.0,29787.0
