,mass bin,1st Xoff,2nd Xoff,3rd Xoff,4th Xoff,full sample
0,1277830393013.1003,2290.0,6183.0,10421.0,14545.0,33439.0
1,1309898469387.7551,2352.0,6201.0,10448.0,14751.0,33752.0
2,1342094192997.438,2342.0,6283.0,10513.0,14520.0,33658.0
3,1373610969387.7551,2352.0,6324.0,10393.0,14054.0,33123.0
4,1406153906899.4182,2406.0,6297.0,10232.0,14012.0,32947.0
5,1437738344316.3098,2428.0,6282.0,10183.0,13586.0,32479.0
6,1475210161956.1765,3149.0,8198.0,13183.0,17980.0,42510.0
7,1512131978432.1858,2411.0,6195.0,9535.0,12851.0,30992.0
8,1549439956057.7527,3186.0,8134.0,12610.0,16815.0,40745.0
9,1586812353706.1118,2307.0,6020.0,9113.0,12060.0,29500.0
10,1623490608974.359,3120.0,7967.0,11950.0,15507.0,38544.0
11,1666510068792.9956,3198.0,7722.0,11668.0,14773.0,37361.0
12,1709325649045.9807,3197.0,7749.0,11160.0,14161.0,36267.0
13,1751416623544.6313,3092.0,7624.0,10866.0,13459.0,35041.0
14,1794801860763.5547,3117.0,7405.0,10708.0,12578.0,33808.0
15,1837092814181.7031,3159.0,7279.0,10142.0,12312.0,32892.0
16,1879508000000.0,3075.0,7390.0,9839.0,11502.0,31806.0
17,1927618049155.146,3906.0,8864.0,12003.0,13959.0,38732.0
18,1975287585981.0022,3053.0,6852.0,9132.0,10417.0,29454.0
19,2023521609379.1633,3753.0,8446.0,11124.0,12310.0,35633.0
20,2071172243589.7437,3120.0,6697.0,8404.0,9441.0,27662.0
21,2119551357104.843,3758.0,8113.0,10293.0,11283.0,33447.0
22,2172279083929.0442,3777.0,8014.0,9893.0,10358.0,32042.0
23,2225662401521.3257,3681.0,7892.0,9379.0,9868.0,30820.0
24,2283728675819.309,4516.0,9178.0,10858.0,11041.0,35593.0
25,2342976121930.5674,3543.0,7390.0,8700.0,8714.0,28347.0
26,2396690780730.897,3612.0,7338.0,8301.0,8260.0,27511.0
27,2454335088536.8125,4292.0,8460.0,9581.0,9536.0,31869.0
28,2518306310794.781,4215.0,8251.0,9141.0,8964.0,30571.0
29,2582456446241.675,4204.0,8128.0,8883.0,8093.0,29308.0
30,2646666985645.933,4180.0,7814.0,8394.0,7710.0,28098.0
