,mass bin,1st Xoff,2nd Xoff,3rd Xoff,4th Xoff,all realizations
0,1277903344357.8064,211198.0,502624.0,686264.0,719125.0,2119211.0
1,1309821711062.2747,212011.0,496887.0,673830.0,701790.0,2084518.0
2,1341750992623.2083,211964.0,492097.0,657829.0,682088.0,2043978.0
3,1373679548377.4998,210320.0,487008.0,640519.0,658112.0,1995959.0
4,1405605110515.1228,210651.0,479080.0,622253.0,633358.0,1945342.0
5,1437565367979.6514,210299.0,471650.0,603720.0,609444.0,1895113.0
6,1474770880615.9587,276784.0,615924.0,778577.0,772395.0,2443680.0
7,1512090394294.9846,206115.0,453239.0,561506.0,549254.0,1770114.0
8,1549300906604.7014,273247.0,590348.0,721272.0,695510.0,2280377.0
9,1586663360563.9543,203716.0,434212.0,520282.0,494834.0,1653044.0
10,1623876286904.449,268893.0,565957.0,667481.0,623060.0,2125391.0
11,1666467818043.8152,266436.0,550410.0,637462.0,586031.0,2040339.0
12,1709058464355.8826,262818.0,537912.0,610159.0,549018.0,1959907.0
13,1751667746846.1545,261634.0,523914.0,584253.0,516089.0,1885890.0
14,1794269370791.023,259221.0,509642.0,557943.0,483959.0,1810765.0
15,1836871457326.9502,255299.0,496576.0,534746.0,453167.0,1739788.0
16,1879475484832.1145,253643.0,485008.0,510394.0,425865.0,1674910.0
17,1927325984285.9482,313913.0,590429.0,608880.0,496585.0,2009807.0
18,1975327580985.8083,247256.0,457304.0,462874.0,369382.0,1536816.0
19,2023157307216.346,306811.0,556326.0,552355.0,431333.0,1846825.0
20,2071121578309.8994,242813.0,432754.0,422251.0,323373.0,1421191.0
21,2119000240060.0242,301514.0,526276.0,502186.0,377019.0,1706995.0
22,2172237732050.816,298054.0,512540.0,477935.0,351006.0,1639535.0
23,2225518949836.0376,295819.0,499332.0,454967.0,328207.0,1578325.0
24,2284027329055.619,352731.0,582196.0,517423.0,364719.0,1817069.0
25,2342672942120.527,292683.0,471965.0,411088.0,281898.0,1457634.0
