,mass bin,1st Xoff,2nd Xoff,3rd Xoff,4th Xoff,full sample
0,1278051377633.7114,4319.0,10794.0,15153.0,17073.0,47339.0
1,1309896136048.126,4322.0,10527.0,15030.0,16888.0,46767.0
2,1341994649739.288,4411.0,10656.0,14707.0,16367.0,46141.0
3,1373814487714.4182,4314.0,10389.0,14408.0,16039.0,45150.0
4,1405532467228.4644,4272.0,10455.0,14201.0,15189.0,44117.0
5,1437513798663.9023,4341.0,10200.0,13559.0,14783.0,42883.0
6,1474735686482.661,5652.0,13163.0,17824.0,18922.0,55561.0
7,1512408274231.6785,4230.0,9815.0,12831.0,13281.0,40157.0
8,1549549991186.3213,5673.0,12646.0,16345.0,16985.0,51649.0
9,1586515082352.9412,4250.0,9340.0,12108.0,12075.0,37773.0
10,1624033473799.9268,5458.0,12354.0,15436.0,15157.0,48405.0
11,1666422085341.9033,5601.0,11915.0,14906.0,14456.0,46878.0
12,1709103799336.0383,5422.0,11932.0,14188.0,13320.0,44862.0
13,1751852315417.519,5377.0,11420.0,13397.0,12846.0,43040.0
14,1794643104693.1409,5540.0,11216.0,13024.0,11960.0,41740.0
15,1837177869467.367,5332.0,10760.0,12178.0,11394.0,39664.0
16,1879609658664.6663,5332.0,10659.0,11994.0,10505.0,38490.0
17,1927564247435.3086,6531.0,12839.0,14150.0,12275.0,45795.0
18,1975441614542.6113,5116.0,10149.0,11073.0,9230.0,35568.0
19,2023364976671.8506,6430.0,12325.0,13037.0,10724.0,42516.0
20,2071357793103.4482,5075.0,9622.0,9990.0,8177.0,32864.0
21,2119295019342.3599,6204.0,11653.0,12142.0,9457.0,39456.0
22,2172439010634.8694,6206.0,11149.0,11487.0,8871.0,37713.0
23,2225695569112.2173,6229.0,11160.0,10830.0,8064.0,36283.0
24,2284369851933.0957,7294.0,12896.0,12311.0,9254.0,41755.0
25,2342782075626.1255,6109.0,10602.0,10080.0,7228.0,34019.0
26,2396268238892.4663,6212.0,10288.0,9388.0,6794.0,32682.0
27,2454841367806.5054,7194.0,11983.0,10450.0,7632.0,37259.0
28,2518801755598.5625,7234.0,11903.0,10338.0,6996.0,36471.0
29,2582063122420.9077,7270.0,11595.0,10084.0,6621.0,35570.0
30,2646157690217.391,7360.0,11303.0,9715.0,6067.0,34445.0
31,2710264415760.8696,7360.0,11357.0,9167.0,5790.0,33674.0
32,2773667112445.415,7328.0,11064.0,8980.0,5513.0,32885.0
33,2843131163895.487,8420.0,12635.0,10162.0,5973.0,37190.0
34,2912679648206.6787,7277.0,10319.0,8131.0,4945.0,30672.0
35,2981697648884.115,8379.0,11690.0,9206.0,5244.0,34519.0
36,3056089049861.1616,8283.0,11116.0,8590.0,4961.0,32950.0
37,3130840958715.0205,7969.0,10958.0,8318.0,4576.0,31821.0
38,3205498831300.813,7872.0,10631.0,7583.0,4328.0,30414.0
39,3285426793441.1294,8782.0,11248.0,8154.0,4538.0,32722.0
40,3370377433276.5474,8805.0,10964.0,7736.0,4231.0,31736.0
41,3455624994149.3096,8546.0,10396.0,7076.0,3855.0,29873.0
42,3541033337462.8345,8072.0,9962.0,6535.0,3601.0,28170.0
43,3625907008714.8643,8147.0,9406.0,6064.0,3298.0,26915.0
44,3710950044186.3403,7921.0,8910.0,5830.0,2998.0,25659.0
45,3801901399176.9546,8505.0,9596.0,5922.0,3083.0,27106.0
