,mass bin,1st Xoff,2nd Xoff,3rd Xoff,4th Xoff,all realizations
0,1277880149773.5833,200576.0,426804.0,514426.0,503611.0,1645417.0
1,1309807084960.3523,200309.0,421148.0,496139.0,484516.0,1602112.0
2,1341735394354.0476,199382.0,412464.0,481749.0,462139.0,1555734.0
3,1373665935182.289,198207.0,405030.0,463940.0,441855.0,1509032.0
4,1405580036569.7869,197024.0,395556.0,446837.0,419711.0,1459128.0
5,1437542911354.0522,194706.0,387086.0,430295.0,397216.0,1409303.0
6,1474733782383.439,257843.0,502333.0,545896.0,496885.0,1802957.0
7,1512078968702.3572,190885.0,366552.0,390037.0,349940.0,1297414.0
8,1549286505881.0654,251247.0,473349.0,494085.0,436566.0,1655247.0
9,1586649895939.8506,186385.0,345382.0,353541.0,306791.0,1192099.0
10,1623839517560.74,246328.0,445251.0,448140.0,381177.0,1520896.0
11,1666425506693.8318,242790.0,431829.0,422733.0,353820.0,1451172.0
12,1709058752679.5652,240052.0,416563.0,400640.0,327778.0,1385033.0
13,1751647396274.9102,236785.0,404308.0,379458.0,305165.0,1325716.0
14,1794242596933.7336,233966.0,391577.0,358967.0,282438.0,1266948.0
15,1836875698608.888,231835.0,378583.0,339456.0,262106.0,1211980.0
16,1879461387610.028,227977.0,368019.0,321141.0,244270.0,1161407.0
17,1927298534475.7021,282047.0,441364.0,377835.0,281331.0,1382577.0
18,1975309486330.3696,222688.0,342294.0,285025.0,208105.0,1058112.0
19,2023117435196.871,274601.0,411889.0,336839.0,240924.0,1264253.0
20,2071107464170.4285,215698.0,317862.0,254564.0,177489.0,965613.0
21,2118988988370.412,267568.0,384423.0,301005.0,207332.0,1160328.0
22,2172236376744.8499,264048.0,369374.0,282947.0,191281.0,1107650.0
23,2225504145957.8184,259807.0,356780.0,267101.0,176043.0,1059731.0
24,2283971059494.836,307998.0,410814.0,299827.0,194557.0,1213196.0
25,2342662005424.5923,253281.0,329687.0,235061.0,149417.0,967446.0
26,2395918701500.4253,251916.0,318416.0,221580.0,139024.0,930936.0
27,2454399366877.427,298329.0,369625.0,250850.0,154927.0,1073731.0
28,2518333792321.022,293883.0,353935.0,234903.0,142222.0,1024943.0
29,2582268328741.248,289287.0,338816.0,219520.0,130914.0,978537.0
30,2646112093006.0483,283516.0,325205.0,205670.0,120546.0,934937.0
31,2709982814526.1523,278735.0,310025.0,191639.0,111581.0,891980.0
32,2773833384233.775,273754.0,296931.0,179169.0,102791.0,852645.0
33,2842951389017.659,311428.0,328353.0,194691.0,109827.0,944299.0
34,2912262644997.9624,259586.0,265255.0,154443.0,86244.0,765528.0
35,2981398110167.488,294833.0,293455.0,166657.0,92220.0,847165.0
36,3055990436198.7256,285350.0,274955.0,153154.0,84665.0,798124.0
37,3130497466530.14,277692.0,256996.0,141025.0,75865.0,751578.0
38,3205010291093.349,268217.0,241282.0,128840.0,69166.0,707505.0
39,3284806161043.15,295744.0,257208.0,134314.0,71177.0,758443.0
40,3369995814091.8564,284545.0,240164.0,121841.0,63069.0,709619.0
41,3455190613482.0054,274850.0,223436.0,110825.0,56695.0,665806.0
