,mass bin,1st Xoff,2nd Xoff,3rd Xoff,4th Xoff,full sample
0,1277815817883.126,4261.0,10467.0,15502.0,17345.0,47575.0
1,1309625880952.3809,4200.0,10506.0,15172.0,17048.0,46926.0
2,1341885800185.014,4324.0,10269.0,14821.0,16730.0,46144.0
3,1373758636255.6426,4209.0,10187.0,14723.0,16323.0,45442.0
4,1405593009848.6667,4163.0,10126.0,14111.0,15594.0,43994.0
5,1437445553970.5183,4206.0,9934.0,13889.0,15010.0,43039.0
6,1475099624261.943,5589.0,13342.0,17699.0,19275.0,55905.0
7,1512102821316.6145,4147.0,9523.0,12748.0,13688.0,40106.0
8,1549481088560.8855,5420.0,12758.0,16561.0,17448.0,52187.0
9,1586689386562.8042,4108.0,9250.0,12053.0,12428.0,37839.0
10,1624257612712.4907,5412.0,12054.0,15115.0,15575.0,48156.0
11,1666861968183.4998,5406.0,11828.0,14785.0,14871.0,46890.0
12,1709087173750.9321,5364.0,11477.0,14108.0,13958.0,44907.0
13,1751857300800.61,5246.0,11308.0,13592.0,13180.0,43326.0
14,1794261980648.8333,5271.0,11080.0,13054.0,12260.0,41665.0
15,1836820196671.7095,5288.0,10745.0,12531.0,11641.0,40205.0
16,1879274451988.3608,5155.0,10500.0,11980.0,10917.0,38552.0
17,1927651892059.5535,6448.0,12842.0,14550.0,12852.0,46692.0
18,1975211865745.311,5065.0,9879.0,10993.0,9510.0,35447.0
19,2023526839826.8398,6237.0,12046.0,13302.0,11246.0,42831.0
20,2071511464315.0122,4876.0,9469.0,10209.0,8540.0,33094.0
21,2119152126607.3196,6066.0,11809.0,12036.0,9855.0,39766.0
22,2172309784928.5833,6091.0,11208.0,11446.0,9295.0,38040.0
23,2225531193107.9326,6152.0,10805.0,10951.0,8669.0,36577.0
24,2284202182019.058,7241.0,12602.0,12305.0,9622.0,41770.0
25,2342742716802.168,5904.0,10403.0,9903.0,7465.0,33675.0
26,2396008507333.9087,5795.0,10089.0,9616.0,7030.0,32530.0
27,2455093633385.5576,7021.0,12033.0,10794.0,7958.0,37806.0
28,2518457358330.984,7094.0,11558.0,10522.0,7348.0,36522.0
29,2582427909572.9834,7166.0,11420.0,9880.0,6855.0,35321.0
30,2646462161034.6265,7191.0,11414.0,9750.0,6537.0,34892.0
31,2710541654978.962,7130.0,10977.0,9177.0,6080.0,33364.0
32,2774050673022.995,7132.0,10771.0,8812.0,5699.0,32414.0
33,2843690303398.058,8240.0,12085.0,9930.0,6231.0,36486.0
34,2912313913899.831,7108.0,10341.0,8211.0,5026.0,30686.0
35,2982068150431.566,8110.0,11850.0,9258.0,5367.0,34585.0
36,3055890266584.005,8065.0,11301.0,8666.0,5126.0,33158.0
37,3130308792184.7246,7882.0,11006.0,8408.0,4815.0,32111.0
38,3204920699408.5884,7778.0,10741.0,7790.0,4690.0,30999.0
39,3285343076062.6396,8940.0,11430.0,8552.0,4974.0,33896.0
40,3370122899061.0327,8520.0,10999.0,7959.0,4493.0,31971.0
41,3456036080283.353,8470.0,10603.0,7395.0,4074.0,30542.0
42,3540537370411.026,8199.0,9954.0,6817.0,3917.0,28887.0
43,3625894649211.998,7868.0,9553.0,6329.0,3574.0,27324.0
44,3711104772843.2876,7836.0,9181.0,5997.0,3183.0,26197.0
45,3801763018103.859,8396.0,9654.0,6358.0,3336.0,27744.0
46,3897717223156.3774,8326.0,9241.0,5816.0,3113.0,26496.0
47,3993022546088.6895,8028.0,8750.0,5556.0,2818.0,25152.0
48,4088833439005.833,7886.0,8340.0,5123.0,2579.0,23928.0
49,4190036435735.946,8574.0,8913.0,5065.0,2592.0,25144.0
50,4296449233016.801,8214.0,8427.0,4851.0,2368.0,23860.0
51,4403360324941.089,8063.0,7837.0,4642.0,2177.0,22719.0
52,4509651290944.123,7785.0,7364.0,4234.0,1909.0,21292.0
53,4621463449617.114,8227.0,7708.0,4262.0,1895.0,22092.0
54,4733141504821.404,7363.0,6615.0,3528.0,1539.0,19045.0
55,4844994904053.882,7869.0,6979.0,3689.0,1564.0,20101.0
56,4967360845238.096,8400.0,7277.0,3614.0,1423.0,20714.0
57,5090180910326.087,7360.0,6399.0,3154.0,1180.0,18093.0
58,5213117744589.293,7901.0,6275.0,3135.0,1198.0,18509.0
59,5340230631238.198,7414.0,5989.0,2933.0,1096.0,17432.0
60,5473604764249.661,8123.0,6064.0,2899.0,1068.0,18154.0
61,5611988367967.5625,7892.0,5886.0,2597.0,958.0,17333.0
62,5750308308017.435,7571.0,5278.0,2441.0,799.0,16089.0
63,5888365305286.163,7321.0,5087.0,2282.0,771.0,15461.0
64,6032514181866.244,7566.0,5152.0,2272.0,738.0,15728.0
65,6182167745868.328,7382.0,4999.0,2055.0,667.0,15103.0
