  z   OmegaM  h  Xoff_median
2.001 0.3071 0.678  0.09698
Mass_Bins   Counts   dn/dlnM     error     Mass_Bins1   Counts1   dn/dlnM1     error1   Mass_Bins2   Counts2   dn/dlnM2     error2
1.325e+12  6.312e+06  0.001454   5.786e-07   1.325e+12  2.231e+06  0.0005137   3.44e-07   1.324e+12  4.082e+06  0.00094   4.653e-07
1.462e+12  6.39e+06  0.001472   5.822e-07   1.463e+12  2.434e+06  0.0005606   3.593e-07   1.462e+12  3.956e+06  0.0009111   4.581e-07
1.611e+12  5.398e+06  0.001243   5.351e-07   1.612e+12  2.233e+06  0.0005143   3.442e-07   1.611e+12  3.165e+06  0.0007289   4.097e-07
1.776e+12  5.485e+06  0.001263   5.394e-07   1.777e+12  2.47e+06  0.0005689   3.62e-07   1.774e+12  3.015e+06  0.0006943   3.999e-07
1.962e+12  4.817e+06  0.001109   5.055e-07   1.963e+12  2.369e+06  0.0005455   3.545e-07   1.961e+12  2.448e+06  0.0005638   3.604e-07
2.164e+12  4.46e+06  0.001027   4.864e-07   2.165e+12  2.372e+06  0.0005462   3.547e-07   2.162e+12  2.088e+06  0.0004808   3.328e-07
2.387e+12  4.12e+06  0.0009488   4.675e-07   2.389e+12  2.359e+06  0.0005432   3.537e-07   2.386e+12  1.761e+06  0.0004056   3.056e-07
2.637e+12  3.916e+06  0.0009019   4.558e-07   2.638e+12  2.402e+06  0.0005532   3.569e-07   2.634e+12  1.514e+06  0.0003487   2.834e-07
2.912e+12  3.44e+06  0.0007922   4.271e-07   2.914e+12  2.24e+06  0.000516   3.447e-07   2.91e+12  1.199e+06  0.0002762   2.522e-07
3.215e+12  3.003e+06  0.0006917   3.991e-07   3.216e+12  2.07e+06  0.0004767   3.313e-07   3.211e+12  9.336e+05  0.000215   2.225e-07
3.549e+12  2.555e+06  0.0005885   3.682e-07   3.551e+12  1.862e+06  0.0004287   3.142e-07   3.545e+12  6.938e+05  0.0001598   1.918e-07
3.916e+12  2.151e+06  0.0004954   3.378e-07   3.918e+12  1.649e+06  0.0003798   2.957e-07   3.911e+12  5.019e+05  0.0001156   1.632e-07
4.32e+12  1.846e+06  0.0004251   3.129e-07   4.321e+12  1.478e+06  0.0003403   2.799e-07   4.314e+12  3.682e+05  8.479e-05   1.397e-07
4.766e+12  1.56e+06  0.0003592   2.876e-07   4.767e+12  1.296e+06  0.0002985   2.622e-07   4.759e+12  2.639e+05  6.077e-05   1.183e-07
5.26e+12  1.339e+06  0.0003085   2.665e-07   5.261e+12  1.15e+06  0.0002649   2.47e-07   5.252e+12  1.893e+05  4.359e-05   1.002e-07
5.807e+12  1.135e+06  0.0002614   2.454e-07   5.808e+12  1.002e+06  0.0002307   2.305e-07   5.798e+12  1.332e+05  3.067e-05   8.405e-08
6.408e+12  9.54e+05  0.0002197   2.25e-07   6.409e+12  8.626e+05  0.0001987   2.139e-07   6.397e+12  9.146e+04  2.107e-05   6.965e-08
7.071e+12  8.178e+05  0.0001883   2.083e-07   7.072e+12  7.548e+05  0.0001738   2.001e-07   7.056e+12  6.293e+04  1.449e-05   5.777e-08
7.805e+12  6.856e+05  0.0001579   1.907e-07   7.806e+12  6.444e+05  0.0001484   1.849e-07   7.788e+12  4.125e+04  9.5e-06   4.678e-08
8.612e+12  5.809e+05  0.0001338   1.755e-07   8.613e+12  5.541e+05  0.0001276   1.714e-07   8.592e+12  2.685e+04  6.183e-06   3.774e-08
9.509e+12  4.913e+05  0.0001132   1.614e-07   9.51e+12  4.741e+05  0.0001092   1.586e-07   9.486e+12  1.718e+04  3.957e-06   3.019e-08
1.05e+13  4.071e+05  9.377e-05   1.47e-07   1.05e+13  3.966e+05  9.133e-05   1.45e-07   1.047e+13  1.057e+04  2.435e-06   2.368e-08
1.158e+13  3.4e+05  7.83e-05   1.343e-07   1.158e+13  3.334e+05  7.679e-05   1.33e-07   1.156e+13  6562  1.511e-06   1.866e-08
1.278e+13  2.84e+05  6.541e-05   1.227e-07   1.278e+13  2.797e+05  6.441e-05   1.218e-07   1.276e+13  4323  9.956e-07   1.514e-08
1.411e+13  2.353e+05  5.419e-05   1.117e-07   1.411e+13  2.322e+05  5.348e-05   1.11e-07   1.409e+13  3082  7.098e-07   1.279e-08
1.557e+13  1.949e+05  4.489e-05   1.017e-07   1.557e+13  1.923e+05  4.429e-05   1.01e-07   1.555e+13  2582  5.947e-07   1.17e-08
1.719e+13  1.583e+05  3.645e-05   9.162e-08   1.719e+13  1.561e+05  3.596e-05   9.1e-08   1.72e+13  2124  4.892e-07   1.061e-08
1.897e+13  1.292e+05  2.975e-05   8.277e-08   1.897e+13  1.273e+05  2.932e-05   8.217e-08   1.897e+13  1881  4.332e-07   9.989e-09
2.093e+13  1.044e+05  2.406e-05   7.443e-08   2.093e+13  1.028e+05  2.367e-05   7.384e-08   2.093e+13  1656  3.814e-07   9.372e-09
2.31e+13  8.46e+04  1.948e-05   6.699e-08   2.31e+13  8.308e+04  1.913e-05   6.638e-08   2.311e+13  1518  3.496e-07   8.973e-09
2.55e+13  6.727e+04  1.549e-05   5.973e-08   2.55e+13  6.596e+04  1.519e-05   5.915e-08   2.554e+13  1313  3.024e-07   8.345e-09
2.814e+13  5.326e+04  1.227e-05   5.315e-08   2.814e+13  5.206e+04  1.199e-05   5.255e-08   2.816e+13  1203  2.771e-07   7.988e-09
