  z   OmegaM  h  Xoff_median
1.274 0.3071 0.678  0.0936
Mass_Bins   Counts   dn/dlnM     error     Mass_Bins1   Counts1   dn/dlnM1     error1   Mass_Bins2   Counts2   dn/dlnM2     error2
5.617e+13  6.006e+04  1.383e-05   5.644e-08   5.617e+13  5.644e+04  1.3e-05   5.472e-08   5.617e+13  3620  8.337e-07   1.386e-08
6.196e+13  4.87e+04  1.122e-05   5.083e-08   6.196e+13  4.564e+04  1.051e-05   4.92e-08   6.197e+13  3063  7.054e-07   1.275e-08
6.843e+13  3.872e+04  8.918e-06   4.532e-08   6.843e+13  3.625e+04  8.349e-06   4.385e-08   6.842e+13  2470  5.689e-07   1.145e-08
7.552e+13  3.091e+04  7.118e-06   4.049e-08   7.552e+13  2.895e+04  6.667e-06   3.918e-08   7.553e+13  1959  4.512e-07   1.019e-08
8.331e+13  2.437e+04  5.613e-06   3.595e-08   8.332e+13  2.272e+04  5.232e-06   3.471e-08   8.328e+13  1652  3.805e-07   9.361e-09
9.193e+13  1.898e+04  4.372e-06   3.173e-08   9.193e+13  1.766e+04  4.068e-06   3.061e-08   9.197e+13  1321  3.042e-07   8.371e-09
1.015e+14  1.487e+04  3.424e-06   2.808e-08   1.015e+14  1.372e+04  3.159e-06   2.697e-08   1.016e+14  1151  2.651e-07   7.814e-09
1.12e+14  1.143e+04  2.632e-06   2.462e-08   1.12e+14  1.053e+04  2.426e-06   2.364e-08   1.12e+14  894  2.059e-07   6.886e-09
1.236e+14  8632  1.988e-06   2.14e-08   1.236e+14  7873  1.813e-06   2.044e-08   1.238e+14  759  1.748e-07   6.345e-09
1.364e+14  6507  1.499e-06   1.858e-08   1.364e+14  5950  1.37e-06   1.777e-08   1.367e+14  557  1.283e-07   5.435e-09
1.506e+14  4825  1.111e-06   1.6e-08   1.505e+14  4316  9.94e-07   1.513e-08   1.51e+14  509  1.172e-07   5.196e-09
