Mass bin  mean bias  bias stdev
,0,1,2
0,1.31e+12,0.77395,0.56207
1,1.342e+12,0.75265,0.52053
2,1.374e+12,0.77401,0.49122
3,1.406e+12,0.76649,0.54881
4,1.438e+12,0.76069,0.52159
5,1.475e+12,0.78863,0.51234
6,1.512e+12,0.77842,0.52845
7,1.549e+12,0.75808,0.5061
8,1.587e+12,0.76459,0.5103
9,1.624e+12,0.78499,0.47828
10,1.666e+12,0.78386,0.47656
11,1.709e+12,0.78894,0.45134
12,1.752e+12,0.81177,0.43181
13,1.794e+12,0.81557,0.48624
14,1.837e+12,0.7989,0.49311
15,1.879e+12,0.78864,0.49278
16,1.927e+12,0.7846,0.45819
17,1.975e+12,0.81776,0.47631
18,2.023e+12,0.79955,0.46204
19,2.071e+12,0.80133,0.5065
20,2.119e+12,0.83902,0.44741
21,2.172e+12,0.82063,0.44061
22,2.226e+12,0.80089,0.44392
23,2.284e+12,0.83614,0.47285
24,2.343e+12,0.84171,0.4916
25,2.396e+12,0.8233,0.49086
26,2.454e+12,0.82512,0.50488
27,2.518e+12,0.8454,0.43288
28,2.582e+12,0.86255,0.46656
29,2.646e+12,0.85984,0.45745
30,2.71e+12,0.84001,0.48354
31,2.774e+12,0.90433,0.54936
32,2.843e+12,0.86087,0.47838
33,2.912e+12,0.87288,0.54099
34,2.981e+12,0.84572,0.50017
35,3.056e+12,0.88778,0.4876
36,3.131e+12,0.8678,0.50841
37,3.205e+12,0.88061,0.52918
38,3.285e+12,0.93443,0.50218
39,3.37e+12,0.91322,0.49271
40,3.455e+12,0.89018,0.51569
41,3.541e+12,0.9159,0.47965
42,3.626e+12,0.8887,0.50506
43,3.711e+12,0.92841,0.51341
44,3.802e+12,0.91548,0.50892
45,3.897e+12,0.92781,0.50163
46,3.993e+12,0.95278,0.46227
47,4.089e+12,0.96434,0.49026
48,4.19e+12,0.9626,0.46053
49,4.297e+12,0.97548,0.46909
50,4.403e+12,0.94784,0.48085
51,4.51e+12,0.98408,0.51043
52,4.621e+12,0.99953,0.41643
53,4.733e+12,0.99137,0.49427
54,4.845e+12,1.0055,0.49335
55,4.967e+12,1.0262,0.47228
56,5.09e+12,1.0308,0.50667
57,5.212e+12,1.0174,0.4693
58,5.34e+12,0.98836,0.46865
59,5.473e+12,1.0334,0.5312
60,5.612e+12,1.0428,0.48779
61,5.75e+12,1.0263,0.51493
62,5.889e+12,1.0188,0.52861
63,6.032e+12,1.0724,0.45616
64,6.181e+12,1.0731,0.51997
65,6.336e+12,1.0553,0.49554
66,6.49e+12,1.0933,0.52975
67,6.65e+12,1.0558,0.49849
68,6.815e+12,1.0482,0.57792
69,6.98e+12,1.1379,0.51885
70,7.15e+12,1.13,0.5288
71,7.326e+12,1.0979,0.51586
72,7.507e+12,1.1307,0.54218
73,7.693e+12,1.1278,0.54874
74,7.885e+12,1.1155,0.5054
75,8.077e+12,1.115,0.55544
76,8.274e+12,1.1118,0.53361
77,8.481e+12,1.1187,0.55508
78,8.689e+12,1.1211,0.54451
79,8.902e+12,1.1432,0.56961
80,9.12e+12,1.1807,0.62894
81,9.344e+12,1.1541,0.58193
82,9.578e+12,1.1786,0.55754
83,9.812e+12,1.2206,0.56384
84,1.005e+13,1.1903,0.55721
85,1.03e+13,1.1852,0.61113
86,1.055e+13,1.1768,0.64691
87,1.081e+13,1.2362,0.60635
88,1.107e+13,1.2048,0.58018
89,1.135e+13,1.2528,0.66194
90,1.163e+13,1.2464,0.5626
91,1.192e+13,1.245,0.60234
92,1.221e+13,1.2368,0.62337
93,1.251e+13,1.2693,0.63255
94,1.282e+13,1.2061,0.67437
95,1.313e+13,1.326,0.60108
96,1.345e+13,1.2981,0.70706
97,1.378e+13,1.2446,0.69248
98,1.413e+13,1.3126,0.6245
99,1.447e+13,1.303,0.63405
100,1.483e+13,1.3879,0.65532
101,1.52e+13,1.3311,0.61443
102,1.557e+13,1.3484,0.61935
103,1.595e+13,1.285,0.69233
104,1.634e+13,1.319,0.6836
105,1.674e+13,1.3213,0.58503
106,1.715e+13,1.3332,0.67715
