,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78
0,1,0.15503,0.24667,0.076192,0.16844,0.25391,0.10588,0.14558,-0.025735,-0.092517,0.24741,-0.078444,-0.2126,0.10262,-0.2051,0.24915,0.075197,-0.031715,-0.016679,0.079532,0.035769,0.11697,0.012108,-0.31547,0.095796,-0.060446,-0.012658,0.23113,-0.069939,-0.27825,0.18255,0.015768,0.19734,-0.048146,0.004357,-0.22831,0.082903,0.22391,-0.11107,0.15922,0.16498,0.20823,0.20598,0.22768,-0.21657,0.073637,0.14608,0.21787,0.058311,0.26217,-0.024938,-0.077464,0.1067,0.31456,0.3208,0.010688,-0.068921,0.13572,-0.13914,0.069025,0.33577,0.036679,0.32293,0.36107,-0.087033,-0.079983,0.009114,0.036014,0.055977,-0.050787,-0.24116,-0.17353,0.016255,-0.078955,0.021927,-0.13215,-0.094508,-0.0016015,-0.24453
1,0.15503,1,0.50315,0.24929,0.066921,0.11602,-0.17228,0.349,-0.19013,-0.24622,0.037146,0.089728,-0.016208,0.084462,0.13964,-0.41439,0.23589,-0.18205,0.15906,-0.024931,-0.045406,0.06429,0.1238,0.04267,-0.28963,-0.16815,-0.014152,0.058084,0.0014405,-0.061813,-0.12416,0.13515,0.11847,0.091154,0.15666,-0.028307,-0.27366,0.028326,0.21694,-0.070448,0.23025,0.22027,-0.093665,-0.047408,0.095204,-0.037396,-0.040296,0.047017,0.1502,0.073118,0.099036,0.14602,0.1047,0.11973,0.16547,0.016097,-0.078497,0.16036,-0.20277,0.12496,0.17834,0.090766,0.10544,0.37608,0.0096644,0.047622,0.1469,0.14283,-0.0015344,0.13366,0.17781,0.21685,-0.24935,0.17542,0.020909,-0.27873,-0.055911,0.20571,0.057785
2,0.24667,0.50315,1,0.076101,0.10574,0.23766,0.013899,0.06804,-0.076996,-0.079962,0.0077301,0.2064,-0.10773,0.0060816,-0.092379,-0.27893,0.15757,-0.14277,-0.1855,-0.10064,-0.030379,-0.1157,0.13443,-0.078376,-0.1421,0.076211,-0.0089473,-0.054761,0.0052556,-0.21449,-0.27826,0.14388,0.086699,-0.053379,-0.013041,0.0083616,-0.10764,0.017975,-0.02262,-0.11725,0.06436,0.11924,-0.094163,-0.16596,-0.027803,-0.070117,-0.25363,0.01891,0.12444,0.059643,-0.00057253,-0.0046402,0.19251,0.12895,0.23826,-0.073233,0.071618,0.38346,-0.17608,-0.062215,0.14773,-0.10669,0.02994,0.083871,0.033751,0.1382,0.10622,0.30184,0.036806,-0.091708,-0.26125,0.13046,-0.088034,0.24144,0.14681,0.062235,0.17765,0.23625,-0.11514
3,0.076192,0.24929,0.076101,1,0.19564,0.14915,-0.070526,0.10623,0.1405,0.0035839,0.12665,0.34568,0.18245,0.16652,0.040731,0.21508,0.25712,0.044537,0.50546,0.24687,0.12251,0.27888,0.039098,0.18486,0.10161,0.092636,0.20114,0.069056,-0.18219,0.1618,0.26046,0.13293,-0.021619,-0.094614,0.062516,-0.15109,-0.18267,-0.083863,0.12044,-0.0084419,0.20114,-0.16432,0.29149,-0.17296,-0.23516,-0.03617,-0.067154,0.23401,-0.036461,0.12106,0.13467,-0.28947,-0.098772,-0.070114,0.26651,-0.16225,-0.15477,-0.16632,-0.058952,-0.23913,0.045309,0.03612,0.1669,0.019879,-0.17081,0.20982,0.087606,-0.12079,-0.25813,0.0074813,0.12676,-0.33755,0.008921,-0.028652,-0.088151,-0.09297,-0.16718,-0.127,0.034382
4,0.16844,0.066921,0.10574,0.19564,1,0.29605,0.21967,-0.034813,0.3237,0.29198,-0.13532,0.25923,0.27131,0.30287,0.07858,0.48061,0.095793,-0.1875,0.16673,0.29213,0.1064,0.084629,0.21356,-0.037106,0.081191,0.10594,0.32687,0.22869,-0.03544,0.13676,0.033874,0.27267,0.16243,0.080988,0.06381,0.13185,-0.16275,0.20455,0.028864,0.15564,0.037885,0.21843,0.28707,-0.073673,-0.23322,0.1412,0.073252,0.16939,0.11503,0.038319,0.09721,-0.043667,0.16736,0.079048,0.24963,-0.27066,0.2102,0.13562,-0.14448,-0.10021,0.03191,0.18824,0.32955,-0.0047708,0.028571,0.13268,-0.24764,0.12105,-0.020621,0.023253,-0.15517,-0.056911,-0.12663,-0.085504,0.02967,-0.23743,-0.1629,0.013601,-0.1339
5,0.25391,0.11602,0.23766,0.14915,0.29605,1,0.20585,0.2567,-0.082585,0.27626,0.073067,0.22056,0.0079787,0.23682,-0.17611,0.19387,0.34473,0.05372,0.13886,0.20018,-0.01782,-0.076287,0.24511,-0.078609,0.1674,-0.023592,0.091198,0.14476,0.2155,-0.063068,-0.10852,0.31408,-0.14358,0.2696,0.012118,0.10806,-0.048621,0.051301,0.00057652,0.08392,-0.043971,-0.090898,0.087414,-0.031734,-0.35668,0.22011,0.015332,0.30982,-0.20078,-0.28385,0.10046,-0.19833,0.063989,0.055061,0.31674,-0.0046538,-0.020079,0.16076,-0.16234,0.044089,0.14522,0.030523,0.32973,0.27475,-0.098535,0.15531,-0.22498,-0.10339,0.13379,-0.33513,0.047327,-0.19666,0.021048,0.1416,-0.02594,-0.35217,0.08071,-0.046629,-0.15625
6,0.10588,-0.17228,0.013899,-0.070526,0.21967,0.20585,1,0.06231,0.15796,0.016922,0.24387,0.37997,-0.0053986,0.2146,-0.2599,0.18992,0.029032,0.13008,0.067351,-0.012667,0.0053535,0.2098,0.30935,0.06796,0.32904,0.26491,0.22705,0.063142,-0.082955,0.16447,0.2725,0.14458,0.31045,-0.031707,0.015102,0.023396,0.091442,0.29423,-0.033081,-0.027621,0.0038035,0.15908,-0.10144,0.055174,0.058899,-0.11867,0.19259,0.079144,-0.11712,-0.18982,0.2234,-0.095188,0.098421,0.012169,0.022187,-0.07812,-0.17258,-0.15556,0.00073671,0.067813,0.26257,0.019701,0.050186,-0.18147,-0.41618,-0.11291,-0.16292,-0.036722,-0.00070689,0.00259,-0.23448,0.021428,0.022482,0.021162,-0.22718,0.098353,-0.24934,0.10492,-0.012611
7,0.14558,0.349,0.06804,0.10623,-0.034813,0.2567,0.06231,1,-0.12995,0.15742,0.09514,0.17549,-0.08515,0.27264,0.23098,-0.12059,0.11184,0.20299,0.25336,0.17521,-0.0088397,0.25082,0.49316,0.11512,-0.047086,0.15088,0.30305,0.14399,0.08263,0.017145,0.31469,0.12648,0.38774,0.32085,0.36886,0.42514,-0.09982,0.07406,-0.055898,-0.17401,-0.052867,0.03059,-0.016004,-0.077073,0.065225,0.14071,0.12465,0.066206,-0.13171,-0.11136,0.063013,0.14828,0.031398,0.02159,0.038537,0.046819,-0.26009,0.029979,0.16385,0.22393,0.14963,0.25625,0.1387,-0.067095,-0.11486,-0.14116,0.059448,0.032032,0.16945,0.13228,0.20955,-0.1189,0.028992,0.137,-0.024399,-0.087396,-0.16311,-0.022981,0.069273
8,-0.025735,-0.19013,-0.076996,0.1405,0.3237,-0.082585,0.15796,-0.12995,1,0.19147,0.033254,0.19427,0.32391,0.37466,0.084792,0.18779,-0.034516,0.3452,0.20077,0.43402,0.38688,0.30919,0.18781,0.27177,0.27002,0.12493,0.029748,0.32729,0.23427,0.2526,0.18911,0.14745,0.037482,-0.052178,-0.028326,0.076608,0.25163,0.13918,0.15823,0.29642,0.06442,0.3173,-0.039176,-0.059596,0.096092,-0.13957,0.14122,-0.065528,-0.14733,-0.058089,0.22371,-0.062205,-0.18492,-0.18632,0.038058,-0.077936,-0.016994,-0.15806,0.015002,-0.14694,-0.046404,0.03043,0.17289,-0.2499,-0.017943,-0.1006,-0.30399,-0.019875,0.016886,0.078135,-0.24024,-0.17802,-0.139,-0.19811,0.00023649,-0.28363,-0.033981,-0.044682,0.21222
9,-0.092517,-0.24622,-0.079962,0.0035839,0.29198,0.27626,0.016922,0.15742,0.19147,1,-0.13585,0.12155,0.044758,0.21356,0.28668,0.32758,0.22106,-0.018167,0.037989,0.31199,0.10156,-0.072104,0.27383,-0.077645,0.26868,0.070979,0.26897,0.26384,0.039597,0.2659,-0.039258,0.058559,0.083907,0.14181,0.097366,0.22706,0.16122,0.041696,0.010613,0.18702,-0.38568,-0.014744,0.075046,0.037069,-0.20162,-0.02845,0.25766,0.16515,-0.22424,0.075718,0.023378,0.090189,-0.13638,-0.21358,0.28433,-0.35551,0.11208,-0.12552,0.064117,-0.099017,-0.23073,0.15528,0.23664,-0.099964,-0.053603,0.127,-0.27399,-0.074393,0.016837,0.02493,0.068124,-0.26728,0.29783,-0.14899,0.18102,-0.26133,-0.062133,-0.028526,0.039147
