,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73
0,1,0.055784,0.26913,0.13398,-0.20624,0.056996,-0.013298,0.11646,0.093241,-0.067492,0.162,0.057155,0.073151,0.12297,0.51005,0.1116,0.10812,0.13172,0.19589,0.064,0.047193,0.2199,0.19493,0.045258,-0.0098572,0.12919,0.11921,0.16488,0.10587,0.012258,-0.1429,0.0446,0.20603,0.036656,0.0014836,-0.16003,-0.024066,0.057537,0.074127,-0.069198,-0.024602,0.036061,-0.081503,-0.0014699,-0.14907,0.020291,0.089023,0.2948,0.098277,0.09585,-0.20719,0.22433,0.23243,0.13041,0.0013525,0.062975,-0.024888,-0.087116,0.2747,-0.11994,0.2617,0.14146,-0.057535,-0.29103,0.12097,0.25238,-0.095992,-0.12636,0.09692,0.11152,0.0025378,0.023546,0.01474,0.16836
1,0.055784,1,0.11619,0.13363,0.35215,0.38197,0.17183,-0.068841,0.078249,0.021107,0.24355,-0.077797,0.13543,0.18773,0.025949,-0.060823,-0.13632,-0.22346,0.0060388,0.066542,-0.11415,-0.03921,0.21472,0.21992,0.21545,0.1012,-0.088932,-0.055953,0.33655,-0.21076,0.18467,-0.12704,0.15304,0.052659,0.053259,0.013932,-0.30571,0.42117,0.09156,0.071837,0.078098,0.036427,0.027191,-0.0918,0.032534,0.033805,-0.066697,0.20584,-0.12361,-0.040199,0.2821,0.090218,0.11742,0.23026,0.046068,0.0012744,-0.1202,0.073376,0.22457,0.12775,-0.015937,0.019946,0.0042648,0.038018,-0.16362,-0.002973,0.087863,0.096263,0.082996,0.22717,-0.077031,0.28239,0.31165,0.016006
2,0.26913,0.11619,1,0.11503,-0.079398,0.067982,-0.12043,-0.0096899,0.031696,0.23369,0.16015,0.16425,-0.035317,0.0009513,0.1747,0.18059,0.29408,-0.13075,0.2373,-0.07508,0.031827,0.090354,0.23549,-0.11852,-0.087171,-0.02211,-0.10097,0.075428,0.32094,-0.19314,-0.13455,-0.070933,0.038411,-0.14931,-0.063504,-0.12936,0.047631,0.069516,-0.031271,0.013412,-0.20997,-0.053421,0.11005,-0.079706,0.085855,0.022156,0.022056,0.33378,0.056862,0.16811,-0.17809,0.037726,-0.07576,0.02255,0.26986,0.22804,-0.14958,0.1019,-0.094467,-0.021312,0.060254,-0.07987,0.17557,-0.16197,0.016697,0.13867,-0.10855,0.076834,0.047881,0.16416,-0.076463,0.15621,0.095356,0.16173
3,0.13398,0.13363,0.11503,1,-0.090855,0.15051,-0.036817,0.042811,0.075805,0.16981,-0.16636,-0.030061,-0.056283,0.10463,0.054489,-0.15003,0.005086,-0.096569,0.0022922,0.34139,-0.019301,-0.021927,0.099359,-0.0029159,0.07505,-9.1585e-05,0.0082558,-0.14125,0.19448,0.15778,-0.22066,-0.13515,-0.1075,-0.21433,-0.22114,-0.01797,-0.070774,-0.027475,0.19595,0.11199,0.0020542,-0.009661,-0.25468,0.12716,-0.11561,-0.089078,-0.0086265,-0.037219,-0.12502,0.064689,-0.14978,0.015398,-0.03683,-0.063965,0.1311,0.34909,0.04676,0.039777,0.24784,0.015144,0.046236,0.083006,-0.0061679,-0.24919,0.077181,-0.06282,-0.038055,0.145,-0.17057,0.16886,-0.036372,0.067186,0.24331,0.2039
4,-0.20624,0.35215,-0.079398,-0.090855,1,-0.15282,0.29171,0.11218,-0.081636,0.089776,0.24272,0.19283,0.094901,0.12401,0.031262,0.27232,0.07115,0.09997,-0.23718,-0.11137,0.023948,0.18558,-0.071413,0.11693,0.13579,0.11672,0.048284,0.087914,0.15924,0.12207,-0.11835,0.26432,-0.0763,-0.10255,0.27145,-0.025217,-0.016983,0.032798,-0.10963,-0.068908,0.24221,0.020715,0.030995,-0.042396,0.20767,0.045144,-0.046606,-0.007029,-0.081081,0.079341,0.24267,0.074178,0.33415,0.39025,0.19425,0.08624,0.011102,0.022293,-0.012676,0.03364,-0.046594,0.088416,0.25019,0.15136,-0.17804,-0.19022,0.079712,-0.082262,0.11874,0.18591,0.026272,-0.26645,0.10032,-0.078537
5,0.056996,0.38197,0.067982,0.15051,-0.15282,1,0.096464,-0.33844,0.30721,-0.074993,0.17966,0.1722,0.18431,0.11915,-0.048885,-0.082153,-0.18877,-0.25957,0.25723,0.00063585,0.095937,-0.11907,0.36482,0.15911,0.20742,0.21076,-0.1111,0.091598,0.34657,-0.12049,0.052316,-0.19489,-0.15807,0.0032718,0.057715,0.0016218,-0.046816,0.27207,0.058048,0.28726,0.01457,0.048607,-0.20773,0.16171,0.21184,0.082054,-0.069333,-0.0032799,-0.11622,-0.06032,-0.038987,0.11032,-0.031385,-0.12894,0.13954,-0.0043285,-0.0041028,0.028336,0.26453,0.14998,0.21605,0.27368,-0.072607,0.0026501,-0.019115,-0.020997,0.063018,0.11143,0.044522,-0.035137,0.10353,0.3299,0.095128,0.2782
6,-0.013298,0.17183,-0.12043,-0.036817,0.29171,0.096464,1,0.25493,0.15017,0.10709,0.17611,0.20402,0.42242,0.18854,0.13517,0.34184,0.14919,-0.0882,0.20957,0.18536,0.45333,0.13585,0.11894,0.20425,0.21173,0.17236,0.096083,0.21274,0.3084,0.19931,-0.041394,0.0031648,0.19599,-0.20734,0.28494,-0.21935,0.0051977,0.13711,-0.047995,-0.09005,0.10641,0.17122,-0.12495,-0.063154,0.2101,-0.20674,0.19626,0.034326,-0.047408,-0.16545,0.11322,-0.067448,0.075568,0.10696,-0.045175,0.16907,-0.18382,-0.1469,-0.13046,0.31433,-0.041375,-0.017228,-0.096073,0.28923,0.12123,0.16279,0.13606,-0.26709,-0.093804,-0.035347,-0.26187,-0.046807,-0.1037,0.048399
7,0.11646,-0.068841,-0.0096899,0.042811,0.11218,-0.33844,0.25493,1,0.063769,0.082056,-0.043933,0.081213,0.10566,0.49075,0.46539,0.26591,0.18658,0.037151,-0.012749,0.24509,0.37276,0.19654,-0.079772,0.1013,0.24473,0.23053,0.3568,-0.0043234,0.19659,0.10662,-0.003695,0.36344,0.14913,-0.23661,-0.18742,0.1003,0.12434,0.073458,0.019055,-0.21086,0.18168,-0.22353,0.0025051,0.048421,-0.15563,-0.25878,-0.10932,0.10737,-0.055163,-0.053298,-0.072092,-0.1566,0.15355,0.040174,0.041765,-0.093752,-0.075696,-0.19933,-0.29429,-0.18454,-0.10312,-0.038168,-0.25371,-0.11991,0.012086,-0.25809,-0.26602,-0.049311,-0.11717,-0.21416,-0.19466,-0.042278,-0.058584,-0.23428
8,0.093241,0.078249,0.031696,0.075805,-0.081636,0.30721,0.15017,0.063769,1,-0.13934,0.40675,0.25303,0.20982,0.32316,0.11425,-0.13213,0.10478,0.11577,0.3338,0.12659,0.13421,0.13951,0.34746,0.3424,0.19589,0.24605,-0.011282,0.2088,0.18788,-0.28505,0.24757,-0.063631,0.098564,-0.060556,0.005958,-0.034612,0.27636,-0.033741,-0.10467,0.18242,-0.032071,-0.041542,0.12455,0.10946,-0.07151,-0.10004,-0.048872,-0.096542,0.08145,0.23424,-0.0090813,-0.025438,-0.076467,-0.066093,-0.068638,0.051489,0.043902,0.18142,0.10543,0.02937,0.36785,0.16164,-0.20699,-0.13668,-0.028451,0.14487,-0.096956,-0.2618,-0.20552,-0.060625,0.063406,0.057961,0.1031,-0.019855
9,-0.067492,0.021107,0.23369,0.16981,0.089776,-0.074993,0.10709,0.082056,-0.13934,1,0.027077,-0.06039,-0.12634,0.0833,0.13169,0.33158,0.29917,0.15059,0.13542,0.22236,0.14451,0.34198,0.056974,-0.2143,0.11248,0.14627,0.17207,0.15233,0.066772,-0.1248,-0.081019,0.19757,0.22043,-0.083373,0.015765,-0.10798,0.16051,0.086963,-0.081611,0.2816,0.013711,0.032203,-0.18391,0.31147,-0.026952,-0.16435,-0.088668,0.16038,0.16139,-0.18079,-0.1626,0.020027,0.16167,-0.040167,-0.032652,0.12166,-0.32908,0.23123,-0.16473,0.041878,0.11376,-0.096421,0.090304,-0.059319,0.077436,0.020982,-0.24769,-0.25877,-0.11778,-0.093371,0.14492,0.23457,-0.12597,-0.071835
