,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
0,1,0.22677,0.061959,0.10798,0.30527,0.24909,0.15623,0.14108,0.11111,0.33362,0.23242,0.30416,0.19068,0.31588,0.42595,0.33201,0.30242,0.070176,0.1492,0.14688,0.38324,0.32713,0.43022,0.28198,0.14979,-0.029415,0.074486,0.062679,-0.058825,0.026988,0.23786,0.10642,0.11723,-0.16251,0.19023,0.1557,0.11234,0.3132,-0.024781,-0.036589,0.063003,-0.16967,-0.19193,0.0080726,0.33174,0.051858,-0.044976,0.0040727,-0.047187,-0.33235,-0.16687,0.045567
1,0.22677,1,0.030333,0.0030958,0.14132,0.072431,0.21045,0.25804,0.5101,0.14056,0.087284,0.22133,0.11888,0.34085,0.44102,-0.062376,0.19161,-0.096306,-0.056351,0.3309,0.13157,-0.0033948,0.38005,-0.0078644,0.14278,0.056086,0.053457,0.17759,0.16663,0.14831,0.20354,0.16105,-0.1747,0.081767,0.061749,0.16845,0.076406,0.19187,0.081095,0.05629,-0.00010053,-0.34976,-0.046066,-0.15254,0.24969,-0.07239,-0.15935,-0.065338,-0.01204,-0.23628,-0.17224,-0.1878
2,0.061959,0.030333,1,-0.16588,0.25189,0.082226,0.26625,0.12493,0.2818,0.15504,-0.011466,-0.005337,0.23806,-0.11961,0.19141,-0.11401,0.12506,-0.058742,-0.056695,-0.0089863,0.16751,0.13344,-0.047427,0.35647,0.077523,-0.0057924,0.063955,0.095299,-0.074089,-0.081316,-0.048304,-0.2015,-0.26812,-0.18457,0.12033,0.16024,-0.041875,-0.09881,0.0048197,0.2559,-0.14062,0.031643,0.16335,0.2716,-0.031232,0.054216,-0.053553,0.2214,0.072032,-0.024832,-0.080909,-0.079804
3,0.10798,0.0030958,-0.16588,1,0.27415,-0.052394,0.26647,-0.13419,-0.17968,0.24964,0.55917,0.19635,0.016031,0.2726,0.0088113,0.29282,-0.13709,0.14758,0.26104,0.21718,0.13161,0.12768,-0.055684,0.051006,0.094058,0.086501,-0.083376,0.064941,0.14769,0.10578,-0.016935,0.25479,0.12643,0.15846,0.30649,-0.019612,0.17332,0.13778,-0.23988,0.063574,0.23256,0.2991,0.078767,0.0063226,0.14582,0.34272,-0.094471,0.026462,0.23332,-0.18319,-0.18885,0.13833
4,0.30527,0.14132,0.25189,0.27415,1,0.087102,0.46921,0.2371,0.091734,0.36433,0.36802,0.060555,0.37498,0.31121,0.29685,-0.018554,0.063965,0.24099,0.022488,0.20014,0.2675,0.14746,0.22939,0.47165,0.096144,0.1139,0.16186,0.24625,0.13452,-0.15602,-0.087313,0.1847,0.19657,-0.11771,0.17763,0.003247,-0.20277,0.066563,-0.030436,0.19242,0.16268,0.05893,0.1799,0.11816,0.073166,0.092013,0.077908,-0.091163,-0.023423,-0.25267,-0.18291,0.017039
5,0.24909,0.072431,0.082226,-0.052394,0.087102,1,0.049967,-0.062488,0.11068,0.33364,0.079232,0.39047,0.37469,0.025481,0.081254,0.31704,0.078637,0.091634,0.2737,0.094344,-0.10404,0.24624,0.23762,-0.035319,0.24589,-0.12177,0.047513,0.10794,0.24754,0.15251,0.35512,0.060571,0.28473,0.076804,0.18716,0.087807,-0.067876,0.07796,-0.23351,0.10653,-0.01104,-0.40751,0.061287,0.017757,0.087891,-0.2141,-0.076821,0.14641,-0.20549,0.01708,0.28731,0.096112
6,0.15623,0.21045,0.26625,0.26647,0.46921,0.049967,1,0.23242,0.28001,0.46692,0.196,0.12901,0.30517,0.26489,0.25987,0.23198,0.22835,0.16725,0.051621,0.18661,0.39254,0.23497,0.15444,0.28679,0.2246,0.10874,0.0021527,0.21054,0.22121,0.18116,0.14707,0.13493,-0.16812,0.11376,0.21451,0.22911,-0.12088,0.1691,0.016258,0.20616,0.067657,0.16113,-0.0022387,-0.11605,-0.0011305,0.080287,-0.25158,-0.086516,0.10225,-0.2729,-0.39052,-0.029835
7,0.14108,0.25804,0.12493,-0.13419,0.2371,-0.062488,0.23242,1,0.17404,0.10652,0.15148,-0.11443,0.23765,0.18575,0.18504,0.011543,0.10131,0.12912,-0.12595,0.084266,0.061648,0.15196,0.25949,0.025363,0.2649,0.18328,-0.19781,-0.053358,0.087103,0.02997,0.25678,0.13856,-0.068553,-0.15317,-0.1236,-0.007922,-0.17107,-0.0083028,-0.028686,-0.07741,-0.059879,-0.00096733,0.12371,0.025771,0.024282,0.11666,-0.086909,0.24605,0.3277,-0.17107,-0.24669,0.094438
8,0.11111,0.5101,0.2818,-0.17968,0.091734,0.11068,0.28001,0.17404,1,-0.1472,0.045773,0.16066,0.20252,0.080226,0.33872,-0.012317,0.26684,0.15153,-0.13571,-0.091235,0.13912,-0.0027835,0.17276,0.12837,0.34134,-0.078973,0.14747,0.070178,0.059517,0.265,0.18192,0.062314,-0.16655,-0.089368,-0.044533,0.16109,0.00053182,0.010779,0.10262,0.19058,-0.09957,-0.33532,0.098822,-0.34597,0.10626,-0.29715,-0.091037,0.15266,0.13106,-0.24642,0.088912,-0.26378
9,0.33362,0.14056,0.15504,0.24964,0.36433,0.33364,0.46692,0.10652,-0.1472,1,0.24585,0.20134,0.31878,0.20582,0.27532,0.31743,0.30301,0.22938,0.33528,0.15768,0.18156,0.30781,0.31124,0.29624,0.20303,0.1712,0.092948,0.39338,0.20946,-0.085341,0.2822,-0.070486,0.13698,0.037203,0.16357,0.28515,-0.12462,0.12672,-0.063388,0.19259,0.11,-0.13216,-0.16519,0.13266,0.12964,0.09011,-0.21045,-0.10992,-0.10459,-0.12479,-0.23385,0.17455
