,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106
0,1,0.79914,0.8509,0.81314,0.82331,0.76523,0.69109,0.69815,0.72316,0.71548,0.72422,0.72578,0.60145,0.65089,0.64943,0.60387,0.53147,0.54998,0.46406,0.17245,0.20017,0.24123,0.20583,0.015759,0.2326,0.14116,-0.22194,-0.086191,-0.050063,-0.1535,-0.25736,0.030204,-0.37796,-0.2634,-0.1529,-0.14954,0.074516,-0.10679,-0.63031,-0.37997,-0.10017,-0.2823,-0.259,-0.18219,0.16526,-0.19522,-0.38448,-0.27206,0.047184,-0.29542,-0.44015,-0.2888,-0.29447,-0.11188,-0.27352,-0.26057,-0.3199,-0.16076,-0.11982,0.039684,-0.083273,-0.054801,-0.01742,0.148,-0.21328,-0.21048,-0.3383,0.11528,0.080365,-0.015128,0.064442,-0.073654,0.3414,0.13699,-0.22473,-0.25631,0.062813,-0.1111,0.15909,0.0247,-0.077786,0.089656,-0.081885,-0.12236,0.11273,0.38614,-0.11926,0.058422,0.11436,-0.26931,0.25183,-0.04591,0.065851,-0.11808,0.084119,0.29932,0.10757,-0.060058,0.1791,0.24293,0.063302,0.27396,0.0094051,0.066941,-0.083787,0.034523,-0.15183
1,0.79914,1,0.82196,0.79405,0.77921,0.71887,0.76407,0.69769,0.74841,0.69987,0.69308,0.65347,0.76964,0.5631,0.5039,0.51597,0.53025,0.54153,0.28753,0.26518,0.15156,0.2859,0.11252,0.016147,0.29054,0.15758,-0.15331,-0.16715,-0.1789,-0.07024,-0.23392,0.060299,-0.25148,-0.21309,-0.11611,-0.057025,0.10302,-0.073515,-0.70014,-0.34779,-0.16284,-0.33964,-0.29327,-0.27366,0.030182,-0.086756,-0.38726,-0.27582,-0.12613,-0.19407,-0.40103,-0.29219,-0.27586,-0.21132,-0.23487,-0.3538,-0.21591,-0.099425,-0.16902,-0.025074,-0.11223,-0.094109,-0.061867,0.060498,-0.13984,-0.21708,-0.20584,0.025038,0.24013,-0.16443,-0.080197,-0.16987,0.16131,0.080213,-0.21633,-0.15076,0.20231,-0.15309,0.1756,-0.01476,-0.098432,0.043156,-0.12277,-0.14583,0.13893,0.38009,0.02838,0.033497,0.056516,-0.18743,0.0067006,-0.098682,0.088105,0.073257,0.13796,0.20942,0.28418,0.082228,0.13677,0.25919,0.15267,0.18236,0.076746,0.15396,-0.14978,0.15552,-0.047768
2,0.8509,0.82196,1,0.80444,0.82332,0.70248,0.73299,0.68411,0.73602,0.75096,0.70542,0.68698,0.58569,0.60887,0.62509,0.54218,0.43204,0.549,0.40629,0.21468,0.10964,0.45665,0.25264,0.059219,0.28551,0.27671,-0.21523,-0.17946,-0.1703,-0.032829,-0.17623,0.10955,-0.37863,-0.17833,-0.032355,-0.16811,0.077956,-0.090788,-0.61378,-0.39956,-0.16528,-0.21407,-0.264,-0.23666,0.042313,-0.048621,-0.33008,-0.23816,-0.12459,-0.25421,-0.43227,-0.29373,-0.30589,-0.071501,-0.17312,-0.27391,-0.27112,-0.17769,-0.090434,-0.08376,-0.18819,0.019055,0.031918,0.30102,-0.1087,-0.25675,-0.25037,0.16417,0.0068693,-0.11105,-0.090316,-0.099259,0.37773,0.18311,-0.29298,-0.37223,0.13261,-0.12672,0.2088,0.11014,-0.1401,0.024669,-0.16092,-0.044901,0.21577,0.41634,-0.049906,0.21933,0.013591,-0.1477,0.09596,-0.053536,0.07985,-0.10069,0.12737,0.4211,0.26246,0.017114,0.24929,0.36448,0.094247,0.089001,0.066631,-0.019764,-0.054347,0.044726,-0.14835
3,0.81314,0.79405,0.80444,1,0.72628,0.72304,0.79838,0.63355,0.66151,0.60229,0.64852,0.62983,0.62137,0.61502,0.58799,0.52313,0.41759,0.44775,0.4562,0.14425,0.1412,0.37696,0.076941,0.0057001,0.24962,0.088144,-0.1514,-0.28419,-0.10873,-0.19268,-0.11814,0.15813,-0.27826,-0.18471,-0.055233,-0.038809,0.084711,-0.14083,-0.59688,-0.39262,-0.1863,-0.3008,-0.34585,-0.13099,0.0013722,-0.10813,-0.35622,-0.15631,-0.10132,-0.36915,-0.4157,-0.29223,-0.35186,-0.20378,-0.17367,-0.2873,-0.27975,-0.29159,-0.071904,-0.048357,-0.071681,-0.058584,0.094315,0.16596,-0.2488,-0.075123,-0.34677,0.16025,0.02372,-0.075491,-0.029466,-0.10288,0.33355,0.15267,-0.13417,-0.16402,0.13685,-0.20537,0.023227,-0.0094617,-0.2736,0.020772,-0.11588,-0.050665,0.15133,0.31083,-0.096875,0.19409,-0.10072,-0.21603,0.19918,0.068582,0.014612,0.060876,-0.01436,0.31606,0.18423,0.1082,0.14749,0.21725,0.10779,0.074041,0.075672,0.066454,-0.13049,0.069721,-0.019935
4,0.82331,0.77921,0.82332,0.72628,1,0.76378,0.66855,0.75401,0.7382,0.76913,0.74623,0.66209,0.62751,0.62903,0.55445,0.55277,0.36888,0.5274,0.39225,0.3288,0.30445,0.25646,0.17924,-0.10698,0.19544,0.18483,-0.22108,-0.1417,-0.13582,-0.14509,-0.19274,-0.0091336,-0.23824,-0.30129,-0.12637,-0.28036,0.11792,0.0024624,-0.55439,-0.41783,-0.099487,-0.29872,-0.288,-0.10201,0.07884,-0.18917,-0.31387,-0.30325,-0.12024,-0.2872,-0.32427,-0.33898,-0.22048,-0.08119,-0.12013,-0.20984,-0.36397,-0.11175,-0.10998,-0.13589,-0.24217,-0.02418,-0.20021,0.17503,-0.14952,-0.37726,-0.20384,0.026427,0.039173,-0.14205,0.088753,-0.075341,0.40673,0.056121,-0.34927,-0.38677,0.114,0.029201,0.21353,0.094877,-0.090459,0.1407,-0.069989,-0.010866,0.013668,0.42335,-0.054812,0.047679,0.13955,-0.13629,0.025597,-0.052214,0.15434,0.063035,0.052487,0.41546,0.050404,0.0091788,0.2411,0.23634,0.15678,0.15102,0.17627,0.065578,-0.068113,0.076798,-0.057792
5,0.76523,0.71887,0.70248,0.72304,0.76378,1,0.71804,0.55324,0.73748,0.61729,0.60159,0.6013,0.59577,0.45655,0.61217,0.38351,0.28016,0.54867,0.39565,0.18401,0.28667,0.20616,0.096325,0.032683,0.086145,0.16762,-0.30865,-0.084751,-0.17919,-0.14718,-0.25906,-0.089684,-0.16573,-0.080241,-0.27039,-0.20884,0.030455,-0.11805,-0.49826,-0.41618,-0.12338,-0.2705,-0.40307,-0.074992,0.018381,-0.21086,-0.42275,-0.23546,-0.23281,-0.23532,-0.42817,-0.36586,-0.39471,-0.11824,-0.2346,-0.36726,-0.36038,-0.12361,-0.15291,-0.16104,-0.0524,-0.048202,-0.14822,0.0489,-0.24066,-0.16585,-0.26753,0.072589,0.026807,-0.21386,0.16252,0.018969,0.34829,0.011069,-0.2892,-0.23462,0.081642,-0.044328,0.18132,-0.0058197,-0.2319,-0.07085,-0.17117,-0.11326,-0.094309,0.31666,0.038463,-0.018146,-0.051913,-0.074899,0.17391,-0.054872,-0.096153,0.083231,0.048817,0.073141,0.092073,0.056855,0.17614,0.20152,0.011508,0.15371,0.13331,0.16522,-0.17884,-0.049465,0.031827
6,0.69109,0.76407,0.73299,0.79838,0.66855,0.71804,1,0.63968,0.6797,0.55969,0.66367,0.55837,0.66206,0.53855,0.4748,0.62573,0.39271,0.49114,0.24778,0.10951,0.131,0.49322,0.15413,0.01642,0.03428,0.046177,-0.22246,-0.2623,-0.15657,-0.20846,0.015367,0.082669,-0.24828,-0.0321,-0.23964,-0.082072,0.046417,-0.19795,-0.52738,-0.45398,-0.088862,-0.21191,-0.16165,-0.25764,-0.036267,-0.054129,-0.34324,-0.17012,-0.051124,-0.27925,-0.26926,-0.43408,-0.39015,-0.12395,-0.22303,-0.27344,-0.44482,-0.16895,-0.19184,-0.20665,-0.1411,-0.038565,-0.024052,0.10713,-0.2356,-0.19718,-0.2035,0.14692,0.12948,-0.062855,-0.0016187,-0.099253,0.2981,0.15744,-0.21657,-0.082032,0.044912,-0.2131,0.16184,0.12337,-0.16883,0.080705,-0.10359,-0.13256,0.22028,0.34165,0.049742,0.23894,-0.077484,-0.091173,-0.050982,-0.0771,0.14405,-0.012299,0.056383,0.16923,0.18424,0.16002,0.1589,0.20776,0.032525,0.027835,0.18714,-0.0069606,-0.19132,0.074481,0.011531
7,0.69815,0.69769,0.68411,0.63355,0.75401,0.55324,0.63968,1,0.66158,0.66472,0.72338,0.62013,0.66787,0.64263,0.52655,0.55807,0.43671,0.51831,0.3648,0.34257,0.39394,0.35799,0.23259,-0.17869,0.2876,0.24618,-0.26619,-0.14215,-0.1709,-0.12985,-0.17516,-0.019381,-0.17471,-0.1745,-0.11335,-0.061471,0.047138,-0.027579,-0.52989,-0.30947,-0.0835,-0.28346,-0.082817,-0.24546,-0.014276,-0.03805,-0.14705,-0.29533,0.029983,-0.35486,-0.28005,-0.15399,-0.19379,0.0042826,-0.21822,-0.17951,-0.32237,0.083748,-0.060855,-0.12974,-0.12425,-0.020167,-0.17539,0.11771,-0.19144,-0.32973,-0.26141,0.013594,0.15375,-0.099626,0.081016,-0.12493,0.16286,-0.011338,-0.2356,-0.06133,-0.081774,0.080586,0.11941,-0.1547,-0.16915,-0.032232,-0.10321,-0.14654,-0.0098281,0.2683,-0.1311,0.13042,0.25096,-0.17615,-0.00010066,-0.1316,0.21403,-0.084982,0.010814,0.33544,0.1504,0.053293,0.15643,0.093619,0.10706,0.11656,0.32246,-0.063927,0.027214,-0.00096167,-0.07475
8,0.72316,0.74841,0.73602,0.66151,0.7382,0.73748,0.6797,0.66158,1,0.65844,0.62652,0.59773,0.58537,0.51921,0.62352,0.5001,0.38473,0.58326,0.41279,0.12455,0.15869,0.32405,0.057795,0.11561,0.21074,0.11018,-0.20269,-0.14919,-0.019508,-0.054055,-0.121,0.086745,-0.27699,-0.16272,-0.35201,-0.30032,0.12455,0.065454,-0.56678,-0.1829,-0.16646,-0.3235,-0.25953,-0.092484,0.040198,-0.036678,-0.40815,-0.26035,-0.12429,-0.18578,-0.41282,-0.19279,-0.36125,-0.2181,-0.049471,-0.38259,-0.35995,0.0052179,-0.15116,-0.057639,-0.20114,0.018662,-0.11882,-0.056413,-0.27113,-0.090838,-0.25447,-0.018753,0.10835,-0.2036,0.15568,0.026276,0.2427,0.11009,-0.3912,-0.27575,0.033442,0.035889,0.16658,-0.1522,-0.19439,0.092217,-0.044225,-0.10595,-0.040129,0.22982,-0.12496,0.061475,0.016435,0.0067008,0.085353,-0.054055,0.044193,0.0070921,0.013507,0.3683,0.085474,0.014728,0.2524,0.37908,0.1169,0.15057,0.048072,-0.01867,-0.06462,-0.079354,-0.0193
9,0.71548,0.69987,0.75096,0.60229,0.76913,0.61729,0.55969,0.66472,0.65844,1,0.59428,0.47154,0.6129,0.57986,0.47957,0.52325,0.43151,0.44257,0.42111,0.25854,0.12953,0.36138,0.314,-0.055737,0.10954,0.1877,-0.14556,-0.12617,-0.099639,-0.1421,-0.16088,0.036029,-0.36875,-0.26088,-0.029808,-0.16902,0.18029,-0.0015776,-0.44273,-0.32585,-0.1291,-0.26028,-0.44677,-0.1603,0.067764,-0.14042,-0.31845,-0.093708,-0.12302,-0.15933,-0.23275,-0.17034,-0.051189,-0.055866,-0.15889,0.015926,-0.18575,0.058461,-0.071694,-0.10275,-0.074407,-0.0025969,-0.17934,0.24907,-0.10078,-0.25847,-0.041143,-0.0026987,0.20369,-0.10088,0.025289,0.13305,0.34051,0.24265,-0.3769,-0.33757,0.087286,-0.01874,0.076152,0.033475,-0.030535,0.060313,0.029519,0.0060199,0.020764,0.37343,-0.0056713,-0.14366,0.051078,-0.20719,0.073867,-0.079917,0.13263,0.087878,-0.055782,0.38941,0.16477,0.061918,0.11655,0.3512,0.11329,0.27113,0.15266,0.19389,-0.10542,0.073875,-0.15477
