,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80
0,1,0.41929,0.32569,0.29343,-0.0010197,0.054811,0.053396,-0.0013172,-0.018194,-0.011076,0.019156,-0.2684,-0.23633,-0.021012,-0.32166,-0.0014425,0.062089,-0.33929,-0.23586,0.0010416,-0.16578,0.10381,-0.003242,0.06526,-0.0034597,-0.30445,-0.23395,-0.11307,-0.074374,-0.0322,-0.075138,-0.11363,-0.21177,-0.12041,-0.17586,0.33482,-0.16154,-0.30143,-0.25726,0.05565,0.17456,0.31245,0.081548,0.065317,0.010444,-0.14351,0.12859,-0.047071,0.011387,-0.10139,-0.24829,0.066451,-0.2237,-0.15306,0.22666,-0.0076974,-0.014643,-0.16475,-0.098,0.15548,0.074126,-0.12856,0.1213,0.20334,0.34853,0.07464,0.38624,-0.0082111,0.40102,0.050146,-0.10896,-0.04599,0.091654,0.096668,0.11695,0.16498,0.17248,-0.055672,0.0051495,0.11614,-0.18481
1,0.41929,1,0.21222,0.23388,-0.02715,0.27343,0.10569,-0.076336,-0.1904,-0.10356,0.0028626,-0.091036,-0.23058,-0.014225,-0.088946,0.17321,-0.023903,0.041052,-0.17754,-0.085042,-0.052008,-0.023001,-0.050209,0.11712,0.12089,-0.041784,-0.3707,-0.10715,-0.10017,0.10268,-0.25943,-0.060608,-0.033704,0.059612,-0.17843,0.038787,-0.054224,0.02522,-0.13594,-0.075162,-0.078758,0.097344,0.32716,0.050178,0.072624,-0.16982,0.19464,0.056473,0.091663,-0.14829,0.037279,-0.060291,-0.19078,-0.19351,0.33534,0.07971,-0.38137,-0.071707,-0.19236,0.19841,0.20264,0.013232,0.2586,-0.05965,0.30184,-0.043373,0.20691,0.12939,0.16761,0.091208,-0.2966,0.20427,0.015511,-0.085771,0.025403,-0.02527,0.21072,0.13391,0.14813,0.11536,-0.047084
2,0.32569,0.21222,1,0.26199,0.27443,0.37991,-0.046184,0.071415,-0.12546,-0.074698,0.17993,-0.029833,-0.048251,0.099325,-0.22597,-0.036851,-0.11669,-0.016129,-0.059599,-0.0048568,-0.050206,-0.03597,0.20501,0.21435,0.18509,0.068296,-0.12798,-0.095071,-0.051939,-0.085455,-0.13758,-0.31838,-0.14672,-0.0025693,0.13986,0.17628,0.1776,-0.16598,-0.060811,0.30203,0.017104,0.41203,0.17091,-0.1381,0.035317,-0.089996,-0.14657,0.032998,0.17071,0.011947,0.055779,0.19335,-0.31235,-0.26179,0.16117,-0.12477,0.0027155,-0.24426,-0.033515,0.12996,-0.041021,-0.18104,-0.14143,0.19482,0.20628,0.15838,0.18191,-0.0033644,0.097888,-0.010206,0.061827,-0.038339,0.040664,0.10483,-0.21712,0.2893,0.26409,0.14196,0.12087,0.18994,0.2174
3,0.29343,0.23388,0.26199,1,-0.099256,-0.017495,-0.016748,0.089439,-0.050425,-0.019806,0.069686,0.12773,-0.21983,0.033983,-0.16371,0.072069,0.22829,-0.17802,0.090738,0.02341,-0.030243,-0.22371,0.015421,0.082572,0.21615,-0.059564,-0.031069,0.16882,-0.21792,0.18134,-0.11501,0.0334,-0.091624,0.11592,-0.13242,0.090993,-0.25427,0.01222,0.22322,-0.013765,-0.060002,-0.04508,0.27061,-0.18523,-0.10385,-0.015534,-0.0048635,0.11575,-0.23576,-0.2529,0.041995,0.1339,-0.094196,-0.036829,0.22051,-0.10411,-0.063041,-0.21983,-0.30905,0.30348,0.22917,-0.087408,-0.016876,-0.15741,-0.017749,0.029303,-0.16418,-0.052417,-0.13147,-0.042729,0.067598,-0.10216,0.22266,0.24478,-0.085235,-0.10755,-0.1098,-0.030432,0.019834,0.1188,-0.090496
4,-0.0010197,-0.02715,0.27443,-0.099256,1,0.22497,0.082394,0.1136,0.019863,0.06036,0.047658,-0.069668,0.24409,0.018327,0.063411,0.048155,0.095894,-0.032975,0.089484,-0.10087,0.17924,-0.015767,-0.051318,0.31109,-0.10367,0.011488,0.095313,-0.034919,0.17738,-0.034316,-0.17124,-0.34549,-0.037913,0.23901,0.09993,-0.13373,0.084183,-0.090077,0.082513,-0.083367,0.060502,0.13634,0.10752,0.062172,-0.02144,-0.2191,-0.0912,0.079203,0.35669,0.037569,0.047747,0.0072558,-0.066679,-0.21723,-0.21196,-0.14043,0.07029,-0.056024,-0.09941,-0.010617,0.067023,-0.0049059,-0.19164,0.13071,0.078227,-0.088353,0.1139,0.19127,0.095258,0.19903,0.11079,-0.059702,-0.082679,-0.025201,-0.035865,0.0055223,0.11333,0.44739,0.14962,-0.22347,0.19557
5,0.054811,0.27343,0.37991,-0.017495,0.22497,1,0.11895,0.046288,0.11815,0.058549,0.2651,0.098461,0.33692,0.19996,0.17229,0.035941,-0.0013536,0.51824,0.13842,0.033145,0.17919,0.25695,0.16162,0.22466,0.4798,0.39146,0.094398,0.20124,0.072821,-0.11124,0.035622,-0.021981,-0.011262,0.20437,0.070225,0.23097,0.16241,0.35849,0.029567,0.23272,0.035664,0.36614,0.41266,0.1127,0.099863,-0.1635,0.046522,0.26046,0.16213,-0.041875,0.12119,0.061698,0.073728,-0.17296,-0.1203,0.033286,-0.11146,-0.27309,0.12031,0.28763,-0.043622,-0.05014,0.13449,0.1741,0.0067425,-0.15369,0.06246,-0.25793,-0.066892,0.062671,-0.096043,0.15605,-0.08205,0.0094772,-0.067876,-0.017701,0.047238,0.2739,0.10002,0.22784,0.12561
6,0.053396,0.10569,-0.046184,-0.016748,0.082394,0.11895,1,-0.13757,0.066424,0.074795,0.21329,-0.087781,0.1949,-0.084848,0.18906,0.23154,0.0021446,0.21235,0.0038135,0.11457,-0.11145,0.4812,0.033167,-0.011258,0.33742,0.02876,0.18017,0.0095971,0.018481,0.035868,-0.2504,-0.074413,-0.00061305,0.28604,-0.1306,0.035119,0.1368,-0.034397,-0.018814,-0.067999,0.12964,0.30368,0.025488,-0.079283,0.023442,-0.51223,0.03498,0.073344,0.0774,0.35618,-0.073039,-0.14927,0.071164,0.031887,-0.094685,-0.057101,-0.068603,-0.017892,-0.17993,-0.31561,0.066219,0.20233,-0.084393,-0.13741,0.053024,-0.22227,0.027627,-0.2264,-0.039667,-0.14467,-0.1937,-0.14038,0.17588,-0.28759,0.15186,-0.22427,-0.07428,0.23471,0.077754,-0.40086,-0.1526
7,-0.0013172,-0.076336,0.071415,0.089439,0.1136,0.046288,-0.13757,1,0.054333,0.27939,0.058698,0.25976,0.013807,-0.40199,-0.076117,-0.0014573,0.28027,-0.18491,0.080672,0.21589,-0.064872,-0.24155,-0.0028861,0.088793,-0.08632,0.1822,-0.12245,0.074511,0.037849,-0.028565,0.099685,-0.032237,0.23081,-0.16359,-0.17833,-0.036724,-0.00083213,0.059896,0.2104,-0.017484,0.1253,-0.095544,-0.084094,-0.20287,0.087434,0.096921,-0.071137,0.11642,0.13362,-0.083545,0.0035724,0.16047,0.037154,0.012774,-0.16883,0.29624,0.094284,0.18184,0.19926,-0.086325,0.062985,-0.18948,0.098282,-0.093606,-0.054895,0.05611,0.17999,-0.058871,-0.017635,-0.048433,0.1412,-0.21705,0.12851,0.33759,-0.22856,-0.04323,0.0079508,0.10902,-0.087434,-0.062741,0.011389
8,-0.018194,-0.1904,-0.12546,-0.050425,0.019863,0.11815,0.066424,0.054333,1,0.16063,-0.0086691,-0.095249,0.095139,0.16711,-0.17327,0.0010842,0.055179,0.058968,0.026328,0.3845,0.24097,0.20414,0.070196,-0.021866,-0.15875,0.086932,0.28613,0.11919,0.055527,0.2332,0.34089,0.018889,-0.095126,-0.040817,0.22681,-0.058918,-0.037414,0.35043,0.0063631,0.2096,0.22889,0.20042,-0.006163,-0.058581,0.10438,-0.098176,-0.07677,-0.10893,0.1236,-0.14979,0.025097,0.12013,0.22783,0.0057594,0.14452,0.018052,-0.00049284,-0.069585,0.076839,0.15094,0.019805,0.020672,-0.059281,-0.121,-0.15212,-0.12163,-0.10605,0.042201,0.095076,0.22897,-0.14578,0.17926,-0.24445,0.34182,0.11726,-0.058687,-0.33327,-0.08169,-0.40963,0.20703,-0.074369
9,-0.011076,-0.10356,-0.074698,-0.019806,0.06036,0.058549,0.074795,0.27939,0.16063,1,0.17032,0.19928,0.25681,-0.022421,0.20299,0.37623,0.24155,0.15223,0.14046,0.41635,0.012809,0.18476,-0.016701,-0.00023548,0.0072675,0.24149,0.16546,0.2486,0.1016,0.12989,0.14795,0.07014,0.33477,0.25702,-0.14878,0.018729,0.11701,0.13266,0.020912,0.17455,0.26154,0.1426,-0.07555,-0.16965,-0.10886,0.13682,-0.24753,0.073069,-0.043835,0.07975,-0.073972,0.00082796,0.22545,0.04924,0.11712,-0.081118,0.16961,0.04015,0.031074,-0.21111,0.15812,-0.29021,0.090748,-0.00022371,-0.068243,-0.13522,0.03177,-0.043004,0.13329,-0.37347,0.10136,-0.19558,0.26478,0.0053767,-0.058517,-0.078362,-0.054257,-0.058886,-0.21778,0.021627,0.031305
