,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78
0,1,0.9114,0.87738,0.82983,0.75734,0.80572,0.81703,0.82862,0.83506,0.79252,0.82331,0.81271,0.81114,0.89518,0.73697,0.76024,0.78314,0.74338,0.62108,0.76891,0.57201,0.73579,0.63109,0.76003,0.52071,0.71953,0.36977,0.54065,0.61389,0.42057,0.32792,0.31666,0.17567,0.41584,0.25059,0.28981,0.24714,0.10854,0.15068,0.26774,0.2272,0.12753,0.093192,0.12043,0.23211,0.19117,-0.25531,-0.014963,0.16193,-0.0086726,-0.129,0.008506,-0.087432,-0.24591,-0.18165,-0.3239,0.065321,-0.10493,-0.16363,0.058902,-0.23566,0.16314,-0.19989,-0.065855,-0.041479,-0.028932,0.08052,0.0016277,-0.18077,-0.068196,-0.081451,-0.1309,0.17701,0.12648,-0.1016,0.12162,-0.078318,0.085498,0.27054
1,0.9114,1,0.87684,0.88177,0.81266,0.82701,0.81804,0.84837,0.88148,0.79294,0.78317,0.84415,0.80606,0.85785,0.78627,0.79918,0.76982,0.75583,0.69331,0.80871,0.56385,0.66692,0.59061,0.76255,0.57867,0.69464,0.42031,0.52601,0.58265,0.37124,0.42437,0.30921,0.12007,0.41823,0.2991,0.23708,0.19635,0.11392,0.17424,0.11363,0.3268,0.094785,0.081846,-0.017877,0.2142,0.16819,-0.31977,-0.050692,0.15312,-0.0082366,-0.047693,0.086755,-0.045974,-0.19209,-0.15823,-0.18389,0.074565,0.0057367,-0.14932,-0.037723,-0.32376,0.17186,-0.18726,-0.1233,-0.18279,-0.12591,0.00025604,0.017922,-0.16607,0.073725,0.0080359,-0.14636,0.1066,0.1262,-0.033685,0.12337,-0.048422,0.046064,0.22625
2,0.87738,0.87684,1,0.88714,0.85214,0.78331,0.90153,0.85888,0.83974,0.85568,0.86239,0.8905,0.8828,0.84826,0.775,0.81254,0.83439,0.78967,0.68485,0.76131,0.62244,0.69705,0.63701,0.74769,0.59341,0.74082,0.38602,0.54624,0.64102,0.42939,0.29935,0.33923,0.20596,0.44149,0.22535,0.33103,0.31294,0.17022,0.15635,0.25548,0.22154,0.010474,0.096217,0.04413,0.28051,0.10632,-0.32493,-0.0007774,0.1682,0.037715,-0.079546,-0.019661,-0.073562,-0.10908,-0.22951,-0.32047,0.11587,-0.18193,-0.14697,0.020561,-0.2761,0.22378,-0.20647,-0.13592,-0.10169,-0.06849,-0.016936,-0.016478,-0.07,0.016386,-0.083969,-0.079278,0.1862,0.1493,-0.13918,0.18848,-0.086277,0.19453,0.14286
3,0.82983,0.88177,0.88714,1,0.7724,0.79803,0.80817,0.77284,0.8251,0.84324,0.82234,0.83773,0.81424,0.74566,0.78318,0.75946,0.73958,0.73128,0.68239,0.74437,0.60885,0.64924,0.58187,0.67778,0.5627,0.6931,0.3994,0.58431,0.54003,0.43852,0.26336,0.35066,0.24127,0.44237,0.25915,0.2645,0.2638,0.17109,0.15328,0.26985,0.27251,0.0053516,0.16503,0.075177,0.29421,0.083549,-0.34956,-0.091978,0.21366,0.059796,-0.10286,0.1142,-0.0086589,-0.10467,-0.14014,-0.23682,0.0075851,-0.049675,-0.11764,-0.00075826,-0.30673,0.3024,-0.21977,-0.14144,0.030427,-0.12448,0.075096,-0.090974,-0.084704,0.15357,-0.11839,-0.043563,0.16046,0.042801,-0.10965,0.14256,-0.10561,0.15295,0.062001
4,0.75734,0.81266,0.85214,0.7724,1,0.7478,0.84544,0.73917,0.75625,0.77556,0.72905,0.80664,0.77359,0.77133,0.7687,0.73694,0.71209,0.69627,0.67748,0.73219,0.4365,0.62457,0.5985,0.68643,0.5844,0.70784,0.28081,0.63355,0.57071,0.28029,0.22608,0.21704,0.049665,0.51582,0.29001,0.25157,0.27221,0.14412,0.17099,0.21162,0.11621,-0.01517,0.090187,-0.039905,0.15571,0.11094,-0.20415,-0.12579,0.16885,0.0021415,0.029272,0.020912,-0.0876,-0.1912,-0.26915,-0.29767,0.15029,-0.11488,-0.18662,0.01666,-0.29289,0.074648,-0.1384,-0.080751,-0.15344,-0.12921,0.15287,0.021666,-0.1263,0.055578,-0.023394,-0.078537,0.15764,0.15217,-0.088731,0.13239,-0.05247,0.14287,0.1506
5,0.80572,0.82701,0.78331,0.79803,0.7478,1,0.78409,0.77228,0.72363,0.76829,0.7301,0.79437,0.76159,0.75864,0.77994,0.78062,0.68072,0.65266,0.63612,0.60643,0.55317,0.56657,0.53242,0.64047,0.64266,0.65951,0.43411,0.56056,0.44883,0.26191,0.2767,0.35986,0.15283,0.39645,0.35612,0.21727,0.25499,0.1788,0.090188,0.1248,0.15518,0.10473,0.13442,0.12495,0.17184,0.14944,-0.28123,-0.13453,0.11728,-0.02229,-0.14648,-0.04736,-0.021468,-0.26044,-0.14712,-0.34355,0.052026,0.0082165,-0.16875,0.064019,-0.24372,0.23634,-0.2847,-0.13375,-0.15205,-0.12794,0.054703,-0.11109,-0.085152,0.061497,-0.13737,-0.18703,0.070678,0.086784,-0.12598,0.22558,-0.080629,0.028261,0.26199
6,0.81703,0.81804,0.90153,0.80817,0.84544,0.78409,1,0.83498,0.79052,0.83831,0.83444,0.794,0.87896,0.84189,0.8026,0.7171,0.78747,0.77167,0.6907,0.75145,0.59609,0.62099,0.58216,0.73724,0.51575,0.68513,0.31157,0.55224,0.5396,0.437,0.31407,0.29131,0.062256,0.38717,0.23314,0.14942,0.30036,0.18145,0.24114,0.15687,0.10457,0.083838,0.070509,0.038523,0.23099,0.22203,-0.17997,-0.04798,0.083284,0.010642,-0.053429,-0.054595,-0.11454,-0.15777,-0.13613,-0.26374,0.14657,-0.16788,-0.17531,0.03701,-0.20073,0.11411,-0.25784,-0.047028,-0.12305,-0.1133,0.04987,-0.018411,-0.16335,-0.017711,-0.072968,-0.034513,0.069775,0.16143,-0.040071,0.056607,-0.11062,0.18681,0.2161
7,0.82862,0.84837,0.85888,0.77284,0.73917,0.77228,0.83498,1,0.74267,0.78268,0.74345,0.7917,0.80283,0.83915,0.72672,0.80899,0.72369,0.77193,0.64757,0.70249,0.57585,0.61258,0.60254,0.76381,0.58811,0.60077,0.52888,0.48513,0.64707,0.35609,0.46528,0.43179,0.042445,0.3426,0.28801,0.16283,0.18089,0.21116,0.23546,-0.0088403,0.10239,-0.016505,0.099099,0.037306,0.35316,0.16642,-0.20748,-0.043138,0.12144,-0.056625,-0.13748,-0.088601,-0.070276,-0.19886,-0.2381,-0.23392,0.14941,-0.1232,-0.21548,-0.13898,-0.20749,0.30633,-0.14077,-0.085986,-0.19086,-0.074007,-0.063935,-0.059198,-0.064824,-0.052225,0.0043412,-0.10781,0.12963,0.25166,-0.16344,0.17318,-0.1757,0.16199,0.28444
8,0.83506,0.88148,0.83974,0.8251,0.75625,0.72363,0.79052,0.74267,1,0.76073,0.82144,0.73807,0.84616,0.78997,0.71718,0.72147,0.75672,0.69764,0.63072,0.74092,0.50561,0.69042,0.49593,0.70085,0.45695,0.68024,0.37065,0.54969,0.63189,0.4563,0.42954,0.25028,0.10827,0.42406,0.38555,0.25136,0.2137,0.039796,0.20984,0.24051,0.31034,0.073739,0.067621,0.021756,0.20204,0.18813,-0.31089,0.068304,0.22357,0.15542,0.0059645,0.081374,-0.046772,-0.18732,-0.091221,-0.21953,0.088871,-0.12439,-0.15144,-0.011586,-0.22708,0.10397,-0.37316,-0.072071,-0.021111,-0.17706,-0.0018755,0.041923,-0.14714,0.10462,0.011087,-0.16013,0.13555,0.17155,-0.10229,0.1263,0.16161,0.029196,0.14793
9,0.79252,0.79294,0.85568,0.84324,0.77556,0.76829,0.83831,0.78268,0.76073,1,0.76852,0.77116,0.77914,0.8384,0.71725,0.69352,0.7089,0.79542,0.70843,0.77203,0.61073,0.60404,0.51436,0.66565,0.63968,0.66253,0.38311,0.58669,0.60064,0.46053,0.30784,0.31839,0.16361,0.49878,0.34223,0.13637,0.12229,0.088834,0.12069,0.19422,0.078079,0.08569,0.11814,-0.017921,0.15495,0.13698,-0.32254,-0.047364,0.10906,0.12315,-0.060855,-0.051576,-0.12459,-0.12772,-0.24056,-0.30422,0.21168,-0.13199,-0.11359,0.019205,-0.3223,0.24632,-0.20282,-0.0069164,-0.02108,-0.18725,0.2442,-0.089538,-0.18299,-0.021545,-0.19728,-0.14882,0.21666,0.18391,-0.14191,0.10867,-0.023188,0.30441,0.15568
