,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
0,1,0.068889,0.47034,0.17767,0.26571,-0.055198,0.10999,0.06965,0.13146,-0.099963,0.22591,-0.054935,0.24285,0.054761,0.057178,0.23368,-0.036007,0.20953,0.01861,0.30433,0.17964,-0.012653,0.087479,-0.01719,0.43451,0.26482,-0.094742,0.14391,0.0985,0.072642,0.11331,0.094462,-0.04102,0.086508,-0.19583,0.17715,-0.0028218,0.207,0.17247,0.068444,0.13316,-0.14833,0.014914,0.0014646,0.24813,0.098797,-0.12665,0.063372,0.053319,0.025287,0.18143,0.0026012,-0.19589,-0.080723,0.18616,-0.026736,0.10603,0.091182,0.11926,0.13504,0.12509
1,0.068889,1,-0.0061703,0.056839,-0.069564,0.2806,0.016125,0.19353,0.10361,-0.17708,0.12527,-0.042003,0.1189,0.081387,0.02376,0.32162,-0.27817,-0.0055559,-0.11575,0.068904,0.21911,0.0010392,0.17555,-0.12848,-0.081407,0.063002,0.2089,0.10992,0.041231,0.25898,0.15679,0.024979,0.037626,0.05583,-0.15286,-0.28617,-0.020683,0.12439,-0.1096,-0.078878,-0.052319,-0.15968,-0.14099,0.14779,-0.045397,-0.047655,-0.061818,0.29767,-0.025949,0.048958,-0.035733,0.20404,0.041732,0.15693,0.077178,-0.046867,0.22815,-0.11285,-0.11274,-0.13656,-0.13582
2,0.47034,-0.0061703,1,0.070876,0.12444,0.14829,0.020131,0.072642,0.052119,-0.14575,0.16814,0.12151,0.021097,0.12498,0.1681,0.1069,-0.093005,0.25905,0.024504,0.2058,0.10188,-0.16916,0.10382,0.01424,0.25282,-0.08996,0.047688,0.27279,-0.0066152,0.39063,0.1204,0.062689,-0.0015971,0.10033,0.019832,0.27123,0.18233,0.1847,0.0050843,0.0094897,0.0798,0.16218,0.1596,-0.021537,-0.10377,0.15059,-0.059256,0.043188,0.014417,0.063132,0.2356,0.31431,-0.25669,0.072364,0.1136,-0.072912,0.19292,0.23698,0.24899,0.095242,0.19945
3,0.17767,0.056839,0.070876,1,0.27045,0.38607,0.23655,0.24108,0.32932,-0.094934,0.22537,0.33036,0.14049,0.31663,0.084286,0.11132,0.37804,0.33994,0.26219,0.43129,0.21662,0.19868,0.30692,0.22437,0.28267,0.078541,0.070733,0.0033209,0.28763,-0.032775,0.23926,0.080715,0.084485,-0.12244,-0.114,0.22776,0.12651,0.10595,0.17368,0.14002,0.073393,0.0053352,0.010298,0.044454,0.064487,-0.05232,-0.087475,0.10359,-0.061522,0.12907,0.0019234,0.2591,-0.13108,-0.11638,0.14298,-0.22297,-0.041401,0.043394,-0.073529,-0.016221,0.17205
4,0.26571,-0.069564,0.12444,0.27045,1,0.24238,0.28978,0.23614,0.23549,-0.043792,0.30208,0.097458,0.12527,0.23522,0.16301,0.15898,0.28115,0.29982,0.14172,0.1735,-0.055619,0.21852,0.15129,-0.20202,0.22099,0.23428,0.15631,-0.090914,0.17753,-0.2346,0.28942,-0.020387,0.32869,0.19636,-0.22035,0.23888,-0.10371,0.10637,-0.07565,0.040514,0.31604,0.013331,-0.093191,-0.07224,0.17951,-0.064037,0.14499,-0.25894,-0.1473,-0.29197,0.14605,0.080675,-0.11848,0.06455,-0.20963,0.18612,0.09224,0.22329,-0.15766,0.23345,0.14568
5,-0.055198,0.2806,0.14829,0.38607,0.24238,1,0.13655,0.30607,0.47318,-0.083304,0.14111,0.38503,-0.15519,0.24813,0.17052,0.14038,0.071136,0.21212,0.11645,0.32567,0.013023,0.091386,0.19774,0.0056288,0.012641,0.057677,0.014107,0.1081,0.2698,0.042955,0.29,0.31465,0.25185,0.1576,-0.13287,0.15149,0.12571,0.14117,-0.0016619,-0.1055,-0.10555,0.3187,0.017546,0.019296,-0.31391,-0.12957,0.024021,0.010649,0.10765,-0.015006,-0.11316,0.26276,-0.089467,0.17809,-0.067409,0.002569,0.15613,-0.016891,-0.0064655,0.13678,0.22794
6,0.10999,0.016125,0.020131,0.23655,0.28978,0.13655,1,-0.074852,0.17826,0.099845,-0.04417,0.11671,0.10791,0.12822,0.18541,-0.1361,0.0051922,0.25614,0.029847,0.16888,-0.044417,0.1504,0.012263,0.013089,0.089335,0.15709,-0.21532,-0.14764,-0.18359,-0.077024,0.07376,-0.021542,0.31236,-0.18634,0.12098,0.022831,-0.039547,0.18091,0.094028,-0.27958,0.1293,0.042698,-0.035502,0.12373,0.11171,-0.069659,0.063731,-0.019387,-0.12878,-0.1647,0.042883,-0.018844,-0.040347,0.065489,0.023173,-0.085001,0.10904,-0.15534,-0.24734,0.10621,-0.04242
7,0.06965,0.19353,0.072642,0.24108,0.23614,0.30607,-0.074852,1,0.34711,0.13496,0.33446,0.2629,0.34534,0.19212,0.11457,0.43757,0.1993,0.39527,0.2602,0.038185,0.11686,0.38155,0.19952,-0.058471,0.083462,0.086682,0.22589,0.23623,0.1689,0.19253,0.30489,0.1662,0.084343,0.40007,-0.050245,0.069832,-0.050493,0.16687,0.15108,0.15617,0.021892,0.098734,-0.17062,-0.017842,0.055876,-0.031628,-0.24498,-0.099354,-0.36744,-0.037457,0.25481,0.17606,0.0053781,-0.1094,-0.0020683,-0.2953,-0.15525,0.17497,0.017223,0.19189,0.089018
8,0.13146,0.10361,0.052119,0.32932,0.23549,0.47318,0.17826,0.34711,1,0.24012,0.16257,0.33858,-0.072157,0.28162,0.042644,-0.039994,0.15582,0.20013,0.059529,0.15051,0.016545,0.095938,0.18679,-0.30612,0.051142,0.13753,-0.037564,0.030081,0.20458,0.20684,0.27629,0.31157,0.41553,-0.17669,-0.066079,0.15118,0.19363,0.031422,-0.13414,0.067906,0.046344,0.095557,0.027719,-0.015493,0.24851,-0.06044,-0.048262,-0.13569,-0.10928,0.051092,0.16693,0.076709,0.027181,0.087583,-0.10915,-0.33049,0.012225,-0.031923,-0.18483,0.31002,0.2526
9,-0.099963,-0.17708,-0.14575,-0.094934,-0.043792,-0.083304,0.099845,0.13496,0.24012,1,0.060654,0.21298,0.069986,0.22462,0.1678,-0.047941,0.20794,0.30538,0.25603,0.070442,-0.13455,-0.010029,0.26541,0.0071514,-0.0029559,-0.036059,0.25895,0.13111,-0.27932,0.0378,0.1454,-0.021256,0.31921,-0.16474,0.16532,-0.0059262,0.018117,-0.16164,0.085061,0.10234,-0.082185,0.073459,0.11216,-0.022194,0.019691,-0.031093,-0.083562,-0.084818,-0.17001,0.052099,0.11405,0.049626,-0.078839,0.23923,-0.46385,-0.17858,-0.34283,-0.19327,-0.084315,0.077602,0.10165
