,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
0,1,0.14287,0.0063499,-0.17139,0.031947,-0.072969,0.26514,-0.19483,0.1382,0.05335,0.077219,-0.14309,-0.1135,-0.063536,-0.099229,0.077747,-0.044359,-0.094414,0.028888,0.17225,-0.37148,-0.11307,-0.080836,-0.24641,-0.14366,-0.22886,0.086689,-0.0044489,-0.18965,-0.24767,0.059452,0.2824,0.0032464,-0.097479,-0.21345,0.093719,-0.22996,-0.0033857,0.25557,0.033365,0.16204,-0.14338,0.10588,0.23986,0.20056,0.398,0.27286,-0.11509,-0.28181,0.23015,-0.062674,-0.14285,0.27755,-0.14861,-0.021054,-0.15866,0.33177,-0.21496,0.010101,0.15315,0.074241,0.12249,0.15545,-0.21737,0.32266,0.30445,0.019191,-0.075903,-0.17759,0.061243,0.16357,0.10043
1,0.14287,1,0.41957,0.23691,0.2729,0.22608,0.21525,0.078326,0.12554,-0.18296,0.20461,0.13976,-0.15579,0.13949,0.093967,-0.073111,0.10806,0.22032,-0.10066,0.1177,0.01736,0.01294,-0.03367,0.14716,-0.061537,-0.12737,-0.169,0.02317,0.094933,0.0087956,-0.032515,-0.026364,0.040447,-0.07762,-0.22953,0.19413,0.044606,0.17291,-0.04956,0.16475,-0.14099,0.081775,-0.16843,0.3151,0.18082,-0.098972,0.26001,0.13122,0.012182,0.39456,0.21093,0.23696,0.31924,-0.22642,0.0068908,0.032385,0.12718,0.20083,0.090819,0.082214,-0.070553,-0.0086602,0.2633,0.12712,-0.052492,-0.075136,0.25539,0.015139,0.27959,0.049788,-0.10357,0.13739
2,0.0063499,0.41957,1,0.22466,0.20412,0.062287,0.26878,0.15873,0.0056855,-0.084292,-0.041366,0.19366,-0.17739,0.13252,0.27134,0.040534,-0.19622,0.20186,0.07523,0.020766,0.052629,-0.039737,0.063655,0.078017,0.13648,-0.076424,-0.044703,0.046312,0.081185,-0.052626,0.0012368,-0.06304,0.1078,-0.11125,-0.10543,0.20449,-0.050662,0.06862,0.2815,0.051333,-0.23448,-0.07252,-0.28564,0.27955,-0.00057253,0.0075381,0.044135,0.00186,0.33582,-0.018054,0.017601,0.16598,0.20853,-0.22844,-0.21869,0.19458,0.16854,0.059258,0.27045,-0.12291,0.21721,-0.13898,0.42661,0.22778,-0.27973,-0.069734,0.17341,0.10044,0.028901,0.0030596,0.34738,-0.30575
3,-0.17139,0.23691,0.22466,1,0.053082,0.15942,0.01416,0.098423,0.22316,0.012618,-0.087799,-0.0060926,-0.0098761,-0.08264,0.0075204,-0.057809,-0.14947,-0.10363,-0.017743,-0.13011,0.0049136,-0.14113,-0.13366,-0.056746,-0.19496,-0.035837,-0.26845,0.026283,-0.13418,-0.090178,0.067866,-0.27895,-0.16349,-0.18067,-0.35293,-0.13668,0.12395,-0.088228,0.14801,-0.10426,0.16361,-0.1369,-0.10054,0.052669,-0.061125,-0.026182,0.034145,-0.012056,0.21452,0.016362,0.23006,-0.11827,0.35551,-0.037471,-0.11905,-0.028637,0.2012,0.16585,0.087434,-0.1128,0.19557,0.070725,-0.074925,0.32845,-0.070749,-0.061955,0.099138,-0.0071528,0.046636,0.087125,0.12242,-0.063773
4,0.031947,0.2729,0.20412,0.053082,1,0.30295,0.41973,0.16646,0.17944,-0.11418,0.21128,0.17143,0.018368,0.28485,-0.077251,0.23677,0.24132,0.16956,0.16788,0.30097,0.36095,0.34891,0.46124,0.3181,0.20306,0.24711,-0.1411,0.11226,0.12496,0.059278,0.24006,0.022647,0.049047,-0.13428,-0.2158,0.29113,-0.038274,0.047915,0.079915,0.20682,0.17644,-0.20132,-0.40905,0.088641,0.090824,0.10842,0.12053,-0.083523,0.0029395,0.38449,0.060447,0.019059,-0.06049,-0.21028,0.014637,-0.24271,0.13396,0.11534,0.08854,0.13853,-0.064571,-0.19075,0.072088,0.079329,-0.061318,0.014429,-0.045064,-0.067512,0.02507,-0.0023909,-0.014558,-0.0071518
5,-0.072969,0.22608,0.062287,0.15942,0.30295,1,0.043735,0.2721,0.15786,-0.005674,0.27567,0.20745,0.26662,0.16844,-0.033626,0.1868,0.19839,0.099893,0.20232,0.22437,-0.0029992,0.21026,0.10468,0.057218,0.16242,0.042373,-0.20165,0.2209,0.17506,-0.1191,0.23975,-0.1614,0.054661,-0.22928,-0.25111,0.091804,0.2993,0.080605,-0.13747,-0.16291,0.1141,0.077429,-0.27711,0.27772,-0.051925,-0.041741,0.064601,0.22593,0.084596,0.066503,0.095385,0.099335,0.089702,-0.024264,0.13775,0.012213,-0.3813,0.15059,-0.11103,0.091712,0.010829,-0.061689,0.13928,0.17313,0.10068,0.26167,0.17595,-0.33836,0.2895,0.089292,-0.071477,-0.15179
6,0.26514,0.21525,0.26878,0.01416,0.41973,0.043735,1,0.090731,0.27745,0.13672,0.17703,0.34081,0.057161,0.49262,0.52377,0.48424,0.2451,0.15217,0.26519,0.075265,0.28279,0.3871,0.36768,0.39358,0.32223,0.29483,0.13632,0.1367,0.19463,0.12055,0.086961,0.41888,0.063345,0.033675,0.023593,-0.050214,0.0057993,0.011386,0.25372,0.23334,0.096727,-0.19737,-0.22547,0.2164,0.061217,0.093818,0.098792,-0.044112,-0.10808,0.24357,0.060219,0.0049761,-0.083584,-0.17815,0.026553,0.0028944,0.078352,-0.022387,0.17316,0.013205,-0.17579,0.14,0.0090377,0.072379,-0.0036098,-0.19448,-0.021715,0.047133,-0.10698,0.041593,0.13259,-0.19364
7,-0.19483,0.078326,0.15873,0.098423,0.16646,0.2721,0.090731,1,0.22269,0.075658,-0.076148,0.35167,0.11724,0.27471,0.33094,0.34419,0.15029,0.50432,0.029005,0.63155,0.24093,0.08519,0.24363,0.070289,0.33873,0.52701,-0.1758,-0.018886,0.16326,-0.03937,0.2919,-0.16917,0.083135,0.21639,0.29281,0.27727,0.38257,0.20543,0.077925,-0.089522,-0.10134,-0.05333,-0.21504,0.037534,0.21841,-0.053448,0.059955,0.086519,0.028316,-0.048141,-0.10783,0.18008,0.16615,0.18417,-0.34902,-0.059131,-0.084809,-0.0011956,0.28489,0.023236,0.069741,0.20534,0.045843,0.19346,0.013529,0.0425,0.059129,-0.036527,-0.12132,-0.23759,0.18316,-0.18693
8,0.1382,0.12554,0.0056855,0.22316,0.17944,0.15786,0.27745,0.22269,1,0.30779,0.059439,0.088977,0.066235,0.25551,0.075509,0.54563,0.22711,0.297,0.21827,0.32627,0.13994,0.23054,0.10426,0.22495,-0.13862,0.10574,-0.1241,0.24505,-0.2595,0.21342,0.33272,-0.11066,0.15564,0.03753,0.12734,0.075051,0.24464,-0.19633,0.0058435,-0.0060275,0.3926,-0.038199,0.14196,-0.024042,0.014113,0.17467,0.086562,0.32126,-0.081691,0.064778,-0.0025754,-0.044087,-0.10374,-0.21708,0.045146,-0.022271,0.046424,-0.051743,0.21832,-0.2939,0.045623,0.27734,0.012286,-0.002306,0.073548,-0.1416,0.12016,0.13249,0.014602,-0.20228,0.021225,-0.14364
9,0.05335,-0.18296,-0.084292,0.012618,-0.11418,-0.005674,0.13672,0.075658,0.30779,1,-0.0072844,0.12136,-0.027121,0.018131,0.16265,0.38355,0.47281,0.020284,0.36124,0.0093387,0.1149,0.23574,0.14784,0.094764,-0.015404,0.0044526,0.29293,0.24275,-0.12041,0.18697,0.018987,-0.22262,0.25116,0.19281,0.14849,-0.043975,0.24708,-0.45658,0.10157,-0.03869,-0.04864,-0.23129,0.3282,-0.18265,0.072135,0.063737,-0.0013926,0.081813,0.20902,-0.029256,0.14263,0.27889,-0.28593,-0.006657,0.18311,0.18126,-0.022208,-0.016709,-0.097764,-0.31404,-0.17605,0.039801,-0.22749,0.26506,0.027436,-0.091521,0.11649,-0.064508,-0.21415,-0.24746,0.21998,-0.016031
