,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83
0,1,0.027849,0.34563,0.29974,-0.14591,0.25828,-0.22476,-0.035004,-0.15506,-0.12637,-0.16545,-0.31741,-0.02385,-0.20012,-0.061407,-0.13036,-0.16388,-0.094683,-0.18523,-0.2268,-0.17442,-0.068087,-0.085143,-0.21282,-0.12067,-0.25862,-0.32654,-0.274,-0.27138,-0.025261,-0.15293,0.047514,-0.02844,0.054725,-0.31539,-0.064499,-0.016193,0.066398,-0.24478,-0.0623,-0.15074,-0.045048,0.026085,0.081366,0.23834,-0.30596,0.0062754,-0.18115,0.14115,0.1705,-0.0022052,0.067752,-0.0034587,-0.037914,0.32591,0.19824,-0.0010736,0.035641,-0.27598,0.33564,0.053455,0.39139,0.059609,-0.0069225,0.12378,-0.13746,0.06878,0.3865,-0.055408,0.085849,0.014372,-0.072878,0.060175,0.18448,0.29003,-0.0343,-0.096591,0.26109,0.21513,-0.055127,-0.00048903,0.28119,-0.070173,0.062468
1,0.027849,1,0.13037,-0.14358,-0.051283,0.052908,-0.25022,0.093443,0.066909,-0.077112,-0.31072,-0.17835,-0.22094,-0.23734,-0.041002,-0.095999,-0.35696,-0.34667,-0.10611,-0.17445,-0.052072,-0.33483,-0.20607,-0.21586,-0.35462,-0.088994,-0.29561,-0.055412,-0.15741,-0.057454,-0.24456,-0.32508,-0.080557,0.13959,0.23287,0.10583,-0.38734,0.038871,0.1865,-0.17364,-0.081652,0.16107,-0.17773,-0.10409,0.1257,-0.091632,0.064663,-0.03867,0.28448,0.10589,0.091463,0.14238,0.00066011,-0.10872,-0.17983,-0.30029,0.048381,-0.080795,-0.15266,-0.1137,0.061653,0.31289,0.28785,0.021575,0.12263,0.10564,0.14417,0.078614,0.097118,-0.00091632,0.27525,0.24952,0.093638,-0.065082,-0.07524,-0.0031665,-0.077819,0.11059,0.29459,0.068094,0.17994,0.20339,-0.11121,-0.17702
2,0.34563,0.13037,1,0.17223,0.07305,0.076414,-0.0051616,-0.098214,0.093152,0.21857,-0.041903,-0.13832,-0.16535,-0.10526,0.083416,0.01898,-0.052615,-0.13671,-0.081987,-0.29718,0.21013,0.02274,-0.050438,-0.002465,0.035767,-0.0096617,-0.073316,-0.05027,-0.2472,-0.11415,-0.012349,0.02643,0.10319,0.18859,0.18982,-0.11541,-0.13975,0.063689,-0.029224,-0.2219,-0.22792,0.06362,-0.031318,-0.27257,0.05781,-0.24034,0.042552,-0.18956,0.42084,0.059263,-0.061747,-0.050071,-0.14381,-0.23641,-0.04538,0.20121,-0.056711,-0.12551,-0.41215,0.2479,0.21828,0.080192,-0.022753,0.23697,-0.013302,-0.021527,-0.15957,-0.099892,0.020691,0.17623,-0.20977,0.19258,-0.36773,0.11893,-0.07832,-0.25292,0.068755,0.1268,-0.012755,0.25102,0.08956,0.33372,-0.069983,0.077135
3,0.29974,-0.14358,0.17223,1,0.22103,0.31283,0.095643,0.090723,-0.22625,0.039349,0.044179,-0.023811,-0.0076963,0.068834,-0.025505,0.065537,0.11603,0.21526,-0.20698,-0.218,0.15734,0.11879,0.14945,0.076313,0.045939,-0.0081173,-0.11757,0.0080849,0.064413,0.32239,0.1386,0.063692,0.090445,-0.033121,-0.047015,-0.13622,0.012768,0.28844,0.023457,-0.052437,-0.042327,0.21544,0.12684,-0.22385,-0.073138,-0.095576,0.14556,0.0029469,0.19327,0.14434,0.11746,-0.022129,-0.056946,-0.035751,0.14454,0.074282,0.064449,0.13308,-0.091048,0.17571,0.20414,-0.17969,-0.093647,-0.098386,-0.010213,0.18739,0.022146,0.10077,-0.14226,-0.038284,-0.016576,-0.11742,0.13375,0.096057,0.28257,0.11024,0.09763,0.13479,-0.03382,-0.24469,-0.23416,-0.067075,0.11525,-0.17856
4,-0.14591,-0.051283,0.07305,0.22103,1,0.059689,0.2202,0.079853,0.20825,0.13435,0.28885,0.38944,0.25434,0.14814,0.089765,0.01715,0.19265,0.17102,0.15185,0.1471,0.35263,0.33587,0.34152,0.10324,0.29239,0.098612,0.27791,0.59829,0.24611,0.43166,0.13062,0.19086,0.41872,0.10684,-0.060379,0.19962,0.033299,0.29783,0.18864,-0.053063,0.15894,0.19647,0.37406,0.11898,-0.0052929,0.057451,0.14749,0.11722,-0.018743,0.051766,0.17555,0.13821,0.060575,0.017264,0.22239,-0.020548,0.11188,-0.22371,0.066608,0.1922,0.16441,-0.25114,0.11957,0.20153,-0.074019,0.19132,0.14755,-0.015389,-0.16031,0.072606,0.028388,-0.15134,0.069635,0.10609,0.15619,0.13969,0.18114,0.30381,-0.087672,-0.090785,0.19274,-0.027854,-0.14242,-0.067114
5,0.25828,0.052908,0.076414,0.31283,0.059689,1,-0.25328,0.10108,-0.26619,0.030824,-0.11434,0.01698,0.14879,0.34184,-0.10611,0.088063,-0.0046281,-0.0099609,0.0039893,-0.01041,0.18664,0.11826,-0.17237,-0.071828,-0.0092717,-0.14553,-0.00087336,0.082192,0.23629,-0.040726,-0.20495,-0.068916,0.1054,0.10559,-0.1712,0.007305,-0.097487,0.49478,0.31794,-0.062282,0.064289,0.088134,-0.13657,-0.22552,0.097854,-0.25857,0.045822,0.2454,0.23358,0.22291,0.2256,0.35462,0.10647,0.033198,0.11539,-0.010448,0.0486,0.13756,0.16243,0.045532,0.15312,-0.082721,0.060941,-0.11705,0.072883,-0.33709,-0.077569,-0.030117,-0.18227,0.11428,0.11147,-0.18242,-0.037729,0.27999,0.16012,-0.17221,0.17682,0.17291,0.17411,-0.37188,0.15529,0.079735,-0.24145,0.093944
6,-0.22476,-0.25022,-0.0051616,0.095643,0.2202,-0.25328,1,0.13611,0.17849,0.50839,0.40259,0.056283,0.15872,0.24886,0.26644,-0.16043,0.050045,0.22567,-0.12423,0.062845,-0.053141,0.23451,0.23753,0.22735,0.19066,0.20682,0.17379,0.10892,0.023603,0.35085,-0.079935,0.045628,0.23965,0.27312,-0.0026103,-0.14273,0.21916,0.0086768,-0.033715,-0.02273,-0.085481,-0.054802,0.23939,0.14231,-0.36277,0.135,0.29206,0.063269,-0.18138,-0.22414,0.077469,-0.070303,-0.087836,0.051924,-0.11416,0.22372,0.15485,0.028737,0.036233,0.17882,0.12488,-0.34775,-0.058983,0.024628,0.091126,-0.099764,0.147,0.0016397,0.14459,-0.14843,-0.080287,0.23773,-0.21995,0.091817,-0.27124,0.11178,0.26713,-0.078255,-0.18566,0.11147,-0.2057,-0.030754,0.086803,-0.13058
7,-0.035004,0.093443,-0.098214,0.090723,0.079853,0.10108,0.13611,1,-0.0062738,0.15659,0.14017,0.23311,0.040033,0.10978,-0.19374,0.15467,0.12127,0.045102,-0.15902,0.24013,0.11892,0.22977,0.17662,0.29873,0.21441,-0.048578,0.16708,0.27209,0.020143,0.30023,0.14132,0.0081183,0.051414,0.15598,-0.011942,0.15282,0.15425,-0.099868,0.24297,0.012946,0.10882,-0.08484,0.11158,0.11809,-0.18679,-0.05649,0.16642,0.14381,-0.092423,-0.091713,0.13985,0.22292,0.12929,-0.36476,0.1311,-0.052814,-0.067797,-0.11118,-0.024538,-0.017882,-0.0078528,-0.11764,0.055353,-0.11891,0.12273,-0.070977,0.13983,-0.15074,-0.0051451,-0.16244,0.39933,-0.05045,-0.1296,0.019856,-0.11718,0.20601,0.25867,-0.083807,0.18901,0.19741,0.079425,-0.21669,0.0079146,-0.072054
8,-0.15506,0.066909,0.093152,-0.22625,0.20825,-0.26619,0.17849,-0.0062738,1,0.050698,0.19001,0.19965,0.45259,0.19062,0.19405,0.27198,0.12971,0.090792,0.39044,0.27497,0.10967,0.38673,0.26584,0.1022,0.15469,0.11922,0.2904,0.3549,0.18594,0.13778,0.090409,0.014325,0.34914,0.29475,0.061299,0.20685,0.13754,-0.069375,0.063052,0.26729,0.26479,0.26215,0.086096,0.022898,0.19957,-0.040413,-0.098698,-0.042546,0.14745,-0.031437,-0.12378,0.23611,0.02044,0.0049709,-0.032088,-0.033392,-0.18652,-0.043084,-0.1091,0.10357,-0.19352,-0.014228,0.055916,0.21152,-0.0033373,-0.15601,0.14286,-0.18167,0.14922,0.16973,0.00029997,0.047345,-0.19585,-0.064462,-0.092264,-0.32578,0.1185,-0.24573,-0.29888,0.17221,0.13495,-0.1563,-0.0041491,-0.16501
9,-0.12637,-0.077112,0.21857,0.039349,0.13435,0.030824,0.50839,0.15659,0.050698,1,0.13639,0.031469,0.12776,0.050726,0.021141,-0.14503,0.16626,-0.053877,-0.18264,-0.085008,-0.0086962,0.0094712,0.24654,0.114,0.10313,0.28129,0.036255,0.13507,0.063966,0.21282,-0.079331,0.10154,0.33809,-0.014104,0.10315,-0.17919,0.13765,0.14026,0.094164,-0.074944,0.0060759,-0.071179,0.17583,0.0082967,-0.3549,0.2676,0.17765,0.12257,-0.091273,-0.10104,0.023374,0.086664,-0.094158,-0.17206,-0.12701,0.11264,0.037248,0.12644,0.094727,-0.052323,0.2295,-0.28726,-0.029854,-0.067126,0.04351,-0.14198,-0.12164,-0.39369,0.059369,0.084005,-0.0011642,0.11038,-0.34138,0.005116,-0.13217,0.095605,0.16396,0.02484,0.019223,-0.1197,0.11164,0.063437,0.12319,-0.09407
10,-0.16545,-0.31072,-0.041903,0.044179,0.28885,-0.11434,0.40259,0.14017,0.19001,0.13639,1,0.23955,0.059457,0.1366,-0.011309,-0.042301,0.16441,0.16328,0.16426,0.38322,0.019374,0.39975,0.39119,0.36371,0.32705,0.03192,0.20176,0.17193,0.43871,0.16669,0.16486,0.28091,0.40728,0.1671,0.1449,-0.106,0.52195,0.1216,-0.044375,0.2203,-0.099498,-0.086021,0.2313,0.20915,-0.14274,-0.043804,-0.17468,0.35263,-0.15347,-0.096847,-0.049273,0.11698,0.32498,0.17887,0.030725,-0.042475,-0.055421,-0.078619,-0.021813,0.24688,0.09033,-0.077634,0.14495,-0.072464,0.209,0.2053,0.068915,-0.066389,0.034539,-0.08607,0.10504,0.0091864,-0.06429,0.076881,-0.030233,0.17205,0.21521,0.0036375,-0.28398,0.088996,0.076182,-0.072154,-0.12145,-0.17943
11,-0.31741,-0.17835,-0.13832,-0.023811,0.38944,0.01698,0.056283,0.23311,0.19965,0.031469,0.23955,1,0.14954,0.15531,0.1263,0.2835,0.32708,0.43706,0.27167,0.4191,0.26717,0.36075,0.16461,0.3281,0.18332,0.23205,0.41899,0.50262,0.21071,0.26189,0.28979,0.17211,0.21208,0.16322,0.20256,0.14952,0.23608,0.17218,0.25525,0.24935,0.28127,0.33497,0.17597,0.19148,-0.11417,0.16883,-0.13618,0.28681,0.083809,-0.057355,0.033301,0.077949,0.029042,-0.010155,0.005872,0.133,-0.0064919,-0.065921,-0.0065156,-0.034559,0.10823,-0.24735,-0.056151,0.13132,-0.32243,0.15862,-0.19051,-0.21002,-0.022662,-0.15299,0.067414,-0.059095,0.038988,-0.039746,0.090613,-0.23974,-0.19504,0.24861,-0.0071889,0.091579,0.052693,-0.24068,-0.2133,-0.18451
12,-0.02385,-0.22094,-0.16535,-0.0076963,0.25434,0.14879,0.15872,0.040033,0.45259,0.12776,0.059457,0.14954,1,0.26978,0.17488,0.31196,0.33203,0.35702,0.29269,0.34206,0.2112,0.45373,0.16281,0.0070012,0.14072,0.20704,0.36102,0.2971,0.42318,0.27562,0.22903,0.23953,0.027095,0.33951,-0.24381,0.35165,0.26984,0.084666,0.3095,0.18433,0.29149,0.15877,0.13801,0.027588,0.17569,0.1131,0.14725,-0.011822,0.098548,0.26402,-0.040015,0.19254,0.069454,0.066864,0.16444,0.013464,-0.13887,-0.041698,0.3001,-0.1049,-0.065945,-0.042182,0.078604,-0.073447,-0.1584,-0.23118,0.008474,-0.062734,-0.13485,0.17454,-0.055537,-0.17817,-0.22255,0.088549,0.20383,-0.097972,-0.029541,-0.078826,-0.13095,-0.085215,0.058442,-0.14142,-0.10166,-0.11909
13,-0.20012,-0.23734,-0.10526,0.068834,0.14814,0.34184,0.24886,0.10978,0.19062,0.050726,0.1366,0.15531,0.26978,1,0.27923,0.34456,0.1826,0.048905,0.40199,0.19191,0.29871,0.40507,0.13582,0.21142,0.33618,0.14955,0.45867,0.29793,0.29912,0.12951,0.12085,0.2628,0.16769,0.14032,-0.057538,0.051232,-0.030262,0.33211,0.18067,0.25263,0.24885,0.028864,-0.18717,-0.025168,-0.029663,-0.0069999,0.058985,0.0062498,0.13487,0.10978,-0.081752,0.26041,0.18012,-0.067989,-0.17224,0.22549,-0.14202,-0.030771,0.1795,0.24435,0.1223,-0.44239,0.0010047,0.2558,0.29409,-0.30633,0.078528,-0.20762,0.041371,-0.11046,-0.032745,-0.27723,-0.13036,0.15257,-0.07501,-0.037364,0.22398,-0.19622,-0.085243,-0.33169,-0.027209,-0.12025,-0.10781,-0.013691
14,-0.061407,-0.041002,0.083416,-0.025505,0.089765,-0.10611,0.26644,-0.19374,0.19405,0.021141,-0.011309,0.1263,0.17488,0.27923,1,0.11272,0.26364,0.12389,0.1129,0.098017,0.22367,0.30783,0.092408,-0.013797,0.1016,0.33552,0.37085,0.19297,-0.099296,0.2332,0.13154,0.2634,0.064429,0.23934,0.060127,0.32799,0.12173,-0.044737,0.20874,0.033695,0.13341,0.065679,0.10739,0.25882,0.031141,0.32623,0.1295,-0.15869,0.23687,0.28749,0.089648,0.14085,-0.13849,0.031728,-0.27709,0.30378,-0.19398,-0.16767,0.045174,0.078408,0.15562,-0.25028,0.12569,0.42742,-0.10021,0.041205,0.056169,0.046163,-0.25009,0.094782,0.060688,0.0013652,-0.24879,-0.030323,-0.084312,-0.31124,-0.2994,-0.047698,-0.1625,-0.10062,-0.10737,0.24301,-0.15027,0.026802
15,-0.13036,-0.095999,0.01898,0.065537,0.01715,0.088063,-0.16043,0.15467,0.27198,-0.14503,-0.042301,0.2835,0.31196,0.34456,0.11272,1,0.50891,0.26424,0.32701,0.18563,0.48487,0.35657,0.26275,0.28809,0.18872,0.11853,0.33144,0.2713,0.29456,-0.019684,0.33652,0.099415,0.011285,0.30921,0.1216,0.13868,0.069592,0.092178,0.2199,0.20637,0.44041,0.19316,-0.16891,-0.17147,0.13505,-0.035624,-0.20017,-0.054902,0.42339,0.2562,-0.18818,0.33598,0.0037752,-0.083019,-0.16875,-0.096069,-0.2053,-0.25352,-0.022073,-0.07239,0.041251,-0.24831,-0.11534,0.0058033,-0.15182,0.045151,-0.22071,-0.20258,-0.26341,-0.18573,-0.06799,-0.33867,-0.1424,-0.0034472,-0.02212,-0.27713,-0.13472,-0.10735,-0.10535,-0.17723,-0.079978,-0.15581,-0.090006,-0.23623
