,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62
0,1,0.14867,0.26638,0.26367,0.29844,0.30616,0.06764,0.057542,0.15311,-0.030837,0.076339,-0.11762,0.024266,0.14686,-0.043502,0.23976,0.17733,0.19217,0.047404,0.23464,-0.11701,0.078019,0.207,0.35561,0.12196,0.19472,0.29047,-0.10086,0.3099,0.20238,-0.028253,0.16262,0.11585,0.115,0.059276,0.19202,0.18916,0.15524,0.019455,0.061774,0.26193,0.043467,0.03203,-0.11306,0.011745,-0.085668,0.064599,0.18788,-0.060295,-0.077653,0.057374,0.093841,-0.20775,0.10898,0.10775,0.22475,-0.0022974,-0.12114,-0.20185,0.050415,0.20238,-0.23643,0.20346
1,0.14867,1,0.21301,0.048375,0.23115,0.0014646,0.10637,0.063278,0.057477,0.21751,0.0034794,0.21782,0.25462,0.054144,0.12151,0.10691,0.10305,0.23425,0.30478,0.06547,0.20039,0.24106,0.18072,0.2186,0.19327,0.16905,0.34967,-0.00063575,0.066018,0.23841,0.039917,0.060123,0.48653,0.023156,0.079736,0.18038,-0.075753,-0.01361,0.15078,0.1189,0.16913,0.021833,0.1444,-0.14298,-0.17137,0.011541,-0.04051,0.22856,-0.04518,0.15903,0.3146,-0.053011,-0.022235,-0.091714,-0.19699,0.053717,0.081035,-0.21863,-0.20486,-0.016457,-0.07603,0.09718,0.042968
2,0.26638,0.21301,1,0.3447,0.0188,0.24729,-0.030314,-0.044335,-0.046812,-0.066632,-0.0024829,0.022949,0.035971,0.2668,-0.14182,0.25349,0.17017,0.098996,0.34911,-0.015547,0.081544,0.016972,0.13643,0.17742,-0.17402,0.25347,0.35194,-0.15867,-0.081371,0.39801,0.19856,-0.12857,0.10896,0.12314,0.21778,0.053955,0.10151,0.097236,0.1244,0.18387,0.025423,0.21843,-0.12104,0.026191,-0.071526,-0.11804,-0.14358,-0.13865,-0.19433,-0.099484,0.21876,0.093372,0.0676,-0.059605,0.01139,-0.0077886,-0.40733,-0.43923,-0.35365,0.029976,-0.064999,0.041893,-0.017345
3,0.26367,0.048375,0.3447,1,0.17018,0.1637,0.017947,0.076939,0.10213,0.047733,0.10027,-0.19027,-0.101,0.18888,0.018745,0.32001,0.044954,0.15752,0.095689,0.22757,-0.17299,-0.039386,0.39556,0.22228,-0.01121,0.33783,0.38755,-0.1608,-0.0059693,0.10593,0.04666,-0.048101,0.075955,0.16165,0.058608,0.16442,0.073871,0.22207,0.1561,0.13146,0.10539,-0.060561,-0.10471,0.12426,0.069704,-0.12225,-0.067241,-0.0096515,-0.088646,0.093317,-0.049231,0.16089,0.15418,-0.1233,0.036738,0.11769,-0.064732,-0.079873,-0.046715,0.14631,-0.15452,0.075941,0.14443
4,0.29844,0.23115,0.0188,0.17018,1,0.084938,0.3559,0.36023,0.38222,0.38512,0.23897,0.19286,0.36619,0.30444,0.22807,0.14695,0.40089,0.41388,0.35008,0.36856,-0.0014225,0.29778,0.22965,0.44066,0.22826,-0.022045,0.21448,-0.03164,0.14981,0.24048,0.0040787,-0.012062,0.25407,0.25533,0.030182,0.36134,0.21205,0.35708,0.09377,0.04052,0.38147,0.15401,0.19677,-0.20693,0.049135,0.18627,0.17977,0.17606,-0.11387,-0.087753,-0.060739,0.097978,0.29248,0.21974,-0.0089911,-0.13914,0.2437,0.10569,-0.21977,0.1994,0.21878,-0.044494,-0.15019
5,0.30616,0.0014646,0.24729,0.1637,0.084938,1,0.05614,0.034706,0.18468,0.16765,0.12025,0.01503,0.25291,0.24125,0.15137,0.073455,0.23646,0.19562,0.043352,0.17162,0.37814,-0.032181,0.31511,0.24063,0.18916,0.23713,0.33132,0.1415,0.22801,0.31956,0.089062,0.21122,-0.012025,0.14515,0.20437,0.16246,0.039618,0.26629,-0.23867,0.058954,0.27041,-0.16597,-0.070479,-0.0097801,0.19092,0.036365,0.0034276,0.022126,0.0057879,0.11677,-0.17113,0.038238,0.0040273,-0.14212,-0.29203,0.012517,-0.10047,-0.093347,-0.0070488,-0.12967,0.077279,-0.23958,0.0089495
6,0.06764,0.10637,-0.030314,0.017947,0.3559,0.05614,1,0.36935,0.10922,0.027919,0.023706,0.28309,0.15788,-0.0018741,0.11664,0.20467,0.37658,0.19255,0.060087,0.39043,-0.021059,0.038007,0.32406,0.1024,0.17526,0.055171,-0.06605,-0.34268,0.18534,0.090675,-0.16358,0.082345,0.17244,0.19878,0.037888,-0.067818,0.12423,0.10042,0.12219,-0.014747,0.13782,0.18105,0.15152,0.045614,-0.10368,0.17056,0.18207,0.015099,0.22645,-0.071766,0.011245,0.10234,0.10848,0.097542,-0.28401,0.18243,0.032244,0.25319,0.17267,0.22738,0.065491,0.053247,0.00073018
7,0.057542,0.063278,-0.044335,0.076939,0.36023,0.034706,0.36935,1,0.30088,0.36349,0.1641,0.43225,0.26781,0.16215,0.12437,-0.14404,0.35039,0.22858,0.049394,0.2511,0.20832,-0.080965,0.28285,0.32303,0.28661,-0.036884,0.11502,0.076712,0.2896,0.27544,0.16877,0.086123,0.12069,-0.051304,-0.0899,0.13494,0.10483,0.16595,-0.11989,-0.20029,0.072007,0.21752,0.061968,-0.21862,-0.029618,0.26679,-0.039015,-0.18047,-0.25142,-0.22805,-0.28166,-0.0042491,0.054624,0.079657,-0.026916,0.15688,0.25762,0.0024064,-0.080295,0.060016,0.12316,0.072814,0.071824
8,0.15311,0.057477,-0.046812,0.10213,0.38222,0.18468,0.10922,0.30088,1,0.27651,0.20719,0.37866,0.42221,0.25657,0.16979,0.29303,0.32159,0.043024,0.043393,0.36762,-0.19685,0.2913,0.31863,0.32653,0.12603,0.20768,0.12061,0.16299,0.22997,-0.037322,0.22982,0.059655,0.027378,0.10613,0.14181,0.2607,0.07343,0.10334,0.20725,-0.078489,0.17018,-0.0063568,0.072853,-0.1421,0.12611,0.49704,-0.11226,0.096872,0.18995,0.19867,-0.087482,0.34071,0.18516,0.29459,0.033338,0.099065,0.27725,-0.19607,-0.11116,-0.061916,-0.038652,-0.085933,-0.074768
9,-0.030837,0.21751,-0.066632,0.047733,0.38512,0.16765,0.027919,0.36349,0.27651,1,0.13165,0.20809,0.49112,0.17825,0.16381,0.06503,0.40413,0.36388,0.15092,0.078385,0.091964,0.37322,0.2553,0.21598,0.29988,0.24327,0.27062,0.16861,0.18566,0.24387,0.44132,-0.020905,0.14453,0.15419,-0.13195,0.11632,-0.12265,0.050703,-0.092623,-0.12834,-0.17338,0.16333,0.066902,-0.24973,-0.00064024,0.08931,-0.0098324,0.052379,-0.073317,-0.080461,-0.16866,-0.0051678,-0.055567,-0.11679,-0.033948,-0.0084474,0.19096,0.13845,-0.13139,0.019242,0.15876,-0.0079198,-0.12408
