,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
0,1,0.15222,0.018034,0.098666,0.22216,-0.041411,-0.00087741,-0.25372,0.041269,-0.40259,-0.10286,-0.01799,0.081023,0.076875,-0.16159,-0.22111,-0.22373,-0.027848,-0.07913,0.039198,-0.068364,-0.25086,0.11972,-0.085531,-0.17093,0.0057358,-0.2423,0.0052456,-0.035998,-0.24616,-0.23387,-0.007375,0.020367,-0.18674,0.19946,-0.21947,-0.017274,-0.22598,0.13304,0.18693,0.034376,0.041075,-0.15215,-0.31543,0.058363,-0.090095,0.13315,0.22711,0.040359,-0.044935,0.0068929,0.33392,0.13875,0.046588,0.10238,-0.14405,0.29824,-0.1676,-0.011437,-0.016773,0.2624,-0.099555,0.071529,0.07622,-0.038518,0.21344,0.036469,0.15292,0.049595,0.10724,-0.1671,-0.1737,0.020808,0.16646,-0.075962,-0.09101,0.060484,-0.20555,0.10713,0.1127,0.26311,0.053473,-0.18204,0.15914,-0.084416,-0.16219,0.08868,-0.072422,-0.068793,0.031546,0.095492
1,0.15222,1,0.010008,-0.158,0.043587,-0.35227,0.11318,-0.14922,-0.084649,-0.0015136,-0.19142,-0.034663,0.030687,-0.046459,-0.18233,-0.22638,-0.028227,-0.059132,-0.24616,-0.27913,-0.070094,-0.12346,-0.39112,-0.14324,-0.34643,-0.15767,0.022861,0.020388,0.070343,-0.060837,-0.13565,-0.21286,-0.15353,-0.023459,0.020885,0.38933,-0.015939,-0.20915,-0.32328,0.059868,-0.0064953,0.035878,-0.084114,-0.17658,-0.13782,-0.047101,-0.16728,0.037728,-0.094954,-0.28248,0.078876,0.15126,0.1335,0.12568,0.028759,0.25032,0.10956,0.13403,0.034408,0.10728,0.043894,0.18227,0.20633,0.12607,-0.0045151,0.23742,0.10548,-0.10413,-0.080077,0.01211,0.069447,0.18727,-0.35703,0.097927,0.29288,0.056019,0.29282,-0.0096739,-0.24933,-0.061394,0.18514,-0.11191,-0.085837,0.18133,-0.25796,-0.073992,0.041085,-0.22221,-0.046384,-0.052348,0.087696
2,0.018034,0.010008,1,-0.082101,0.25942,0.069918,-0.14476,-0.077678,0.050296,0.027629,0.087699,-0.12967,-0.19074,-0.098285,-0.35533,-0.0017041,-0.32794,-0.24175,-0.1674,-0.23026,-0.30261,-0.20079,-0.057621,-0.14257,-0.15985,-0.12138,0.03998,-0.16938,-0.065743,-0.091052,-0.55976,-0.24777,0.11498,-0.021755,-0.20069,-0.086899,-0.24503,0.05513,-0.12712,0.12797,-0.17267,-0.14943,0.19233,-0.16109,0.052778,0.069572,0.24303,-0.17322,-0.14966,-0.12731,-0.10588,-0.13457,0.09764,-0.12901,0.15479,0.15088,0.1113,-0.16207,0.21248,0.020506,0.054901,0.017776,0.20907,0.41846,0.21375,0.048272,0.083467,0.3639,0.035268,-0.12997,-0.04166,0.16279,0.073942,0.14971,-0.1513,0.3859,-0.059376,0.047529,-0.072658,0.13653,-0.080895,0.068965,0.10481,-0.16331,-0.11171,0.15058,0.071304,0.14583,0.075062,0.043376,-0.10871
3,0.098666,-0.158,-0.082101,1,-0.093298,0.06791,0.018887,-0.010676,-0.080492,-0.15611,-0.10077,0.23117,0.069038,-0.016845,0.022526,-0.0777,-0.17062,-0.019765,0.07362,-0.13089,-0.19853,-0.012926,-0.077158,0.24172,0.10236,0.16051,0.10704,0.19141,-0.061346,-0.011168,-0.17247,0.2205,0.023704,0.2119,-0.25459,-0.085069,0.20179,-0.071827,0.20126,-0.074635,0.09633,-0.028818,-0.16733,0.069149,-0.19549,0.1525,0.23796,0.027113,0.11505,0.090527,0.13148,0.12353,-0.088097,-0.058203,0.0015914,-0.25509,-0.1245,0.032215,0.11905,-0.0074482,0.21437,-0.15236,0.025484,-0.062084,0.033156,0.12643,0.091631,0.037948,0.32525,0.058236,0.040018,-0.23352,0.068347,-0.048943,0.19193,-0.23747,0.16125,-0.080127,0.25624,0.12586,-0.055309,0.069214,0.10647,0.088745,0.24613,0.11504,0.267,0.069456,-0.086219,-0.18526,0.031345
4,0.22216,0.043587,0.25942,-0.093298,1,0.06864,0.012738,-0.15438,0.26343,0.0874,0.15209,-0.327,0.18036,-0.19267,-0.21927,0.033029,-0.025491,-0.041745,0.13075,-0.28718,-0.16042,-0.1181,0.042976,-0.038581,-0.17638,0.11635,-0.024517,0.12564,0.030061,-0.051664,-0.24521,-0.12981,0.091548,-0.022715,-0.040818,0.082068,-0.3044,0.0094017,0.10007,0.21541,0.036622,-0.03563,0.063928,-0.35585,0.0077596,0.0059596,0.14155,-0.13186,-0.031969,-0.041438,0.28543,-0.16063,0.050901,0.35792,-0.12658,-0.030373,0.38576,0.11585,0.048121,0.0062702,0.039998,-0.0018605,0.19392,-0.084365,0.20355,0.23354,-0.032466,0.21825,0.13689,0.14954,-0.039118,0.020611,0.23743,0.10202,-0.12882,0.11486,0.04736,-0.12067,-0.067996,-0.007585,0.03756,0.18811,0.038675,-0.099302,0.03738,-0.37163,-0.09847,0.19999,-0.017317,0.12812,-0.18825
5,-0.041411,-0.35227,0.069918,0.06791,0.06864,1,0.1682,0.0031681,-0.13479,-0.075536,0.18671,-0.10267,0.11094,0.22419,-0.20328,-0.092657,0.17956,-0.16176,0.024062,-0.038937,-0.13889,0.13369,0.25196,0.04006,-0.15217,-0.010747,0.03009,0.080392,-0.014681,-0.11004,-0.080855,0.19851,0.10312,0.10745,-0.058532,-0.25156,0.23151,0.17917,-0.089256,-0.11683,0.058601,-0.15833,0.15289,-0.19242,0.15473,-0.00068287,0.17227,-0.061493,0.0015159,0.18645,-0.18979,-0.19111,-0.080697,-0.044877,0.051879,-0.26547,0.25476,-0.01881,-0.083604,0.1165,-0.20655,-0.14677,-0.007,0.25812,0.38304,-0.07061,0.29991,0.093045,-0.145,0.095454,-0.066917,-0.35898,0.21938,-0.089928,-0.042036,0.031294,0.01471,0.10879,-0.031578,0.18706,0.05005,0.10013,-0.020559,0.034828,-0.026926,-0.025719,-0.00032621,0.011232,0.14361,0.18161,-0.16694
6,-0.00087741,0.11318,-0.14476,0.018887,0.012738,0.1682,1,-0.031671,0.2805,0.2456,0.3666,0.10568,0.37766,0.34567,0.0097169,0.024824,0.07755,0.28553,0.12568,0.21231,0.15639,0.35708,0.18204,0.33238,0.091909,0.036155,0.35352,0.2413,0.41124,0.23693,0.14905,0.21604,-0.22213,0.13782,0.27208,0.093872,0.18035,0.18358,0.031878,0.041543,0.33657,-0.15169,0.12937,-0.018827,-0.1565,-0.056258,0.1441,0.26391,-0.06136,0.45861,0.091125,-0.16125,0.20557,0.054235,0.12393,-0.17752,0.043019,-0.025072,-0.074735,-0.14496,0.01016,0.0476,0.093191,-0.25619,-0.12596,-0.0067344,0.30766,-0.16459,0.049962,-0.00077541,-0.15774,0.084637,-0.061221,0.083169,0.16361,-0.037511,-0.084672,-0.077383,-0.13942,0.036608,-0.074993,0.54534,-0.24106,0.011006,-0.27843,0.017949,-0.095195,-0.27936,0.17871,-0.035665,0.37703
7,-0.25372,-0.14922,-0.077678,-0.010676,-0.15438,0.0031681,-0.031671,1,0.19681,0.35072,0.15142,-0.12825,-0.15935,0.082049,0.28787,0.047652,0.19969,0.10476,-0.0079534,-0.012124,0.0078252,0.16974,0.078188,-0.079008,0.29906,0.13909,0.0041556,-0.15182,0.12526,0.16202,-0.041292,0.034132,-0.076987,-0.023862,0.092898,0.12852,0.24093,-0.12765,0.11529,-0.19959,0.16907,0.089768,-0.10158,0.18086,0.22847,-0.2074,0.32199,-0.175,-0.091058,0.10426,-0.11983,-0.085469,0.2525,-0.13173,-0.10025,0.10702,-0.16094,0.1484,-0.04697,-0.0062799,-0.20778,-0.25145,-0.12656,-0.049769,0.051311,-0.17403,-0.28181,0.066177,0.1779,-0.23538,-0.15489,-0.016638,0.2236,-0.096741,0.01663,-0.21412,0.034684,0.32818,-0.03653,-0.04278,-0.18653,-0.11701,0.16743,0.2647,0.071638,0.219,0.034084,-0.049486,0.1163,-0.017414,0.18392
8,0.041269,-0.084649,0.050296,-0.080492,0.26343,-0.13479,0.2805,0.19681,1,0.46747,0.43458,-0.15742,0.24769,0.072024,0.30645,0.2933,0.18377,0.26232,0.33546,0.2783,0.43328,0.33243,0.40102,0.12069,0.5147,0.41434,0.034909,0.078785,0.32043,0.14763,0.19387,0.23958,0.26029,0.1325,0.3997,0.1528,-0.067935,0.35912,0.16159,0.31711,0.31801,0.043941,0.13263,-0.23766,0.33145,-0.14611,0.33158,0.13439,-0.14073,0.23948,0.31805,0.039503,-0.066319,0.17845,0.17094,-0.042974,0.026945,0.19451,0.31791,-0.014898,0.1381,-0.15128,0.12735,-0.060176,0.084773,0.078209,-0.1889,0.086663,0.24956,-0.037983,-0.19104,0.20644,0.18851,0.10917,0.097169,0.17392,-0.308,0.20974,-0.024358,-0.037108,-0.274,0.25094,0.059236,-0.034118,-0.011161,-0.040419,-0.10064,-0.040354,0.098911,-0.054549,0.11999
9,-0.40259,-0.0015136,0.027629,-0.15611,0.0874,-0.075536,0.2456,0.35072,0.46747,1,0.45871,-0.18005,0.12594,-0.081952,0.26971,0.14067,0.44741,0.23512,0.13528,0.080998,0.34423,0.35288,0.16733,0.14436,0.17823,0.096458,0.35021,-0.06803,0.3428,0.12011,0.27529,-0.1482,0.024503,0.19041,0.076505,0.23044,-0.091954,0.26851,0.050543,0.1344,0.30573,-0.072012,0.097682,0.071264,0.21556,-0.27324,0.11553,0.037178,0.12327,0.12947,0.1456,-0.1779,0.12878,0.080427,-0.066312,-0.024625,-0.26348,0.051539,0.14847,0.065607,-0.069758,0.070022,-0.025044,-0.15015,0.065192,-0.18771,-0.10121,-0.096923,0.057877,-0.22155,-0.036683,-0.084941,-0.041944,-0.067046,-0.027345,0.18813,0.031019,0.047333,-0.17264,-0.053578,-0.17742,0.1418,0.21159,-0.20936,-0.30772,0.10576,-0.048136,0.048668,0.18035,0.024475,0.12475
