,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
0,1,0.41085,0.47111,0.21557,0.40894,-0.1411,0.19851,-0.0017826,0.14687,0.092113,0.35835,0.28881,-0.073645,0.022462,0.014584,0.29384,0.13194,0.092083,0.3051,0.044498,0.052017,-0.070226,0.13387,-0.024548,-0.040231,-0.032446,0.03861,0.35877,-0.22831,-0.018161,0.12598,0.057002,0.11132,-0.0080872,0.21428,0.41173,0.097457,0.087899,0.20919,-0.011002,0.24451,0.15436,-0.11764,0.16737,-0.1095,0.12323,-0.013179,0.071791,-0.025402,0.33809,-0.195,-0.060244,0.076607,0.089576,-0.003789,-0.071501,0.12415,0.22863,0.01153,-0.011763,-0.057765,0.060866,0.23194,0.049492,0.02321,-0.034305,0.12912
1,0.41085,1,0.31745,0.32863,0.37606,-0.060281,0.35363,0.12514,0.097544,0.062494,0.26686,0.26077,-0.021351,0.23663,0.12982,0.29999,0.18005,0.19604,0.14439,-0.048259,0.20176,-0.072013,0.27279,0.0051083,-0.022879,0.19834,0.29811,0.17167,-0.01726,0.21765,0.018743,0.060029,0.20978,-0.18432,0.33312,0.11711,-0.040982,0.032507,0.029927,0.18364,-0.11745,-0.082295,0.0264,0.11166,-0.034284,0.041422,-0.11561,0.046649,0.2779,0.27213,-0.23103,-0.054156,0.11465,-0.077479,-0.06914,0.023341,0.17336,0.089345,0.056748,0.29398,-0.18948,0.26312,0.29312,0.069129,-0.06151,0.1173,-0.20494
2,0.47111,0.31745,1,0.2371,0.152,-0.13163,0.24054,-0.20514,0.22026,0.099605,0.15081,0.46048,-0.015504,0.15179,0.034396,0.13867,0.083105,0.1911,0.25582,0.096847,0.05812,-0.020929,0.0055205,-0.016307,-0.065422,0.065914,0.10209,-0.045785,0.11659,0.044934,0.011059,-0.13067,-0.007563,-0.0050653,0.23452,0.30678,0.00070037,0.044481,0.24527,0.18893,-0.024882,0.35823,0.11503,-0.070599,0.31689,0.1214,-0.20144,0.30761,0.087166,0.16325,0.063923,0.026683,0.11831,-0.059412,0.23173,0.019633,0.10492,0.21882,0.15245,-0.060008,-0.29648,0.017062,0.25934,0.20517,0.0085647,-0.25928,0.2793
3,0.21557,0.32863,0.2371,1,0.28235,0.2572,0.52775,0.36848,0.37566,0.085192,0.21887,0.060744,0.21276,0.20133,0.17165,0.22942,0.44644,0.48214,0.35849,0.14377,0.31217,0.33944,0.092543,0.28521,0.15686,0.1554,0.18442,0.11706,0.054225,0.17422,0.2934,0.039888,0.0041723,-0.31307,0.2638,0.3093,0.16116,0.061171,-0.00961,0.34077,-0.023929,0.093206,-0.013879,0.10132,-0.2477,-0.19659,-0.075589,-0.03381,0.23986,0.12654,-0.10978,-0.23341,0.14876,0.026853,-0.0040902,0.27093,-0.037951,0.0576,0.094713,-0.056537,-0.1642,0.26607,0.088816,-0.19794,0.10364,0.20567,-0.35515
4,0.40894,0.37606,0.152,0.28235,1,0.0091,0.30925,0.11014,0.10103,0.29117,0.1742,-0.036069,0.10547,-0.0050138,0.034829,0.32747,0.41956,0.11502,0.2534,0.33001,0.19117,0.24343,0.067923,-0.070847,-0.21275,0.017876,0.19248,0.15784,-0.045194,0.38,0.14881,0.24972,0.18595,0.18534,0.15348,0.55456,0.018256,0.14623,0.050471,0.28932,-0.027685,0.07488,0.14553,0.30672,-0.039528,0.0010493,-0.069155,0.072652,-0.045819,0.092446,-0.017524,0.056804,0.26687,-0.21724,-0.076498,0.075895,-0.0048981,-0.136,0.11802,0.050074,-0.063672,0.228,-0.07117,0.13356,0.042807,-0.083391,0.10807
5,-0.1411,-0.060281,-0.13163,0.2572,0.0091,1,-0.075008,0.30694,0.40985,0.25214,0.13045,0.043673,0.18003,-0.12357,-0.21683,-0.070301,0.25159,-0.060901,0.056767,0.021313,0.018609,0.19294,-0.047875,0.19595,0.14689,0.14686,-0.15277,-0.023779,0.10518,0.15803,0.081299,0.19303,0.0076055,0.12646,-0.045451,0.15037,-0.00067096,-0.054928,-0.13456,0.024652,0.24829,-0.13911,-0.14615,0.20319,0.12605,-0.17045,0.16563,-0.12498,0.10335,0.17557,0.10569,0.24807,0.028315,0.015851,-0.0068943,0.23224,0.0040419,-0.20225,0.19566,-0.019319,-0.062281,0.090528,-0.094883,-0.32747,0.055926,-0.15985,-0.0808
6,0.19851,0.35363,0.24054,0.52775,0.30925,-0.075008,1,0.086568,0.26849,0.22475,0.38648,0.25587,0.013221,0.17855,0.17008,0.2291,0.28547,0.34258,0.25736,0.28514,0.25278,0.28174,0.27345,0.13088,0.04921,0.16171,0.32324,0.36883,0.086116,0.24105,0.025662,0.26066,0.10494,-0.12828,0.18095,0.101,0.16808,-0.12277,-0.036712,0.37537,0.025048,0.29484,0.012061,0.046839,-0.1979,0.059312,0.057554,-0.021245,-0.041451,-0.096167,-0.062008,-0.17534,0.16817,-0.18383,-0.15522,0.27183,0.28208,0.041335,0.16903,0.0026192,-0.1675,0.074387,-0.011977,-0.064961,0.030117,0.067661,-0.37267
7,-0.0017826,0.12514,-0.20514,0.36848,0.11014,0.30694,0.086568,1,0.27737,0.078447,0.088502,-0.24152,0.059964,0.10669,0.055997,0.075058,0.14517,-0.10982,0.36445,0.074955,-0.032631,0.10444,0.22972,0.049195,0.12239,0.2441,0.19772,0.2018,-0.029975,0.11656,-0.024799,0.089809,0.066773,-0.026508,0.25464,-0.056708,0.28647,0.12296,0.0077272,-0.021154,-0.011255,-0.14531,-0.30682,0.028501,-0.32047,-0.26426,0.035608,-0.21683,0.29185,-0.041486,0.038906,-0.0091803,0.17844,-0.11474,-0.25304,0.36523,0.073824,-0.018481,0.078191,-0.026847,-0.13832,0.10366,0.0090971,-0.31672,0.067341,-0.091814,-0.3743
8,0.14687,0.097544,0.22026,0.37566,0.10103,0.40985,0.26849,0.27737,1,0.24067,0.27475,0.055013,0.10123,0.27801,0.006786,0.098786,0.20247,0.11736,0.1596,0.17111,0.011214,0.051214,-0.045363,-0.0065465,0.13926,-0.029566,-0.013368,0.14383,0.30864,0.12136,0.29983,0.22562,0.056857,0.035514,0.16209,0.21652,0.094886,0.052141,0.083042,0.08525,0.19071,0.01476,-0.30459,0.17686,-0.037239,-0.19316,-0.11111,0.077077,-0.10059,0.0024844,0.051067,0.10125,0.11133,-0.10733,-0.0011186,0.29303,0.045218,-0.12371,0.11943,-0.15801,-0.34264,-0.087362,-0.14862,-0.15747,-0.12779,-0.053615,0.024866
9,0.092113,0.062494,0.099605,0.085192,0.29117,0.25214,0.22475,0.078447,0.24067,1,0.28458,0.046647,0.086489,0.12175,-0.11184,0.30304,0.33424,0.24882,0.42068,0.17048,0.0011246,0.16592,0.11243,0.064049,0.13481,0.20783,-0.11694,0.080424,0.26568,0.23152,-0.076989,0.25524,-0.057846,0.096418,0.29783,0.042488,0.19575,0.014865,0.056722,0.1056,0.019036,0.11054,-0.23736,0.48703,0.0054952,0.14569,-0.10393,-0.23729,-0.092563,-0.034368,-0.0099085,0.25209,-0.1008,-0.27191,-0.029324,0.22919,0.19001,-0.17937,0.11409,-0.12762,-0.22691,-0.029895,-0.075665,0.076875,-0.12702,-0.34318,0.0027897
