,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68
0,1,0.41512,-0.073243,-0.02125,-0.0072924,0.031492,0.44958,0.40427,0.09714,0.23465,0.37649,0.082144,0.054581,0.089704,0.15493,0.062724,-0.028893,-0.043301,0.19103,0.25746,-0.17654,0.18505,0.19375,0.049609,0.11237,-0.018658,0.05232,0.022411,0.18936,0.14609,0.023907,0.11775,-0.027774,0.090787,-0.02524,0.14726,0.10419,0.22218,0.15475,0.15794,0.24753,-0.039471,0.029224,0.050089,0.027296,-0.14272,0.19717,-0.22534,0.11114,-0.16079,0.056012,0.17263,-0.22427,-0.010644,-0.13349,0.064305,0.21887,0.047628,0.085182,-0.082649,0.054939,0.22832,0.10445,-0.26792,-0.085071,0.28278,-0.10567,0.027687,0.17956
1,0.41512,1,0.03,0.035288,0.093447,0.11536,0.31213,0.21853,0.22297,0.33698,0.25854,-0.020017,-0.072055,0.044072,0.13247,0.10746,0.066839,0.028675,0.065622,0.02764,-0.095835,0.24095,-0.030545,0.39369,0.17242,-0.078768,0.13229,0.20504,0.069487,0.052099,-0.045216,0.070665,0.17902,0.066408,0.11213,0.35133,0.14642,0.053412,0.14907,-0.042554,0.24006,-0.040343,-0.039774,0.089978,0.13441,-0.0025994,0.18693,0.30726,-0.20285,-0.086697,-0.093272,0.087501,-0.15549,0.3402,-0.23935,0.30542,0.11904,0.0148,0.10448,0.051829,-0.039037,-0.024022,0.13053,-0.32835,0.054642,0.088867,0.16247,-0.11626,0.020644
2,-0.073243,0.03,1,-0.068441,0.074831,-0.14935,-0.15795,-0.18034,-0.02075,-0.083893,0.046646,0.038707,0.17693,0.077037,-0.11588,-0.20819,-0.089625,-0.019179,-0.13052,-0.17939,-0.0062599,-0.088353,-0.1996,-0.10764,-0.22458,0.11031,0.088447,0.31217,0.21655,0.17061,-0.20034,-0.032113,-0.20879,-0.042737,0.051554,-0.17687,-0.17239,0.14715,0.23058,0.14551,-0.2431,0.0010841,-0.086423,0.046853,0.14947,-0.14767,-0.10024,-0.040025,0.11569,-0.0063803,0.093273,0.31476,-0.24222,0.28592,0.07475,0.049916,0.15331,0.12371,0.093138,0.043342,0.32766,-0.065661,0.026071,-0.17932,0.22046,0.11596,0.209,-0.02636,0.050151
3,-0.02125,0.035288,-0.068441,1,0.12498,0.17087,0.28392,0.041412,0.18154,0.19651,0.31475,0.4346,-0.063435,-0.0013113,0.027759,0.19868,0.26563,0.21152,-0.10584,0.072965,0.17278,0.027666,-0.10961,0.088104,0.3006,0.28955,0.14906,0.28336,-0.19195,0.092987,0.0006559,-0.032125,0.06395,-0.019625,0.41126,-0.12405,0.20691,0.13686,0.23205,0.20736,0.16285,0.17784,0.06082,0.30052,0.10973,-0.1064,0.107,-0.032489,-0.1176,0.1283,0.074319,0.025445,0.12678,-0.054119,0.035058,0.039471,-0.29845,0.044192,-0.19144,0.076363,-0.25769,0.099294,0.20255,0.012758,0.12562,-0.011488,0.065402,0.014131,0.11991
4,-0.0072924,0.093447,0.074831,0.12498,1,-0.043439,0.15156,-0.25773,0.14768,0.19691,0.098188,0.068278,0.098661,0.071462,0.079428,0.040692,0.11451,-0.039825,0.04943,-0.0032769,0.14682,-0.02706,0.10596,0.21365,0.24771,0.15669,0.031859,0.23025,0.091928,0.04046,0.16543,0.22516,-0.058321,0.31873,-0.12233,-0.084424,-0.37069,0.22643,-0.093565,0.23625,-0.1462,-0.31652,-0.029359,0.22796,0.14796,-0.19408,0.28699,-0.053527,0.15864,0.031411,-0.18077,0.17675,-0.1391,0.19172,-0.12768,-0.19069,-0.18488,-0.11387,-0.28248,0.18439,-0.036201,0.24655,-0.10844,-0.087201,0.032721,-0.0053432,-0.082029,0.060149,0.10665
5,0.031492,0.11536,-0.14935,0.17087,-0.043439,1,0.14447,-0.092226,0.23298,0.12713,0.29309,0.20058,0.25777,0.17031,0.30956,0.34508,0.23206,0.22044,0.16993,0.062646,0.09349,0.25725,0.23449,0.22666,0.063349,0.32973,0.092608,0.27336,0.17418,-0.11353,0.11888,-0.16561,-0.17478,0.14634,0.16325,0.33971,0.21186,-0.040358,-0.048684,0.18249,0.39524,0.1585,0.041261,0.018141,0.012675,0.19004,0.034514,-0.11162,-0.18779,0.096482,0.15389,0.028122,-0.036356,-0.0097852,-0.21454,0.067052,-0.25026,-0.027354,-0.23427,-0.28909,-0.22717,-0.16003,0.069722,0.014473,-0.049392,-0.24966,0.010322,-0.012313,-0.34682
6,0.44958,0.31213,-0.15795,0.28392,0.15156,0.14447,1,0.16403,0.28297,0.29542,0.23382,0.079461,0.067467,0.16622,0.19887,0.27543,0.10003,-0.055262,0.28697,0.29088,0.066116,0.27856,0.19958,0.12295,0.34048,0.05811,0.24748,0.018946,0.14451,0.14231,-0.11356,0.093438,-0.045826,0.20683,0.11716,0.2304,0.040498,0.17482,-0.071329,0.12441,0.096775,-0.036245,-0.18515,0.36319,0.20703,0.089689,0.043432,0.081432,0.27385,0.021959,-0.081741,0.11673,-0.3114,-0.053064,-0.1888,0.11829,0.11415,-0.0026259,0.14509,0.18307,-0.21182,0.10469,0.088326,-0.26827,0.01268,0.048514,-0.057425,0.1429,0.14853
7,0.40427,0.21853,-0.18034,0.041412,-0.25773,-0.092226,0.16403,1,0.10472,0.18681,0.011529,0.14927,0.0685,0.032595,0.38235,-0.076861,0.11647,0.075091,0.21964,0.27343,-0.077909,0.20812,0.29053,0.218,0.32102,-0.034898,-0.037327,0.048085,-0.060147,0.093528,-0.042922,-0.16659,-0.048767,0.054266,-0.044291,0.022321,0.16176,0.13354,0.23009,0.03262,0.02773,0.17239,0.018979,-0.02765,-0.11247,0.091287,-0.086149,-0.090611,0.04916,-0.23337,-0.14693,0.092117,0.19446,-0.12625,-0.067411,0.08324,0.097816,-0.02745,0.058753,0.14632,-0.029838,0.036492,-0.044294,-0.26035,-0.2724,0.29499,0.066025,0.05246,0.066035
8,0.09714,0.22297,-0.02075,0.18154,0.14768,0.23298,0.28297,0.10472,1,0.12792,0.14613,0.52192,0.42691,0.28807,0.41444,0.25148,0.20074,0.065406,0.23863,0.47491,0.092398,0.14979,0.35012,0.1349,0.2084,0.1386,0.28843,-0.0048749,-0.073479,0.20812,-0.08822,0.2097,0.16317,0.31586,0.113,0.34325,0.32253,0.31277,0.40411,0.30129,0.27447,0.11467,0.048638,-0.10488,0.27596,0.1455,0.40494,0.044971,-0.13363,-0.22003,0.014184,0.10386,-0.035859,0.10348,-0.0038185,0.098048,-0.04858,0.12314,-0.15388,0.17211,-0.13985,0.11002,-0.1621,-0.32822,-0.091761,-0.028755,0.028029,-0.19512,-0.069571
9,0.23465,0.33698,-0.083893,0.19651,0.19691,0.12713,0.29542,0.18681,0.12792,1,0.26664,0.12143,0.16343,0.045597,0.55807,0.28046,0.42386,0.11607,0.27562,0.031457,0.25997,0.097054,0.31132,0.26954,0.37367,0.3483,0.023452,0.18244,0.15149,0.098133,0.18684,-0.078166,0.24178,0.14503,0.2663,0.21094,0.021502,0.04823,0.14325,0.28036,-0.033736,-0.17949,-0.062452,0.087959,-0.093436,-0.0030911,-0.026453,0.083916,0.14207,-0.030044,-0.026566,-0.11088,-0.088331,0.0083026,-0.097856,-0.039024,0.042599,0.027668,-0.058634,0.013631,-0.070632,0.18759,-0.013396,-0.119,-0.33112,0.012875,-0.12912,-0.31039,-0.065505
10,0.37649,0.25854,0.046646,0.31475,0.098188,0.29309,0.23382,0.011529,0.14613,0.26664,1,0.18808,0.25249,-0.14695,0.21543,0.26959,0.36996,0.3902,0.33679,0.28556,0.038027,0.076875,0.15228,0.23636,0.31418,0.42398,0.24101,0.47427,0.089076,0.097654,0.031075,0.20772,-0.010248,0.14485,-0.0091519,0.245,0.27816,0.099945,0.17865,0.20063,0.18447,0.10076,0.048983,0.13062,0.12804,-0.05003,-0.059645,-0.16727,-0.11533,-0.061492,0.086535,0.18245,-0.069,0.12199,-0.10556,0.12923,0.030172,0.13625,0.021983,-0.20395,-0.21456,-0.040618,0.10753,-0.13769,-0.26583,0.029118,-0.13936,-0.071375,0.0047916
11,0.082144,-0.020017,0.038707,0.4346,0.068278,0.20058,0.079461,0.14927,0.52192,0.12143,0.18808,1,0.27001,0.17139,0.30659,0.39379,0.16738,0.35173,0.16917,0.32751,0.25925,0.087763,0.31489,-0.010931,0.26578,0.36436,0.00063934,0.17701,0.0897,0.16413,0.13041,-0.024207,0.012702,0.07495,0.17423,0.090999,0.40685,0.23975,0.27216,0.19392,0.17171,-0.011502,0.080228,-0.11726,0.28224,-0.04354,0.25922,0.089108,0.030148,-0.075489,0.085525,0.18486,0.11559,0.016984,-0.073774,-0.034178,0.054961,0.39326,-0.1779,0.061784,-0.1031,0.09143,0.089472,-0.12774,0.072565,-0.037679,-0.14949,-0.38037,-0.12642
12,0.054581,-0.072055,0.17693,-0.063435,0.098661,0.25777,0.067467,0.0685,0.42691,0.16343,0.25249,0.27001,1,0.06156,0.45247,0.045674,0.39951,0.21233,0.40105,0.14296,0.27394,0.063726,0.50397,0.096434,0.091073,0.35021,-0.020657,0.2533,0.22902,-0.051646,-0.040336,-0.24256,-0.11812,0.32212,-0.27779,0.16691,0.10272,0.15274,0.11515,0.34929,0.095543,0.040016,0.27674,-0.16112,0.12457,-0.12027,0.017802,-0.1163,-0.0018911,-0.072834,-0.032554,0.24605,0.080637,0.11072,-0.23439,0.15229,0.1069,0.1792,-0.078477,-0.15553,0.018152,-0.011839,-0.13412,-0.21088,-0.34028,-0.016174,-0.066078,-0.21785,-0.16981
13,0.089704,0.044072,0.077037,-0.0013113,0.071462,0.17031,0.16622,0.032595,0.28807,0.045597,-0.14695,0.17139,0.06156,1,0.16597,0.25241,0.19013,-0.24385,0.06054,0.18507,-0.065987,0.19744,0.18236,0.039403,0.068255,0.14767,-0.14582,-0.022908,0.15712,0.25525,-0.042869,-0.12189,0.26967,0.11782,0.071436,0.11787,0.025772,0.49243,-0.02114,0.052376,0.071444,0.1427,-0.086396,0.11993,-0.13268,0.12968,0.11734,-0.059316,0.17411,-0.09923,0.04086,0.16406,0.087033,-0.068717,0.02432,-0.24793,0.092332,0.15604,0.23374,0.12967,0.09919,0.0030643,-0.075993,-0.19132,0.028478,-0.48249,0.11535,0.030285,-0.12606
14,0.15493,0.13247,-0.11588,0.027759,0.079428,0.30956,0.19887,0.38235,0.41444,0.55807,0.21543,0.30659,0.45247,0.16597,1,0.15898,0.3858,0.2565,0.44448,0.17503,0.27195,0.11027,0.52983,0.32475,0.42616,0.35614,-0.05613,0.1281,0.054302,-0.01363,0.035036,-0.19579,-0.0034943,0.31642,0.10422,0.29468,0.08305,0.09925,0.13298,0.38705,0.17844,0.032581,0.021681,-0.031162,-0.033251,0.076894,-0.048709,-0.1926,-0.021093,-0.11872,-0.21654,0.088282,-0.015056,-0.16801,-0.38284,-0.0947,-0.036742,0.16162,-0.13261,-0.073149,-0.17873,0.069016,-0.12364,-0.29864,-0.29016,0.050181,-0.083698,-0.22687,-0.23338
15,0.062724,0.10746,-0.20819,0.19868,0.040692,0.34508,0.27543,-0.076861,0.25148,0.28046,0.26959,0.39379,0.045674,0.25241,0.15898,1,0.28543,0.3193,0.22561,0.3847,0.27975,0.13048,0.34114,0.20064,0.21419,0.30707,0.025077,0.17276,0.30978,0.3011,0.047255,0.041382,0.093201,0.12003,0.31171,0.44484,0.12278,0.092056,-0.1238,0.14804,0.075467,0.0074406,-0.067689,-0.16516,0.20789,-0.094533,0.079195,0.042865,0.053197,0.0034978,0.047972,-0.010885,-0.086675,0.17513,-0.22475,0.0096168,-0.05547,0.10433,0.10594,-0.0075297,-0.17829,0.17823,0.012843,-0.037123,-0.081958,-0.24259,-0.18379,-0.083662,-0.012507
16,-0.028893,0.066839,-0.089625,0.26563,0.11451,0.23206,0.10003,0.11647,0.20074,0.42386,0.36996,0.16738,0.39951,0.19013,0.3858,0.28543,1,0.16698,0.40382,0.0061017,0.20323,0.2536,0.32865,0.27464,0.3256,0.22791,-0.0010945,0.33268,0.083117,0.1001,0.10578,-0.21448,0.20271,0.27459,-0.16678,0.20278,0.1464,0.23329,-0.14609,0.21353,-0.074584,0.15628,0.019923,0.18062,-0.07066,0.075923,-0.093789,-0.089732,-0.27874,-0.15758,0.056145,0.021766,0.14732,0.17462,-0.062748,-0.066688,-0.040963,0.20036,-0.15158,-0.13223,-0.071926,0.061371,-0.19166,-0.17025,-0.44485,-0.18386,-0.0025246,-0.079876,-0.083676
17,-0.043301,0.028675,-0.019179,0.21152,-0.039825,0.22044,-0.055262,0.075091,0.065406,0.11607,0.3902,0.35173,0.21233,-0.24385,0.2565,0.3193,0.16698,1,0.14062,0.047935,0.26534,0.11116,0.1194,0.18779,0.22464,0.22384,0.064696,0.12982,-0.0032763,0.092816,0.2507,-0.073807,-0.13695,-0.059392,0.093592,0.19851,0.070436,0.10686,-0.0847,0.2762,0.10817,0.20512,0.034538,0.037203,0.068341,-0.18585,0.025695,-0.0046872,-0.0024145,0.039102,-0.00053882,0.11429,-0.0064184,0.13321,-0.19524,-0.079227,-0.18533,0.056572,0.08224,-0.26836,-0.19219,0.051482,0.045511,0.023247,-0.13303,-0.17051,-0.30201,-0.14647,-0.028121
18,0.19103,0.065622,-0.13052,-0.10584,0.04943,0.16993,0.28697,0.21964,0.23863,0.27562,0.33679,0.16917,0.40105,0.06054,0.44448,0.22561,0.40382,0.14062,1,0.3142,0.05963,0.13214,0.36288,-0.10245,0.22422,0.26743,0.034528,0.11348,0.053857,0.0099614,0.038805,-0.13416,0.032983,0.15586,-0.095498,0.39504,-0.0026957,0.1558,-0.059199,-0.037514,0.14197,0.056735,-0.043658,-0.045422,0.039365,0.053211,-0.05661,-0.052576,-0.11138,-0.12634,-0.29275,0.095833,0.14026,-0.077213,-0.384,-0.003055,0.17222,0.32405,-0.14839,0.052763,-0.16856,0.053025,0.0078468,-0.35546,-0.40595,0.078517,-0.42762,-0.21453,-0.053192
