,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82
0,1,0.26621,0.061626,0.34802,-0.025631,0.077237,0.071776,-0.13617,-0.066219,0.07063,-0.22321,0.085047,-0.12732,-0.18992,0.063581,-0.032697,-0.12332,-0.083157,-0.24618,0.03161,-0.082213,0.08277,-0.13385,-0.1273,-0.15461,-0.34369,-0.18485,-0.32925,0.05754,-0.18832,-0.22708,-0.22355,0.10973,0.095176,-0.27474,0.058062,0.0014651,-0.07291,0.23749,0.00042389,0.089809,-0.03888,0.044219,0.083219,-0.11739,0.048074,-0.18481,0.059576,0.3045,0.29701,0.16598,0.095321,-0.16148,0.097049,-0.29736,-0.051939,0.11274,-0.03217,0.1546,0.10118,0.10749,-0.049734,0.10851,0.093752,0.1439,0.24855,0.24033,0.22596,0.056591,0.25701,0.14809,0.49203,-0.2496,-0.10379,-0.064791,0.19098,0.18535,0.18002,0.13026,0.34022,-0.096455,-0.14579,0.090811
1,0.26621,1,0.29977,0.1743,0.21449,0.22635,0.11593,0.126,-0.14371,-0.17314,-0.10848,0.077042,0.0093794,-0.3137,-0.24555,-0.31603,-0.026974,-0.054077,-0.1773,-0.081658,-0.16243,-0.091218,-0.047894,-0.16666,0.070003,-0.06835,-0.18065,0.073921,-0.095664,-0.085944,-0.066545,0.058917,-0.17578,-0.0068517,-0.18391,0.036897,0.09234,-0.039086,0.1209,-0.10394,0.06185,-0.11218,0.20505,-0.32549,-0.06768,0.21983,-0.23068,0.2048,0.064054,0.043902,0.029872,0.04107,0.065322,-0.10146,0.10524,0.078477,0.079346,-0.085676,0.12638,0.112,0.26484,0.10955,0.24414,-0.019407,0.01836,0.39386,0.072854,0.071151,0.12895,0.18805,0.080901,0.082515,-0.13059,0.2099,0.20933,0.11856,0.048903,0.15792,-0.055704,0.2832,0.00068332,0.29403,0.24893
2,0.061626,0.29977,1,0.3386,0.15568,0.41272,0.1074,-0.12468,0.075813,-0.09835,0.13393,-0.0066665,0.29649,-0.063998,0.18933,-0.15397,0.53241,0.25443,0.002541,0.13818,-0.19525,-0.064007,0.16715,-0.28513,0.20852,-0.028905,-0.0050483,0.30592,0.045008,0.10026,0.21454,-0.044967,-0.00097515,-0.010285,0.052742,0.017194,-0.085489,-0.11354,0.12742,0.25023,-0.04841,-0.11642,0.20206,0.23101,0.096703,0.11001,0.12682,-0.22127,0.1042,0.068518,-0.18895,0.14467,0.062422,-0.09319,0.13196,-0.10145,0.11143,-0.034067,0.25983,0.11776,-0.082438,0.33006,0.10155,-0.12958,-0.22208,-0.059621,-0.16863,0.1031,-0.069546,0.063753,0.18029,0.2138,-0.12842,0.32849,0.12364,0.14503,-0.16304,0.09169,-0.0038441,0.033428,0.0054157,0.094923,0.38404
3,0.34802,0.1743,0.3386,1,0.069992,0.17039,-0.084302,0.17965,0.11987,0.20258,-0.0043566,-0.03027,-0.069158,-0.26761,0.16721,0.047026,0.15635,-0.038838,-0.12523,0.089376,-0.091658,0.068039,-0.1171,-0.023218,0.026117,-0.095569,-0.054221,0.0078086,0.29462,-0.19665,-0.1775,0.091524,-0.090778,0.1732,-0.10763,-0.15404,-0.0012449,-0.031172,-0.040799,0.16062,0.19525,-0.097827,-0.044516,0.20857,-0.21848,-0.00055674,0.10892,0.30802,0.17348,0.052922,0.19156,0.1,-0.07382,0.12997,-0.14425,0.1496,0.2637,-0.11212,0.3175,-0.034628,-0.21427,0.1304,-0.041066,-0.35237,-0.16851,0.10456,-0.14797,0.20902,0.24041,0.19491,0.27575,0.20883,-0.090494,0.19227,-0.05236,-0.078931,0.01753,0.056342,0.008993,-0.027141,-0.039538,-0.10546,0.34779
4,-0.025631,0.21449,0.15568,0.069992,1,0.21178,-0.14823,0.060619,-0.055245,-0.10115,0.13983,0.14333,0.1468,0.0081346,0.11335,-0.0085441,0.27091,-0.078909,0.084539,0.13323,0.068373,0.029239,0.20277,-0.16599,0.46459,0.017583,0.029166,0.026107,0.067218,-0.030461,0.030976,0.15275,-0.10443,-0.088721,-0.095416,-0.073704,0.22118,-0.065966,-0.01088,0.25128,0.21763,0.055093,-0.019707,0.071483,0.11785,0.23542,0.21815,0.016295,0.021945,0.11258,-0.14397,0.076619,0.39871,-0.14419,0.0085559,-0.17271,0.27492,0.05115,0.15526,0.15037,0.14927,0.30655,0.037609,-0.051887,-0.0341,0.059748,-0.076324,-0.048521,0.32292,0.22536,-0.18871,0.17832,0.00015042,-0.27442,-0.019073,-0.2853,-0.053883,-0.17869,0.046039,-0.11302,-0.26539,-0.10307,0.14362
5,0.077237,0.22635,0.41272,0.17039,0.21178,1,0.13626,-0.11759,0.21171,0.27211,0.16421,0.24643,0.21864,-0.076371,0.21179,0.19172,0.50033,0.32726,0.054882,0.054174,0.019892,0.39081,0.49191,0.0035128,0.39741,0.13188,0.28184,0.14391,-0.057073,0.13695,0.21671,-0.034812,0.197,0.17403,0.2288,-0.023629,0.30712,-0.033748,0.17053,0.095488,0.017354,-0.0018698,0.075172,0.13419,-0.15903,0.075171,-0.12253,-0.090921,0.092059,0.15774,0.032816,-0.048418,0.13447,0.012921,-0.29434,-0.0035236,0.12316,0.10852,0.24786,0.044998,-0.13372,0.2862,0.14495,-0.022354,-0.32311,0.19981,0.067958,0.1595,0.19085,0.2599,-0.15298,0.097331,0.16419,-0.084416,-0.06165,0.019277,-0.034162,-0.18029,-0.013608,-0.029386,-0.29624,0.17339,0.30317
6,0.071776,0.11593,0.1074,-0.084302,-0.14823,0.13626,1,-0.12748,0.11991,0.053266,0.20033,0.12626,0.10563,-0.012598,0.14591,-0.05549,-0.073757,0.086071,0.1642,0.1211,-0.067092,0.089832,0.060869,0.10043,-0.080963,0.010668,0.075521,0.13049,0.098283,0.083588,0.22977,0.14371,0.081162,0.050108,0.079644,0.41118,0.29046,0.26769,0.22356,-0.077894,0.16132,0.23543,0.15217,-0.12146,-0.049092,0.254,-0.16497,-0.025566,0.11687,-0.017589,0.17714,0.014733,-0.049024,0.18257,0.024962,-0.063701,0.15946,-0.14383,0.40765,0.090938,0.046394,-0.035575,0.040873,-0.047731,-0.18827,-0.014938,0.22989,0.15981,0.021434,0.0022415,0.12868,-0.12681,-0.015348,0.031476,0.16133,0.11911,0.18476,0.15084,0.039237,0.083176,-0.17114,0.18933,0.23219
7,-0.13617,0.126,-0.12468,0.17965,0.060619,-0.11759,-0.12748,1,0.1899,0.029207,0.048311,0.13974,0.22977,0.33356,-0.083802,0.085529,0.064635,0.36523,0.12395,0.37808,0.20247,0.19685,0.096416,0.22018,0.20541,0.27703,0.061122,0.18906,-0.0011974,0.062634,0.15422,0.0073823,0.043571,0.33129,0.17432,-0.32735,0.23249,0.21334,-0.067679,0.23128,0.13179,0.12647,-0.075562,-0.13388,-0.1538,-0.29258,-0.062989,0.10931,-0.00631,0.11331,0.19231,-0.23923,-0.1498,-0.10377,-0.053404,0.011406,-0.038101,-0.029272,-0.14491,-0.062482,0.093678,-0.12979,-0.082583,0.050022,0.062199,-0.072704,-0.11188,-0.10532,-0.22045,0.08552,0.21563,-0.11935,-0.28095,0.1205,-0.092405,-0.25341,-0.09267,-0.23898,-0.10702,-0.19465,-0.096766,-0.41336,0.073522
8,-0.066219,-0.14371,0.075813,0.11987,-0.055245,0.21171,0.11991,0.1899,1,0.15974,0.084862,0.23206,0.31502,0.18591,0.38322,0.19685,0.58692,0.30106,0.14923,0.24149,0.22043,0.42538,0.23208,0.19053,0.071287,0.17289,0.54737,0.26035,0.27097,0.23075,0.14397,0.10949,0.14642,0.18376,0.17101,0.16222,0.043668,-0.14513,0.20358,0.19982,0.11042,-0.16112,0.087955,0.35551,-0.05561,-0.12097,-0.030734,0.061366,0.1417,0.049663,0.30007,-0.032477,-0.18032,0.2868,-0.039921,-0.04097,-0.1455,-0.061328,0.062153,0.27518,-0.3027,-0.086531,0.11469,0.066159,-0.076701,0.0079066,-0.034566,0.027049,0.16331,0.14436,-0.062704,-0.30557,-0.18323,-0.36613,0.056498,0.0731,-0.01651,-0.24549,0.033915,0.036125,-0.069878,0.053238,0.20208
9,0.07063,-0.17314,-0.09835,0.20258,-0.10115,0.27211,0.053266,0.029207,0.15974,1,-0.010576,0.014527,0.26415,-0.04809,0.025994,0.37402,0.035709,0.07843,0.051861,0.15519,0.32823,0.37757,0.21365,0.32072,0.23784,0.066316,0.24508,-0.03019,0.20069,0.072919,-0.08771,-0.16786,0.06644,0.31196,0.22719,0.1684,0.34466,0.086257,0.19696,0.26111,0.15844,0.32362,0.11676,0.21929,-0.32002,-0.074817,0.11246,-0.22868,0.32202,0.2772,0.24457,-0.083064,-0.20618,0.22955,-0.26568,0.30671,0.19502,0.22208,0.30105,-0.16336,-0.31908,-0.14653,0.10077,-0.013372,-0.0672,-0.19271,0.052864,0.24621,0.22839,-0.10047,0.032857,-0.079227,0.24949,-0.042627,-0.22979,-0.49674,-0.001487,0.06955,-0.28741,-0.24725,-0.05812,-0.1601,0.16143
