,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
0,1,0.34162,0.13141,0.18422,0.37099,0.35559,0.21794,0.35508,-0.15168,0.23671,-0.042406,0.030241,0.3438,0.14629,0.071574,0.23891,0.20652,0.075883,0.35145,0.14425,0.43368,0.24463,0.079635,-0.027756,0.1191,0.10564,0.067621,0.15952,-0.0088546,-0.081571,0.11189,-0.002506,0.18733,0.40576,0.024968,0.39514,0.25649,-0.15601,0.16983,-0.25221,0.11333,-0.17053,0.12071,0.18604,0.04305,-0.0034129,-0.20266,-0.085209,0.10568,0.097894,-0.23799,0.115,-0.034483,0.072528,0.13055,0.056621,-0.24288,-0.090108,0.079778,0.13549,-0.00094742,0.11134,-0.084951,-0.12494,-0.056299,-0.10128
1,0.34162,1,0.22565,0.25898,0.30289,0.42929,0.37125,0.17069,0.016486,0.15404,0.066223,0.27327,-0.0059332,0.23926,0.20945,0.013498,0.32822,0.088238,0.1365,0.049323,0.45444,0.1708,0.25855,0.072546,0.19607,0.12196,-0.01666,0.050665,0.1373,-0.017001,-0.035847,0.16439,0.17648,0.4574,-0.12674,-0.18059,-0.048958,0.041587,-0.053391,-0.084393,0.10426,0.066724,0.055599,0.10934,0.022345,0.0082773,-0.13155,0.010465,0.015582,0.1565,-0.23866,0.040535,-0.17192,-0.052768,0.37692,0.17485,-0.30207,-0.02648,0.13528,0.040113,0.032942,0.16112,0.0040815,-0.11519,-0.077286,0.079598
2,0.13141,0.22565,1,0.017491,0.016386,0.11172,0.21649,0.3341,0.33102,-0.0041621,0.34284,0.084194,0.24159,0.095455,0.12182,0.1416,0.15658,0.002942,0.032419,0.2931,0.070397,0.22712,0.028437,-0.037262,0.1608,-0.10389,0.28322,0.42434,0.18426,0.10929,0.1098,0.053851,0.25991,-0.0765,-0.0778,-0.039857,0.32639,-0.030172,0.17358,0.061156,0.13924,0.053968,0.25429,-0.15192,-0.067488,0.14578,0.02009,0.12018,0.16499,0.17717,-0.1831,0.05961,-0.18585,-0.17389,-0.051265,-0.0066154,-0.14042,-0.13932,-0.12233,-0.21751,0.055866,-0.18451,0.12249,-0.22175,0.16292,0.040162
3,0.18422,0.25898,0.017491,1,0.27172,0.19507,0.20106,0.21757,-0.037397,0.42809,0.021796,0.040605,0.39771,0.22974,8.4811e-05,0.32141,0.3433,0.26178,0.14688,0.21723,0.17963,0.092669,-0.12823,0.12272,0.083739,0.063927,-0.17064,0.22693,-0.28836,0.38296,0.019926,0.03835,0.34318,0.048739,0.16828,0.30229,0.1345,-0.1871,0.057807,-0.33791,0.0043141,0.21081,-0.15571,-0.050462,0.14907,0.093686,0.006799,0.014266,-0.079156,0.05271,-0.13047,0.43506,-0.19471,-0.12476,0.030373,0.046804,0.11253,0.06368,0.013235,0.054275,-0.10341,0.086211,-0.08194,-0.021398,-0.10557,0.293
4,0.37099,0.30289,0.016386,0.27172,1,0.33948,0.32354,0.25184,-0.061691,0.33542,0.12014,0.074865,0.17303,0.2384,0.11932,0.18764,0.34061,0.27017,0.41037,-0.033951,0.16027,0.16337,0.18205,0.017299,0.41735,0.22523,0.014799,0.20053,0.18836,-0.030426,0.069003,0.070354,0.13317,0.14183,0.083088,0.30228,-0.0095592,0.12053,0.073688,-0.11785,-0.10731,0.025134,0.1041,0.0015881,0.14995,0.25963,-0.052123,-0.15024,-0.030838,0.052466,0.078896,-0.092821,-0.072137,0.19756,0.13748,0.37388,0.052633,-0.13645,-0.013603,-0.064194,0.081293,0.023557,-0.19901,0.013998,-0.13608,-0.044792
5,0.35559,0.42929,0.11172,0.19507,0.33948,1,0.28645,0.14792,-0.01506,0.19729,-0.18666,0.082821,0.17296,0.10551,0.10386,0.17638,0.20861,0.025481,0.39569,-0.05608,0.42697,0.097107,0.079156,-0.045207,0.055557,0.17799,0.067043,0.25862,0.227,0.060145,-0.19495,0.17315,0.13747,0.3041,0.031554,-0.048629,0.18742,-0.087306,0.0017668,-0.16127,0.038162,0.040277,0.13621,0.07905,0.26854,-0.00098023,-0.25736,-0.1177,-0.085246,0.0096188,-0.042002,0.16775,-0.37773,0.14808,0.0042506,-0.040831,-0.12284,0.044008,-0.012028,0.24218,-0.29016,0.12741,-0.16205,-0.05749,-0.087271,0.13572
6,0.21794,0.37125,0.21649,0.20106,0.32354,0.28645,1,0.022476,0.11084,0.28509,0.20515,-0.039987,0.12395,0.26771,0.13845,0.29299,0.27162,0.18014,0.34777,-0.044423,0.23321,0.34739,0.30522,-0.050836,-0.084139,0.25531,0.25762,0.2187,0.19768,0.060965,-0.15474,0.22533,0.15009,0.21982,0.21867,0.046217,-0.091302,0.083106,0.23776,0.065745,-0.24033,0.38711,0.13856,0.042813,0.21514,0.0038784,-0.075839,-0.038258,-0.020971,-0.13395,0.13534,-0.084656,-0.12899,0.034374,-0.089635,-0.12165,0.056437,-0.29458,-0.16144,0.0060132,-0.16839,-0.0016839,-0.13475,0.11591,-0.23562,0.012834
7,0.35508,0.17069,0.3341,0.21757,0.25184,0.14792,0.022476,1,0.10522,0.28977,0.1386,0.21665,0.24629,0.23807,0.17876,0.29235,0.5136,-0.031366,0.065532,0.26612,0.069244,0.16542,0.28375,0.4388,0.27494,0.095945,-0.11262,0.44204,0.077127,0.20432,0.2094,-0.054914,0.35085,0.24002,-0.14168,0.12619,0.18266,-0.1533,0.18545,-0.28118,0.14571,-0.22796,0.096436,0.33404,0.086142,0.084407,-0.051501,-0.15976,0.077155,-0.053143,-0.054749,0.20758,-0.19261,0.019138,-0.01851,0.05855,0.024523,0.044831,0.0061961,-0.089721,0.036579,-0.14305,0.0071043,-0.19397,0.0065542,-0.032473
8,-0.15168,0.016486,0.33102,-0.037397,-0.061691,-0.01506,0.11084,0.10522,1,-0.17242,0.30435,0.15554,0.23022,0.19117,0.042497,0.098429,0.1331,0.12221,-0.08014,0.46993,-0.0063268,0.2255,0.14542,-0.14168,0.21031,0.10964,0.17878,0.19277,-0.052806,0.26626,0.25029,-0.049281,0.024433,-0.17586,0.18208,-0.041745,-0.045667,0.19019,-0.063159,0.29691,-0.10155,0.056016,-0.024186,0.21471,-0.039267,0.052574,0.19061,0.047584,-0.27351,-0.094673,0.054709,-0.13529,-0.11149,-0.12217,0.086299,-0.083593,-0.32501,0.17537,-0.23166,0.043836,0.11818,0.099129,0.053117,-0.10974,0.080689,-0.20265
9,0.23671,0.15404,-0.0041621,0.42809,0.33542,0.19729,0.28509,0.28977,-0.17242,1,0.217,0.20529,0.05333,0.30764,0.17975,0.29622,0.26423,0.091811,0.12321,0.17406,0.053219,-0.11664,0.16073,0.30697,0.24299,0.15048,-0.062777,0.20432,0.046609,0.3647,0.035498,0.17854,0.15131,0.16039,0.03751,0.17791,-0.019921,-0.11259,0.16448,-0.17406,-0.095635,0.083843,0.024278,-0.018633,0.078894,-0.014277,-0.1548,0.10508,-0.0059852,-0.10968,-0.0090943,0.14855,-0.1783,0.13121,0.049422,-0.030178,0.17833,0.019993,0.097666,0.030316,-0.053886,0.087513,-0.2684,-0.036576,-0.044057,-0.021484
