,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77
0,1,0.15017,0.26543,0.16199,0.24217,0.13424,0.048251,-0.10414,-0.040508,0.090936,-0.034041,-0.057762,0.069168,-0.13964,-0.20662,0.073703,-0.097361,0.095864,-0.082177,-0.041371,0.081718,-0.040068,0.14052,0.12816,0.032094,-0.06501,0.018857,0.092194,0.085021,-0.11472,0.050129,0.18393,-0.26858,0.22242,0.30285,-0.036083,0.031725,0.26714,0.18104,-0.33702,0.31159,-0.028984,0.036544,0.060915,-0.21054,0.2171,0.030126,-0.061811,0.072517,-0.050099,-0.06382,-0.2252,-0.10543,0.0027449,-0.16815,0.2014,0.0089803,-0.037295,-0.032773,0.090737,0.053694,0.30009,0.26586,-0.22451,-0.20165,-0.0014037,0.09835,0.33313,0.1227,-0.22365,-0.034486,0.32543,-0.12294,0.084419,0.20252,0.078391,0.0066421,-0.077386
1,0.15017,1,0.11948,0.23411,0.094227,0.19597,0.23965,0.14299,-0.097122,0.099208,0.24162,-0.11728,-0.0088127,-0.048494,-0.07183,-0.03677,0.074322,-0.024098,0.1942,0.11766,0.078816,0.054884,0.18843,-0.10641,-0.027203,0.0010203,0.043185,0.011159,0.11649,-0.17341,-0.043562,0.061862,-0.21826,0.10718,0.15521,0.1843,0.3094,0.0029926,0.00077672,0.079781,0.35724,-0.11885,-0.12606,-0.022975,-0.16117,0.08985,0.23423,-0.17017,0.14313,0.10236,0.10206,-0.089075,-0.18941,0.061273,0.057338,0.05115,-0.17128,-0.096425,0.048369,0.12303,0.045764,0.23013,0.076547,0.15549,-0.061669,-0.089266,0.10604,-0.052827,0.10182,0.033969,-0.20193,0.27582,0.12732,0.15391,0.21392,-0.078829,0.089337,-0.047024
2,0.26543,0.11948,1,0.21797,-0.038731,0.0071432,0.11038,0.096225,-0.036322,-0.19455,0.1673,0.018879,0.19349,0.0038226,-0.059497,-0.0047947,0.20652,0.17179,0.22821,0.060057,-0.045151,0.016653,0.14987,-0.011789,0.0091735,0.065138,0.055696,0.28184,-0.18498,-0.12345,0.23202,0.15327,0.0039812,-0.090533,0.10368,-0.14753,0.085874,0.018378,-0.0318,-0.11123,0.028768,-0.060849,-0.14615,-0.050883,-0.1187,-0.065592,0.050503,-0.016056,0.15469,0.018668,0.18365,0.14685,0.058809,0.051451,0.096659,0.08163,0.020057,-0.073448,0.1941,0.038774,0.24648,0.2242,0.20716,0.030747,-0.11901,0.096739,0.16094,0.2968,0.15385,-0.20328,0.031387,0.061312,0.10966,-0.036031,0.23544,-0.13631,-0.10924,0.0098508
3,0.16199,0.23411,0.21797,1,0.18993,0.22563,-0.071087,0.040103,0.20563,0.10069,0.059742,-0.062562,0.1054,-0.0052774,-0.0050235,-0.15783,0.031929,0.13642,0.12652,0.018262,0.21755,0.20726,0.20204,-0.046277,0.08778,0.037478,0.17984,0.37989,-0.064387,-0.0087241,0.27189,-0.023654,-0.021487,0.37285,-0.17685,-0.078638,0.13159,-0.21495,-0.052576,0.14723,0.23164,-0.23614,-0.15192,-0.1831,-0.01331,-0.068543,0.26672,0.19162,-0.055073,-0.054083,0.32411,0.23479,-0.039361,0.18823,0.23278,0.064839,-0.076454,0.089538,0.2906,0.15271,0.18225,0.2051,-0.048639,0.091849,-0.20567,-0.10445,0.16212,0.036289,0.36606,0.054384,-0.20262,0.091106,0.016366,0.0026476,0.0043942,0.081554,0.25918,-0.14727
4,0.24217,0.094227,-0.038731,0.18993,1,0.12296,-0.010971,0.14506,-0.23094,0.24459,-0.033307,-0.11068,0.26492,-0.20069,-0.0029892,0.1325,-0.19449,0.13609,-0.044476,0.274,0.20148,-0.061333,-0.14631,-0.23578,0.066658,0.079877,-0.055213,-0.10356,0.17883,0.10664,-0.10986,-0.12249,0.09556,0.32315,-0.055627,-0.089081,-0.00064633,-0.047498,-0.099272,-0.081446,0.22185,-0.15092,-0.1233,0.064281,0.022038,-0.091548,0.17502,-0.20387,0.173,-0.20049,0.26612,-0.011827,-0.097139,0.12513,0.11787,-0.16993,-0.23427,-0.093472,0.0063844,0.29061,0.076076,0.27969,-0.12512,0.11665,-0.12736,-0.12424,0.065168,0.013158,-0.1957,0.12388,-0.23279,0.041433,-0.35456,0.28219,-0.41244,0.082531,-0.17393,-0.0049707
5,0.13424,0.19597,0.0071432,0.22563,0.12296,1,0.20997,0.28465,0.064644,-0.12681,0.20466,0.12885,0.41249,0.41391,0.063703,0.0011772,0.017793,0.30294,-0.14693,-0.029015,0.28906,0.37336,0.056224,0.06215,0.096442,0.14089,0.17755,0.28829,0.27956,0.36648,0.11909,0.16367,0.01304,0.31883,0.0043398,-0.11193,0.12213,0.19301,0.10801,0.024234,0.33811,0.28879,-0.12473,-0.061017,0.27992,-0.031039,0.2219,0.094265,0.25677,-0.049037,0.13066,0.048283,-0.10044,0.3126,-0.12525,-0.036563,0.022972,-0.010525,0.08032,0.41387,0.3346,0.021221,0.21695,-0.017936,0.014898,0.0064961,0.17594,0.1937,0.10799,-0.013218,-0.0089386,0.27894,-0.28447,0.24472,-0.021176,0.24803,-0.0023104,-0.20522
6,0.048251,0.23965,0.11038,-0.071087,-0.010971,0.20997,1,0.098089,0.14826,0.057474,0.32917,0.19911,0.2519,0.29973,0.1357,0.1714,0.21524,0.085285,0.089307,0.19547,-0.09231,0.11082,0.097857,0.32802,0.32113,0.27064,0.20125,0.17195,0.43362,0.045462,-0.16164,0.39464,0.0050699,0.16132,0.32342,-0.080856,0.3917,0.24282,-0.056485,-0.11808,0.041238,0.07925,-0.20387,0.028186,0.13368,-0.15872,0.23528,0.096296,-0.051615,-0.08587,0.10506,0.36642,-0.023101,0.34657,0.042771,0.099569,-0.11086,0.080918,0.20589,0.10435,0.2788,-0.094571,0.35767,-0.21897,0.29332,0.30117,-0.012181,0.0061016,0.0384,-0.14886,0.14852,0.078439,-0.21047,0.28996,0.059907,0.038294,0.038725,-0.12713
7,-0.10414,0.14299,0.096225,0.040103,0.14506,0.28465,0.098089,1,-0.10461,0.18865,0.50294,0.24631,0.1796,0.067796,0.27663,0.23559,0.18788,0.2728,0.3676,0.31319,0.54296,0.14843,0.035428,-0.0066856,0.33593,0.42564,0.24049,0.087805,0.18451,0.3659,0.21565,0.40407,0.28356,-0.0024858,0.0551,-0.048621,0.29577,0.011894,-0.00094034,0.2236,0.26336,0.24529,-0.056211,0.17163,0.22418,-0.25038,0.26545,-0.03432,0.16612,0.10743,0.19425,0.21498,-0.3213,0.24172,-0.20638,0.07858,0.042478,0.082567,0.12946,0.0016222,-0.075258,-0.069652,0.1861,0.1549,-0.1871,-0.28396,0.13948,0.015614,0.10013,0.016871,-0.048743,0.13431,0.18411,-0.0082256,-0.057688,0.16503,-0.0345,-0.12824
8,-0.040508,-0.097122,-0.036322,0.20563,-0.23094,0.064644,0.14826,-0.10461,1,0.058646,-0.06318,0.034977,0.19141,0.25749,0.064567,0.012438,0.40378,0.002312,0.12899,0.0037941,0.13657,0.29255,0.19085,0.27793,0.19369,-0.075913,-0.014448,0.10251,0.043485,0.13481,0.078441,0.062583,-0.017906,0.10465,0.079503,0.08732,0.13102,-0.11557,0.066769,-0.13348,-0.1387,0.13033,0.12099,-0.21338,0.22459,-0.067164,0.036292,0.22896,-0.24196,-0.11378,0.080303,0.13081,-0.10349,0.027509,0.12678,0.18222,0.11163,0.13271,0.25243,0.13824,-0.10635,0.12885,-0.20745,-0.12514,0.063305,0.05017,-0.027858,0.01082,0.20311,0.015958,-0.08181,0.052116,-0.057606,-0.031812,-0.10819,-0.10565,0.037508,-0.2896
9,0.090936,0.099208,-0.19455,0.10069,0.24459,-0.12681,0.057474,0.18865,0.058646,1,0.010145,0.31542,0.19951,0.03486,0.20052,-0.018906,0.011456,0.40617,0.23074,0.41893,0.41024,0.28217,0.067866,0.048882,0.29331,0.045183,0.061634,-0.18234,0.21493,0.21617,0.19567,0.099346,0.2173,0.19685,0.20285,-0.023204,0.42434,0.01998,-0.1505,0.10876,0.078507,-0.086371,0.069597,0.21973,0.098359,0.022756,0.31798,-0.19605,-0.20301,0.14882,0.090048,0.17713,-0.21101,0.078016,0.0071112,0.032145,0.028324,-0.013787,0.17784,-0.092177,-0.12734,-0.015872,0.0060876,-0.19593,-0.01635,-0.21802,-0.25432,0.10293,-0.25168,0.02142,-0.2329,-0.030138,-0.081992,-0.16768,-0.18568,-0.14962,-0.13568,0.12197
