    0.490253492792249168E-01    0.835779140103833695E+00   -0.690241359014364009E+00    0.261285378567771609E+01   -0.187690315628816141E+07
    0.490249908811872248E-01    0.835768447429439676E+00   -0.690232158781943439E+00    0.261275935760484534E+01   -0.187690283699449571E+07
    0.490248604175057556E-01    0.835756704961889363E+00   -0.690235755066808676E+00    0.261278358221130391E+01   -0.187690228091264702E+07
    0.490253893354787307E-01    0.835789199154987728E+00   -0.690214981074136813E+00    0.261289626787465679E+01   -0.187690178535143984E+07
    0.490249766437647616E-01    0.835767429739671108E+00   -0.690219393229207445E+00    0.261283726805566063E+01   -0.187690121744135837E+07
    0.490252432765900803E-01    0.835789239580194243E+00   -0.690226405083961825E+00    0.261283780586563807E+01   -0.187690116203224496E+07
    0.490253126726808985E-01    0.835800626585977091E+00   -0.690170573361056694E+00    0.261286159238264215E+01   -0.187690102326340810E+07
    0.490252380881621153E-01    0.835798669092418955E+00   -0.690168220476743088E+00    0.261284004016725291E+01   -0.187690099314798834E+07
    0.490250188997041203E-01    0.835777424614850606E+00   -0.690226015817356653E+00    0.261280467428896301E+01   -0.187690095093212929E+07
    0.490251785246756944E-01    0.835802564424270256E+00   -0.690138724518865598E+00    0.261282293530925092E+01   -0.187690086878648004E+07
    0.490254144068585362E-01    0.835801189258113642E+00   -0.690076767318036244E+00    0.261300061964081420E+01   -0.187690084351190156E+07
    0.490254424341670658E-01    0.835795774788027468E+00   -0.690076086627306018E+00    0.261304788411859823E+01   -0.187690081974385818E+07
    0.490252430502106096E-01    0.835797622035786669E+00   -0.690190749013422589E+00    0.261284044612200184E+01   -0.187690068793851603E+07
    0.490251604258578055E-01    0.835798988862100689E+00   -0.690200224031135456E+00    0.261278458195498020E+01   -0.187690067874282715E+07
    0.490251613605908187E-01    0.835789559086769773E+00   -0.690193617168431195E+00    0.261284615975216283E+01   -0.187690064473381802E+07
    0.490252936900465452E-01    0.835783042343558269E+00   -0.690175528110905767E+00    0.261296957000533236E+01   -0.187690063209454995E+07
    0.490252002210593285E-01    0.835794371981746331E+00   -0.690218529882895671E+00    0.261281578392993641E+01   -0.187690062452675332E+07
    0.490254262027767229E-01    0.835790834842303765E+00   -0.690069238962110476E+00    0.261308528686597974E+01   -0.187690058938922337E+07
    0.490250074339267372E-01    0.835779779031527670E+00   -0.690218930696638977E+00    0.261280930808585676E+01   -0.187690052885797224E+07
    0.490253090146287041E-01    0.835806532541992886E+00   -0.690152157545242617E+00    0.261286467800570499E+01   -0.187690049766078102E+07
    0.490253624512508313E-01    0.835796968429997067E+00   -0.690128272554973665E+00    0.261297001133729623E+01   -0.187690044432691298E+07
    0.490254457834446988E-01    0.835797579290320058E+00   -0.690076511065551457E+00    0.261305898022635397E+01   -0.187690034398249374E+07
    0.490248226377377749E-01    0.835764280639656243E+00   -0.690206056532674750E+00    0.261282880558241404E+01   -0.187690032764989790E+07
    0.490253571089898643E-01    0.835794464590685737E+00   -0.690192671195040908E+00    0.261293424214240666E+01   -0.187690025255466369E+07
    0.490250829011070199E-01    0.835790274920510834E+00   -0.690239183450373939E+00    0.261277906614159861E+01   -0.187690024421477015E+07
    0.490249855795978351E-01    0.835781209052433249E+00   -0.690236883885455454E+00    0.261278932616261983E+01   -0.187690016372234281E+07
    0.490253277509729579E-01    0.835801245290313188E+00   -0.690125084452938631E+00    0.261294291410560131E+01   -0.187690015045165550E+07
    0.490253615650548813E-01    0.835794925535215727E+00   -0.690073004907817089E+00    0.261304659863823341E+01   -0.187690007570678741E+07
